timestamp_ms,br0-rx,br0-tx,docker0-rx,docker0-tx,eth0-rx,eth0-tx,lo-rx,lo-tx,ovs-system-rx,ovs-system-tx,tun0-rx,tun0-tx,vxlan_sys_4789-rx,vxlan_sys_4789-tx
1505941345000,,,0.00,0.00,809.81,169.49,21.11,21.11,,,,,,
1505941445000,,,0.00,0.00,853.50,160.78,21.06,21.06,,,,,,
1505941545000,,,0.00,0.00,0.15,0.16,21.00,21.00,,,,,,
1505941645000,,,0.00,0.00,9.14,8.99,21.06,21.06,,,,,,
1505941745000,,,0.00,0.00,70.37,69.35,21.04,21.04,,,,,,
1505941845000,0.00,0.00,,,1808.29,474.79,,,0.00,0.00,0.00,0.05,0.00,0.00
1505941945000,0.00,0.00,,,7.38,7.56,,,0.00,0.00,0.00,0.03,0.00,0.00
1505942045000,0.00,0.00,,,3.40,3.27,,,0.00,0.00,0.00,0.00,0.00,0.00
1505942145000,0.00,0.00,,,3.35,3.35,,,0.00,0.00,0.00,0.00,0.00,0.00
1505942245000,0.00,0.00,,,3.51,3.60,,,0.00,0.00,0.00,0.00,0.00,0.00
1505942345000,0.00,0.00,,,8.18,8.32,,,0.00,0.00,1.67,2.04,0.40,0.58
1505942445000,0.00,0.00,,,4.58,4.84,,,0.00,0.00,2.68,3.79,0.75,1.09
1505942545000,0.00,0.00,,,991.14,95.67,,,0.00,0.00,5.82,7.45,0.80,1.17
1505942645000,0.00,0.00,,,4.29,4.33,,,0.00,0.00,3.67,5.20,0.36,0.52
1505942745000,0.00,0.00,,,4.41,4.52,,,0.00,0.00,3.76,5.34,0.43,0.63
1505942845000,0.00,0.00,,,22.80,23.49,,,0.00,0.00,10.38,16.96,6.93,12.07
1505942945000,0.00,0.00,,,142.13,139.56,,,0.00,0.00,49.93,82.50,46.74,77.60
1505943045000,0.00,0.00,,,282.64,273.21,,,0.00,0.00,101.24,147.20,98.98,142.21
1505943145000,0.00,0.00,,,389.55,372.21,,,0.00,0.00,147.74,196.97,145.21,191.97
1505943245000,0.00,0.00,,,509.05,487.72,,,0.00,0.00,195.50,249.98,193.69,245.00
1505943345000,0.00,0.00,,,533.62,512.38,,,0.00,0.00,198.16,266.45,196.77,261.47
1505943445000,0.00,0.00,,,486.61,464.91,,,0.00,0.00,175.99,242.21,174.66,237.16
1505943545000,0.00,0.00,,,441.34,423.56,,,0.00,0.00,156.00,219.32,155.26,214.33
1505943645000,0.00,0.00,,,370.17,360.92,,,0.00,0.00,125.85,181.39,126.20,176.43
1505943745000,0.00,0.00,,,233.41,249.47,,,0.00,0.00,77.99,115.49,79.63,110.52
1505943845000,0.00,0.00,,,82.21,112.17,,,0.00,0.00,28.76,40.91,29.79,35.86
1505943945000,0.00,0.00,,,86.83,104.05,,,0.00,0.00,33.73,51.36,32.70,46.42
1505944045000,0.00,0.00,,,222.98,250.74,,,0.00,0.00,83.66,117.86,84.25,112.81
1505944145000,0.00,0.00,,,354.99,370.90,,,0.00,0.00,131.41,177.19,131.61,172.15
1505944245000,0.00,0.00,,,481.46,491.35,,,0.00,0.00,182.15,238.09,182.76,233.13
1505944345000,0.00,0.00,,,730.42,675.72,,,0.00,0.00,340.34,457.18,200.64,253.57
1505944445000,0.00,0.00,,,658.13,608.70,,,0.00,0.00,311.21,423.11,173.76,223.56
1505944545000,0.00,0.00,,,607.53,566.49,,,0.00,0.00,288.17,396.98,154.23,200.70
1505944645000,0.00,0.00,,,548.71,533.35,,,0.00,0.00,268.61,373.02,125.80,160.21
1505944745000,0.00,0.00,,,435.51,437.79,,,0.00,0.00,222.54,314.93,87.72,112.73
1505944845000,0.00,0.00,,,286.07,300.80,,,0.00,0.00,161.27,227.42,46.18,52.98
1505944945000,0.00,0.00,,,68.80,82.37,,,0.00,0.00,41.00,56.84,10.22,8.09
1505945045000,0.00,0.00,,,122.38,158.31,,,0.00,0.00,44.57,68.50,45.36,63.39
1505945145000,0.00,0.00,,,262.31,293.87,,,0.00,0.00,98.78,134.82,99.80,129.79
1505945245000,0.00,0.00,,,416.25,438.76,,,0.00,0.00,156.56,206.08,157.57,201.06
1505945345000,0.00,0.00,,,544.89,550.81,,,0.00,0.00,208.39,260.22,209.36,255.24
1505945445000,0.00,0.00,,,629.00,621.06,,,0.00,0.00,233.76,302.01,234.49,297.09
1505945545000,0.00,0.00,,,614.18,602.04,,,0.00,0.00,221.48,298.84,222.31,294.02
1505945645000,0.00,0.00,,,585.51,586.25,,,0.00,0.00,210.53,284.18,212.21,279.25
1505945745000,0.00,0.00,,,530.52,534.44,,,0.00,0.00,190.91,260.37,192.34,255.48
1505945845000,0.00,0.00,,,476.35,539.30,,,0.00,0.00,169.14,226.61,175.78,221.54
1505945945000,0.00,0.00,,,374.52,437.17,,,0.00,0.00,130.88,179.48,136.92,174.45
1505946045000,0.00,0.00,,,278.04,347.21,,,0.00,0.00,94.09,131.33,101.24,126.41
1505946145000,0.00,0.00,,,176.12,252.28,,,0.00,0.00,58.36,80.54,64.99,75.53
1505946245000,0.00,0.00,,,67.14,135.16,,,0.00,0.00,22.73,29.82,28.37,24.91
1505946345000,0.00,0.00,,,4.08,4.19,,,0.00,0.00,3.77,5.37,0.44,0.65
1505946445000,0.00,0.00,,,68.98,98.69,,,0.00,0.00,25.26,39.43,25.31,34.57
1505946545000,0.00,0.00,,,224.51,266.00,,,0.00,0.00,82.69,117.06,84.49,112.08
1505946645000,0.00,0.00,,,375.56,399.15,,,0.00,0.00,139.76,184.99,141.26,179.98
1505946745000,0.00,0.00,,,528.21,529.42,,,0.00,0.00,201.35,250.69,202.10,245.76
1505946845000,0.00,0.00,,,661.75,669.97,,,0.00,0.00,251.42,319.65,252.98,314.66
1505946945000,0.00,0.00,,,657.70,653.98,,,0.00,0.00,245.23,319.42,246.64,314.53
1505947045000,0.00,0.00,,,619.45,611.07,,,0.00,0.00,231.12,295.76,231.22,290.81
1505947145000,0.00,0.00,,,575.67,573.58,,,0.00,0.00,215.99,277.27,216.45,272.26
1505947245000,0.00,0.00,,,586.63,595.75,,,0.00,0.00,213.87,284.44,215.72,279.44
1505947345000,0.00,0.00,,,581.91,604.09,,,0.00,0.00,209.56,281.91,212.19,276.77
1505947445000,0.00,0.00,,,488.07,553.21,,,0.00,0.00,179.67,233.27,186.08,228.10
1505947545000,0.00,0.00,,,391.53,478.67,,,0.00,0.00,146.56,185.51,153.59,180.43
1505947645000,0.00,0.00,,,340.86,409.30,,,0.00,0.00,121.40,161.62,127.79,156.46
1505947745000,0.00,0.00,,,269.47,351.02,,,0.00,0.00,95.17,127.73,101.51,122.62
1505947845000,0.00,0.00,,,202.77,290.00,,,0.00,0.00,69.45,94.40,76.39,89.35
1505947945000,0.00,0.00,,,95.13,170.14,,,0.00,0.00,32.82,44.44,37.89,39.47
1505948045000,0.00,0.00,,,47.64,75.14,,,0.00,0.00,17.71,23.90,18.09,19.06
1505948145000,0.00,0.00,,,14.16,34.31,,,0.00,0.00,6.40,7.99,5.83,3.16
1505948245000,0.00,0.00,,,4.27,4.35,,,0.00,0.00,3.77,5.31,0.44,0.64
1505948345000,0.00,0.00,,,4.29,4.48,,,0.00,0.00,3.75,5.36,0.44,0.64
