timestamp_ms,datagram_fragments_gen_sec,datagrams_delivered_sec,datagrams_fragmented_ok_sec,datagrams_output_requests_sec,datagrams_reassmbled_sec,fragments_rx_need_reassemble_sec,rx_datagrams_forwarded_sec,rx_datagrams_header_err_sec,rx_datagrams_invalid_addr_sec,rx_datagrams_nobuff_sec,rx_datagrams_reassmbly_fail_sec,rx_datagrams_sec,rx_datagrams_unknown_proto_sec,tx_datagrams_fragment_fail_sec,tx_datagrams_nobuff_sec,tx_datagrams_noroute_sec
1505941345000,0.00,204.24,0.00,179.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,204.24,0.00,0.00,0.00,0.00
1505941445000,0.00,365.59,0.00,170.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,365.59,0.00,0.00,0.00,0.00
1505941545000,0.00,10.58,0.00,10.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.58,0.00,0.00,0.00,0.00
1505941645000,0.00,19.22,0.00,19.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.22,0.00,0.00,0.00,0.00
1505941745000,0.00,77.80,0.00,79.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.80,0.00,0.00,0.00,0.00
1505941845000,0.00,66.87,0.00,69.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.87,0.00,0.00,0.00,0.00
1505941945000,0.00,12.88,0.00,13.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.88,0.00,0.00,0.00,0.00
1505942045000,0.00,3.46,0.00,3.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.46,0.00,0.00,0.00,0.00
1505942145000,0.00,3.32,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.32,0.00,0.00,0.00,0.00
1505942245000,0.00,3.49,0.00,3.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.49,0.00,0.00,0.00,0.00
1505942345000,0.00,9.27,0.00,11.64,0.00,0.00,1.85,0.00,0.00,0.00,0.00,11.12,0.00,0.00,0.00,0.00
1505942445000,0.00,8.98,0.00,10.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.98,0.00,0.00,0.00,0.00
1505942545000,0.00,247.36,0.00,104.91,0.00,0.00,5.04,0.00,0.00,0.00,0.00,252.40,0.00,0.00,0.00,0.00
1505942645000,0.00,9.45,0.00,11.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.45,0.00,0.00,0.00,0.00
1505942745000,0.00,9.51,0.00,11.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.51,0.00,0.00,0.00,0.00
1505942845000,0.00,35.26,0.00,41.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.26,0.00,0.00,0.00,0.00
1505942945000,0.00,194.92,0.00,220.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,194.92,0.00,0.00,0.00,0.00
1505943045000,0.00,387.47,0.00,410.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,387.47,0.00,0.00,0.00,0.00
1505943145000,0.00,539.77,0.00,558.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,539.77,0.00,0.00,0.00,0.00
