timestamp_ms,br0-rx,br0-tx,docker0-rx,docker0-tx,eth0-rx,eth0-tx,lo-rx,lo-tx,ovs-system-rx,ovs-system-tx,tun0-rx,tun0-tx,veth092de6b9-rx,veth092de6b9-tx,veth43b78dce-rx,veth43b78dce-tx,veth64f07b94-rx,veth64f07b94-tx,veth6a830c14-rx,veth6a830c14-tx,veth73c4f905-rx,veth73c4f905-tx,veth7f5fd52d-rx,veth7f5fd52d-tx,veth892267c2-rx,veth892267c2-tx,veth8d736aac-rx,veth8d736aac-tx,veth965475e0-rx,veth965475e0-tx,veth96b32e3a-rx,veth96b32e3a-tx,veth9ddc72c5-rx,veth9ddc72c5-tx,vetha17c7f82-rx,vetha17c7f82-tx,vetha5bfe6c4-rx,vetha5bfe6c4-tx,vethaa24ed2f-rx,vethaa24ed2f-tx,vethb2999e40-rx,vethb2999e40-tx,vethb7585af9-rx,vethb7585af9-tx,vethc3206044-rx,vethc3206044-tx,vethf5a8f735-rx,vethf5a8f735-tx,vxlan_sys_4789-rx,vxlan_sys_4789-tx
1505941345000,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941445000,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941545000,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941645000,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941745000,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941845000,0.00,0.00,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505941945000,0.00,0.00,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942045000,0.00,0.00,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942145000,0.00,0.00,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942245000,0.00,0.00,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942345000,0.00,0.00,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942445000,0.00,0.00,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942545000,0.00,0.00,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942645000,0.00,0.00,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942745000,0.00,0.00,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942845000,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00
1505942945000,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505943045000,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00
1505943145000,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00
1505943245000,0.00,0.00,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00
1505943345000,0.00,0.00,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00
1505943445000,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00
1505943545000,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00
1505943645000,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00
