timestamp_ms,br0-rx,br0-tx,docker0-rx,docker0-tx,eth0-rx,eth0-tx,lo-rx,lo-tx,ovs-system-rx,ovs-system-tx,tun0-rx,tun0-tx,veth092de6b9-rx,veth092de6b9-tx,veth43b78dce-rx,veth43b78dce-tx,veth64f07b94-rx,veth64f07b94-tx,veth6a830c14-rx,veth6a830c14-tx,veth73c4f905-rx,veth73c4f905-tx,veth7f5fd52d-rx,veth7f5fd52d-tx,veth892267c2-rx,veth892267c2-tx,veth8d736aac-rx,veth8d736aac-tx,veth965475e0-rx,veth965475e0-tx,veth96b32e3a-rx,veth96b32e3a-tx,veth9ddc72c5-rx,veth9ddc72c5-tx,vetha17c7f82-rx,vetha17c7f82-tx,vetha5bfe6c4-rx,vetha5bfe6c4-tx,vethaa24ed2f-rx,vethaa24ed2f-tx,vethb2999e40-rx,vethb2999e40-tx,vethb7585af9-rx,vethb7585af9-tx,vethc3206044-rx,vethc3206044-tx,vethf5a8f735-rx,vethf5a8f735-tx,vxlan_sys_4789-rx,vxlan_sys_4789-tx
1505941345000,,,0.00,0.00,811.78,158.55,21.11,21.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941445000,,,0.00,0.00,854.02,182.47,21.02,21.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941545000,,,0.00,0.00,0.23,0.22,21.04,21.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941645000,,,0.00,0.00,9.12,8.88,20.98,20.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941745000,,,0.00,0.00,69.03,67.05,21.04,21.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941845000,0.00,0.00,,,1810.04,483.07,,,0.00,0.00,0.00,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505941945000,0.00,0.00,,,8.08,8.05,,,0.00,0.00,0.00,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942045000,0.00,0.00,,,3.47,3.32,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942145000,0.00,0.00,,,3.35,3.31,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942245000,0.00,0.00,,,3.56,3.52,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942345000,0.00,0.00,,,3.58,3.55,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942445000,0.00,0.00,,,3.44,3.40,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942545000,0.00,0.00,,,3.33,3.27,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942645000,0.00,0.00,,,3.34,3.30,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942745000,0.00,0.00,,,3.41,3.34,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942845000,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.08,,,,,0.00,0.00
1505942945000,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505943045000,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,,,0.07,0.07,,,,,,,,,,,,,,,,,0.08,0.08,,,,,,,0.00,0.00
1505943145000,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00
