timestamp_ms,active_opens_sec,passive_opens_sec,rx_segments_sec,tcp_attempt_fails_sec,tcp_establish_resets_sec,tcp_rx_segments_error_sec,tcp_segments_retransmitted_sec,tcp_tx_segments_RSTflag_sec,tx_segments_sec
1505941345000,12.06,0.02,184.89,10.53,0.44,0.00,0.00,0.00,172.37
1505941445000,13.52,0.00,207.19,10.50,0.32,0.00,0.00,0.00,190.79
1505941545000,10.52,0.00,21.10,10.52,0.00,0.00,0.00,0.00,21.09
1505941645000,11.04,0.01,26.27,10.48,0.02,0.00,0.00,0.00,26.43
1505941745000,13.88,0.00,58.19,10.52,0.02,0.00,0.00,0.00,60.03
1505941845000,10.95,0.02,46.98,10.34,0.00,0.00,0.00,0.00,48.84
1505941945000,0.46,0.01,5.92,0.00,0.00,0.00,0.00,0.00,6.14
1505942045000,0.40,0.00,3.37,0.00,0.00,0.00,0.00,0.00,3.22
1505942145000,0.40,0.00,3.30,0.01,0.00,0.00,0.00,0.00,3.26
1505942245000,0.40,0.00,3.50,0.00,0.00,0.00,0.00,0.00,3.46
1505942345000,0.40,0.00,3.55,0.00,0.00,0.00,0.00,0.00,3.52
1505942445000,0.44,0.02,3.73,0.02,0.00,0.00,0.00,0.00,3.69
1505942545000,0.40,0.00,3.27,0.00,0.00,0.00,0.00,0.00,3.21
1505942645000,0.40,0.00,3.31,0.00,0.00,0.00,0.00,0.00,3.27
1505942745000,0.40,0.00,3.36,0.00,0.00,0.00,0.00,0.00,3.29
1505942845000,0.69,0.00,9.47,0.00,0.00,0.00,0.00,0.00,9.97
1505942945000,0.79,0.00,13.77,0.00,0.00,0.00,0.00,0.00,15.14
1505943045000,1.48,0.02,33.36,0.02,0.03,0.00,0.01,0.00,36.75
1505943145000,0.79,0.00,22.46,0.00,0.03,0.00,0.00,0.00,24.18
1505943245000,1.05,0.00,32.60,0.00,0.01,0.00,0.00,0.00,34.73
1505943345000,1.11,0.00,40.37,0.00,0.02,0.00,0.00,0.00,42.70
1505943445000,1.25,0.00,49.28,0.00,0.02,0.00,0.01,0.00,51.72
1505943545000,1.14,0.00,54.44,0.00,0.02,0.00,0.00,0.00,56.70
1505943645000,1.28,0.02,71.28,0.02,0.03,0.00,0.00,0.00,71.96
1505943745000,1.51,0.00,90.38,0.00,0.05,0.01,0.08,0.01,90.65
1505943845000,1.44,0.00,90.49,0.00,0.01,0.00,0.01,0.00,90.56
1505943945000,0.79,0.00,61.04,0.00,0.02,0.00,0.00,0.00,62.49
1505944045000,1.31,0.00,94.18,0.00,0.04,0.00,0.00,0.00,96.67
1505944145000,1.05,0.00,92.51,0.00,0.04,0.00,0.05,0.00,95.80
1505944245000,1.20,0.01,97.64,0.01,0.00,0.00,0.00,0.00,100.31
1505944345000,0.94,0.01,96.03,0.01,0.01,0.00,0.01,0.00,98.11
1505944445000,1.27,0.00,110.65,0.00,0.00,0.00,0.00,0.00,113.22
