timestamp_ms,context_switches_sec,processes_created_sec
1505941345000,1474.23,10.55
1505941445000,1711.18,17.42
1505941545000,1101.78,0.64
1505941645000,1162.91,5.65
1505941745000,2079.65,40.23
1505941845000,2342.89,50.42
1505941945000,1582.66,6.31
1505942045000,1495.89,1.41
1505942145000,1490.64,2.16
1505942245000,1485.81,2.26
1505942345000,1489.86,2.11
1505942445000,1506.23,2.17
1505942545000,1446.37,1.43
1505942645000,1445.86,1.45
1505942745000,1468.08,1.65
1505942845000,2067.93,9.32
1505942945000,2569.44,14.55
1505943045000,3836.14,31.56
1505943145000,2958.64,14.81
1505943245000,3467.08,22.30
1505943345000,3642.17,24.27
1505943445000,4162.56,27.73
1505943545000,4230.54,27.03
1505943645000,4668.69,29.97
1505943745000,6185.11,190.49
1505943845000,5288.10,35.56
1505943945000,4330.11,19.30
1505944045000,5275.88,33.15
1505944145000,5090.12,28.26
1505944245000,5434.30,31.35
1505944345000,5083.49,25.74
1505944445000,5765.92,34.47
1505944545000,5184.82,24.21
1505944645000,6500.91,42.41
1505944745000,6257.61,40.04
1505944845000,6620.64,39.98
1505944945000,5586.08,28.25
1505945045000,5462.16,25.20
1505945145000,5760.87,28.98
1505945245000,5663.86,28.00
1505945345000,6210.41,34.25
1505945445000,5449.50,24.40
1505945545000,6034.92,30.51
1505945645000,5749.10,27.99
1505945745000,5914.14,28.07
1505945845000,6727.95,38.18
1505945945000,6138.87,29.02
1505946045000,7498.48,49.58
1505946145000,6440.98,32.12
1505946245000,6963.05,40.40
1505946345000,6339.83,34.08
1505946445000,5821.84,27.29
1505946545000,6118.00,28.42
1505946645000,6271.31,31.68
1505946745000,6077.92,29.07
1505946845000,6547.93,34.44
1505946945000,5945.42,27.03
1505947045000,6300.14,32.97
1505947145000,6481.20,33.38
1505947245000,6229.58,32.09
1505947345000,6766.54,37.06
1505947445000,6670.13,35.58
1505947545000,6674.25,35.45
1505947645000,7351.47,43.29
1505947745000,6862.17,36.18
1505947845000,7531.01,47.57
1505947945000,7199.55,39.81
1505948045000,6423.19,31.92
1505948145000,6851.77,43.83
1505948245000,6278.18,32.16
1505948345000,5687.10,26.04
