89.99MB of 89.99MB total (  100%)
Dropped 1505 nodes (cum <= 0.45MB)
      flat  flat%   sum%        cum   cum%
   18.50MB 20.56% 20.56%    18.50MB 20.56%  runtime.rawstringtmp
   13.99MB 15.54% 36.10%    13.99MB 15.54%  runtime.hashGrow
   10.50MB 11.67% 47.78%    24.49MB 27.22%  runtime.mapassign
   10.01MB 11.12% 58.90%    10.01MB 11.12%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
    6.09MB  6.77% 65.67%     6.09MB  6.77%  bytes.makeSlice
    4.05MB  4.50% 70.17%     4.05MB  4.50%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    3.53MB  3.92% 74.09%     3.53MB  3.92%  github.com/openshift/origin/vendor/github.com/google/cadvisor/summary.(*StatsSummary).AddSample
    1.50MB  1.67% 75.75%     1.50MB  1.67%  runtime.makemap
    1.01MB  1.12% 76.88%     1.01MB  1.12%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*stream).merge
       1MB  1.11% 77.99%        1MB  1.11%  github.com/openshift/origin/vendor/github.com/google/cadvisor/utils.(*TimedStore).Add
       1MB  1.11% 79.10%        1MB  1.11%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/client/clientset_generated/clientset/typed/core/v1.(*persistentVolumes).Get
       1MB  1.11% 80.21%        1MB  1.11%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/api/v1.(*EndpointSubset).Unmarshal
       1MB  1.11% 81.32%     1.50MB  1.67%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.newRawContainerHandler
       1MB  1.11% 82.44%       10MB 11.12%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*ListPodSandboxResponse).Unmarshal
       1MB  1.11% 83.55%        2MB  2.22%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.toRuntimeAPIContainer
    0.79MB  0.88% 84.43%     0.79MB  0.88%  encoding/json.(*Decoder).refill
    0.79MB  0.88% 85.31%     0.79MB  0.88%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
    0.60MB  0.66% 85.97%     0.60MB  0.66%  runtime.stringtoslicebyte
    0.59MB  0.65% 86.62%     0.59MB  0.65%  github.com/openshift/origin/vendor/google.golang.org/grpc.(*parser).recvMsg
    0.52MB  0.57% 87.19%     0.52MB  0.57%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*Framer).WriteDataPadded
    0.51MB  0.57% 87.76%     0.51MB  0.57%  runtime.allgadd
    0.51MB  0.56% 88.32%     0.51MB  0.56%  github.com/openshift/origin/vendor/google.golang.org/grpc/transport.(*http2Client).handleData
    0.50MB  0.56% 88.88%     0.50MB  0.56%  strings.NewReplacer
    0.50MB  0.56% 89.44%     0.50MB  0.56%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubectl.ResourceAliases
    0.50MB  0.56% 89.99%     0.50MB  0.56%  regexp/syntax.(*compiler).quest
