timestamp_ms,br0-rx,br0-tx,docker0-rx,docker0-tx,eth0-rx,eth0-tx,lo-rx,lo-tx,ovs-system-rx,ovs-system-tx,tun0-rx,tun0-tx,veth42a9288a-rx,veth42a9288a-tx,veth451b7e76-rx,veth451b7e76-tx,veth48dc0386-rx,veth48dc0386-tx,veth9859de9c-rx,veth9859de9c-tx,vethb7208300-rx,vethb7208300-tx,vethbdaf899a-rx,vethbdaf899a-tx,vethc1ceb0cb-rx,vethc1ceb0cb-tx,vethcda078c3-rx,vethcda078c3-tx,vethd110ac35-rx,vethd110ac35-tx,vethe0dfe8c3-rx,vethe0dfe8c3-tx,vethf824a9f7-rx,vethf824a9f7-tx,vethfa4b3228-rx,vethfa4b3228-tx,vethfb3378d1-rx,vethfb3378d1-tx,vethfd254fa7-rx,vethfd254fa7-tx,vxlan_sys_4789-rx,vxlan_sys_4789-tx
1505941345000,,,0,0,9.58767104,0.11493376,0.01015808,0.01015808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941445000,,,0,0,9.98670336,0.11804672,0.01015808,0.01015808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941545000,,,0,0,0.00016384,8.192e-05,0.01007616,0.01007616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941645000,,,0,0,0.04005888,0.00794624,0.01007616,0.01007616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941745000,,,0,0,0.33906688,0.05865472,0.01007616,0.01007616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941845000,0,0,,,20.26807296,0.35872768,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1505941945000,0,0,,,0.04096,0.00720896,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1505942045000,0,0,,,0.01417216,0.00278528,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1505942145000,0,0,,,0.01441792,0.00278528,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1505942245000,0,0,,,0.01482752,0.00294912,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1505942345000,0,0,,,0.01458176,0.0028672,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1505942445000,0,0,,,0.01466368,0.0028672,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1505942545000,0,0,,,0.01425408,0.00270336,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1505942645000,0,0,,,0.01425408,0.00278528,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1505942745000,0,0,,,0.01417216,0.00278528,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
