timestamp_ms,br0-rx,docker0-rx,eth0-rx,lo-rx,ovs-system-rx,tun0-rx,veth42a9288a-rx,veth451b7e76-rx,veth48dc0386-rx,veth9859de9c-rx,vethb7208300-rx,vethbdaf899a-rx,vethc1ceb0cb-rx,vethcda078c3-rx,vethd110ac35-rx,vethe0dfe8c3-rx,vethf824a9f7-rx,vethfa4b3228-rx,vethfb3378d1-rx,vethfd254fa7-rx,vxlan_sys_4789-rx
1505941345000,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,
1505941445000,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,
1505941545000,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,
1505941645000,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,
1505941745000,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,
1505941845000,0.00,,0.00,,0.00,0.00,,,,,,,,,,,,,,,0.00
1505941945000,0.00,,0.00,,0.00,0.00,,,,,,,,,,,,,,,0.00
1505942045000,0.00,,0.00,,0.00,0.00,,,,,,,,,,,,,,,0.00
1505942145000,0.00,,0.00,,0.00,0.00,,,,,,,,,,,,,,,0.00
1505942245000,0.00,,0.00,,0.00,0.00,,,,,,,,,,,,,,,0.00
1505942345000,0.00,,0.00,,0.00,0.00,,,,,,,,,,,,,,,0.00
1505942445000,0.00,,0.00,,0.00,0.00,,,,,,,,,,,,,,,0.00
1505942545000,0.00,,0.00,,0.00,0.00,,,,,,,,,,,,,,,0.00
1505942645000,0.00,,0.00,,0.00,0.00,,,,,,,,,,,,,,,0.00
1505942745000,0.00,,0.00,,0.00,0.00,,,,,,,,,,,,,,,0.00
1505942845000,0.00,,0.00,,0.00,0.00,,,,,,,,,,,,,,,0.00
1505942945000,0.00,,,,,0.00,,0.00,,,,,,,0.00,,,,,,0.00
1505943045000,0.00,,,,,0.00,,,,,0.00,,,0.00,,,,,,,0.00
1505943145000,0.00,,,,,0.00,,,,,0.00,,,0.00,,,,,,,0.00
1505943245000,0.00,,,,,0.00,,,,,0.00,0.00,,,,,,,,,0.00
1505943345000,0.00,,,,,0.00,,,,,0.00,0.00,,,,,,,,,0.00
1505943445000,0.00,,,,,0.00,,,,,0.00,0.00,,,,,,,,,0.00
1505943545000,0.00,,,,,0.00,,,,,0.00,0.00,,,,,,,,,0.00
1505943645000,,,,,,0.00,0.00,,,,,,0.00,,,,0.00,,,,0.00
1505943745000,,,,,,0.00,0.00,,,,,,0.00,,,,0.00,,,,0.00
1505943845000,,,,,,0.00,0.00,,,,,,0.00,,,,0.00,,,,0.00
1505943945000,,,,,,0.00,0.00,,,,,,0.00,,,,0.00,,,,0.00
1505944045000,,,,,,0.00,0.00,,,,,,0.00,,,,0.00,,,,0.00
1505944145000,,,,,,0.00,0.00,,,,,,0.00,,,,0.00,,,,0.00
1505944245000,,,,,,0.00,0.00,,,,,,0.00,,,,0.00,,,,0.00
1505944345000,,,,,,0.00,0.00,,,,,,0.00,,,,0.00,,,,0.00
1505944445000,,,,,,0.00,0.00,,,,,,0.00,,,,0.00,,,,0.00
1505944545000,,,,,,0.00,0.00,,,,,,0.00,,,,0.00,,,,0.00
1505944645000,,,,,,0.00,0.00,,,,,,0.00,,,,0.00,,,,0.00
1505944745000,,,,,,0.00,0.00,,,,,,0.00,,,,,,,0.00,0.00
1505944845000,,,,,,0.00,0.00,,,,,,0.00,,,,,,,0.00,0.00
1505944945000,,,,,,0.00,0.00,,,,,,0.00,,,,,,,0.00,0.00
1505945045000,,,,,,0.00,0.00,,,,,,0.00,,,,,,,0.00,0.00
1505945145000,,,,,,0.00,0.00,,,,,,0.00,,,,,,,0.00,0.00
1505945245000,,,,,,0.00,0.00,,,,,,0.00,,,,,,,0.00,0.00
1505945345000,,,,,,0.00,0.00,,,,,,0.00,,,,,,,0.00,0.00
1505945445000,,,,,,0.00,0.00,,,,,,0.00,,,,,,,0.00,0.00
1505945545000,,,,,,0.00,0.00,,,,,,0.00,,,,,,,0.00,0.00
1505945645000,,,,,,0.00,0.00,,,,,,0.00,,,,,,,0.00,0.00
1505945745000,,,,,,0.00,,,,,,,0.00,,,,,,0.00,0.00,0.00
1505945845000,,,,,,0.00,,,,,,,0.00,,,,,,0.00,0.00,0.00
1505945945000,,,,,,0.00,,,,,,,0.00,,,,,,0.00,0.00,0.00
1505946045000,,,,,,0.00,,,,,,,0.00,,,,,0.00,,0.00,0.00
1505946145000,,,,,,0.00,,,,,,,0.00,,,,,0.00,,0.00,0.00
1505946245000,,,,,,0.00,,,0.00,,,,0.00,,,,,0.00,,0.00,
1505946345000,,,,,,,,,0.00,0.00,,,,,,0.00,,0.00,,0.00,
