timestamp_ms,br0-rx,br0-tx,docker0-rx,docker0-tx,eth0-rx,eth0-tx,lo-rx,lo-tx,ovs-system-rx,ovs-system-tx,tun0-rx,tun0-tx,veth42a9288a-rx,veth42a9288a-tx,veth451b7e76-rx,veth451b7e76-tx,veth48dc0386-rx,veth48dc0386-tx,veth9859de9c-rx,veth9859de9c-tx,vethb7208300-rx,vethb7208300-tx,vethbdaf899a-rx,vethbdaf899a-tx,vethc1ceb0cb-rx,vethc1ceb0cb-tx,vethcda078c3-rx,vethcda078c3-tx,vethd110ac35-rx,vethd110ac35-tx,vethe0dfe8c3-rx,vethe0dfe8c3-tx,vethf824a9f7-rx,vethf824a9f7-tx,vethfa4b3228-rx,vethfa4b3228-tx,vethfb3378d1-rx,vethfb3378d1-tx,vethfd254fa7-rx,vethfd254fa7-tx,vxlan_sys_4789-rx,vxlan_sys_4789-tx
1505941345000,,,0.00,0.00,810.54,179.20,21.07,21.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941445000,,,0.00,0.00,854.31,169.57,21.10,21.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941545000,,,0.00,0.00,0.17,0.17,21.04,21.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941645000,,,0.00,0.00,9.14,8.99,21.02,21.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941745000,,,0.00,0.00,69.30,67.82,21.04,21.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941845000,0.00,0.00,,,1809.61,492.41,,,0.00,0.00,0.00,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505941945000,0.00,0.00,,,7.57,7.67,,,0.00,0.00,0.00,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942045000,0.00,0.00,,,3.41,3.24,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942145000,0.00,0.00,,,3.36,3.32,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942245000,0.00,0.00,,,3.58,3.54,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942345000,0.00,0.00,,,3.48,3.41,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942445000,0.00,0.00,,,3.45,3.38,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942545000,0.00,0.00,,,3.31,3.22,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942645000,0.00,0.00,,,3.35,3.28,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942745000,0.00,0.00,,,3.36,3.26,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942845000,0.00,0.00,,,11.61,9.97,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942945000,0.00,0.00,,,,,,,,,0.00,0.00,,,0.08,0.08,,,,,,,,,,,,,0.08,0.08,,,,,,,,,,,0.00,0.00
1505943045000,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,0.03,0.03,,,,,0.08,0.08,,,,,,,,,,,,,0.00,0.00
1505943145000,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,0.05,0.05,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00
1505943245000,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,0.08,0.08,,,,,,,,,,,,,,,,,0.00,0.00
1505943345000,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,0.00,0.00
1505943445000,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,0.00,0.00
1505943545000,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,0.00,0.00
1505943645000,,,,,,,,,,,0.00,0.08,0.08,0.08,,,,,,,,,,,0.08,0.08,,,,,,,0.08,0.08,,,,,,,0.00,0.00
1505943745000,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,0.00,0.00
1505943845000,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,0.00,0.00
1505943945000,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,0.00,0.00
1505944045000,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,0.00,0.00
1505944145000,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,0.00,0.00
1505944245000,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,0.00,0.00
1505944345000,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,0.00,0.00
1505944445000,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,0.00,0.00
1505944545000,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,0.00,0.00
1505944645000,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,0.00,0.00
1505944745000,,,,,,,,,,,0.00,0.08,0.08,0.08,,,,,,,,,,,0.08,0.08,,,,,,,,,,,,,0.08,0.08,0.00,0.00
1505944845000,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00
1505944945000,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00
1505945045000,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00
1505945145000,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00
1505945245000,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00
1505945345000,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00
1505945445000,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00
1505945545000,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00
1505945645000,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00
1505945745000,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,0.08,0.08,0.00,0.00,0.00,0.00
1505945845000,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00
1505945945000,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00
1505946045000,,,,,,,,,,,0.00,0.08,,,,,,,,,,,,,0.08,0.08,,,,,,,,,0.08,0.08,,,0.08,0.08,0.00,0.00
1505946145000,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,,,0.00,0.00,0.00,0.00
1505946245000,,,,,,,,,,,0.00,0.08,,,,,0.06,0.06,,,,,,,0.08,0.08,,,,,,,,,0.00,0.00,,,0.08,0.08,,
