timestamp_ms,docker_vg-docker--root--lv-read,docker_vg-docker--root--lv-write,xvda-read,xvda-write,xvdb-read,xvdb-write
1505941845000,0.02,0.11,8.29,22.50,0.03,0.11
1505942445000,0.00,0.00,6.88,2.29,0.00,0.00
1505943045000,0.11,2.37,0.44,0.92,0.11,2.15
1505943645000,0.00,6.16,0.00,2.74,0.00,5.41
1505944245000,0.00,7.12,0.00,4.33,0.00,6.45
1505944845000,0.00,7.48,0.00,4.47,0.00,6.96
1505945445000,0.00,4.74,0.00,4.57,0.00,4.17
1505946045000,0.00,5.64,0.00,5.87,0.00,5.16
1505946645000,0.00,5.10,0.00,6.25,0.00,4.53
1505947245000,0.00,3.55,0.00,6.69,0.00,3.16
1505947845000,0.00,5.25,0.00,7.95,0.00,4.62
