85.99s of 103.79s total (82.85%)
Dropped 1378 nodes (cum <= 0.52s)
      flat  flat%   sum%        cum   cum%
    13.87s 13.36% 13.36%     14.41s 13.88%  syscall.Syscall
    12.23s 11.78% 25.15%     21.16s 20.39%  runtime.scanobject
     5.07s  4.88% 30.03%      5.11s  4.92%  runtime.greyobject
     4.57s  4.40% 34.43%      4.57s  4.40%  runtime.heapBitsForObject
     4.47s  4.31% 38.74%      4.47s  4.31%  runtime.memclrNoHeapPointers
     4.38s  4.22% 42.96%     16.11s 15.52%  runtime.mallocgc
     3.56s  3.43% 46.39%      3.63s  3.50%  syscall.Syscall6
     3.51s  3.38% 49.77%      3.57s  3.44%  encoding/json.stateInString
     2.55s  2.46% 52.23%      5.32s  5.13%  encoding/json.(*decodeState).scanWhile
     2.42s  2.33% 54.56%      5.94s  5.72%  encoding/json.(*Decoder).readValue
     2.33s  2.24% 56.81%      2.33s  2.24%  runtime.memmove
     1.68s  1.62% 58.43%      6.77s  6.52%  runtime.mapassign
     1.48s  1.43% 59.85%      1.74s  1.68%  runtime.mapiternext
     1.45s  1.40% 61.25%      1.45s  1.40%  runtime.heapBitsSetType
     1.44s  1.39% 62.64%      1.51s  1.45%  encoding/json.unquoteBytes
     1.29s  1.24% 63.88%      1.29s  1.24%  runtime.futex
     1.15s  1.11% 64.99%     21.36s 20.58%  encoding/json.(*decodeState).object
     1.04s  1.00% 65.99%      1.04s  1.00%  runtime.aeshashbody
     0.74s  0.71% 66.70%      0.74s  0.71%  runtime.(*mSpanList).remove
     0.68s  0.66% 67.36%      1.69s  1.63%  runtime.evacuate
     0.64s  0.62% 67.97%      1.76s  1.70%  runtime.typedmemmove
     0.63s  0.61% 68.58%      0.63s  0.61%  runtime.memeqbody
     0.60s  0.58% 69.16%      0.72s  0.69%  encoding/json.stateEndValue
     0.49s  0.47% 69.63%      0.84s  0.81%  runtime.mapaccess2_faststr
     0.47s  0.45% 70.08%      2.58s  2.49%  runtime.gentraceback
     0.46s  0.44% 70.53%      1.06s  1.02%  runtime.mapiterinit
     0.44s  0.42% 70.95%      1.18s  1.14%  reflect.(*rtype).Name
     0.44s  0.42% 71.37%      1.34s  1.29%  runtime.sweepone
     0.42s   0.4% 71.78%      0.74s  0.71%  reflect.(*rtype).String
     0.40s  0.39% 72.16%      0.59s  0.57%  path.Clean
     0.40s  0.39% 72.55%      1.21s  1.17%  runtime.pcvalue
     0.39s  0.38% 72.93%      1.06s  1.02%  syscall.ByteSliceFromString
     0.37s  0.36% 73.28%      0.70s  0.67%  runtime.bulkBarrierPreWrite
     0.37s  0.36% 73.64%     18.83s 18.14%  runtime.gcDrain
     0.36s  0.35% 73.99%      0.73s   0.7%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/util/iptables.ReadLine
     0.35s  0.34% 74.32%      0.73s   0.7%  runtime.step
     0.33s  0.32% 74.64%      2.18s  2.10%  encoding/json.(*decodeState).indirect
     0.33s  0.32% 74.96%     32.39s 31.21%  runtime.systemstack
     0.32s  0.31% 75.27%      0.61s  0.59%  runtime.mapaccess1
     0.30s  0.29% 75.56%      0.60s  0.58%  runtime.scanblock
     0.29s  0.28% 75.84%      3.44s  3.31%  runtime.rawstring
     0.28s  0.27% 76.11%      3.72s  3.58%  runtime.rawstringtmp
     0.28s  0.27% 76.38%      4.20s  4.05%  runtime.slicebytetostring
     0.27s  0.26% 76.64%      2.82s  2.72%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.(*Proxier).syncProxyRules
     0.26s  0.25% 76.89%      1.20s  1.16%  runtime.writebarrierptr_prewrite1
     0.25s  0.24% 77.13%      2.72s  2.62%  runtime.(*mcentral).cacheSpan
     0.24s  0.23% 77.36%      0.70s  0.67%  runtime.shade
     0.22s  0.21% 77.57%      0.92s  0.89%  runtime.gcmarkwb_m
     0.22s  0.21% 77.78%      4.55s  4.38%  runtime.newobject
     0.21s   0.2% 77.98%      0.68s  0.66%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/volumemanager/cache.(*actualStateOfWorld).GetMountedVolumes
     0.21s   0.2% 78.19%      0.58s  0.56%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/proxy/iptables.writeLine
     0.20s  0.19% 78.38%      0.93s   0.9%  runtime.convT2E
     0.19s  0.18% 78.56%      4.47s  4.31%  encoding/json.(*decodeState).literalStore
     0.19s  0.18% 78.75%      2.16s  2.08%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/dockershim.extractLabels
     0.19s  0.18% 78.93%      0.79s  0.76%  runtime.(*mspan).sweep
     0.17s  0.16% 79.09%      6.05s  5.83%  runtime.makeslice
     0.15s  0.14% 79.24%      0.96s  0.92%  runtime.concatstrings
     0.14s  0.13% 79.37%      1.25s  1.20%  runtime.findrunnable
     0.14s  0.13% 79.51%      0.55s  0.53%  syscall.ParseDirent
     0.13s  0.13% 79.63%         1s  0.96%  runtime.writebarrierptr
     0.12s  0.12% 79.75%      0.61s  0.59%  encoding/json.cachedTypeFields
     0.12s  0.12% 79.86%      2.38s  2.29%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*PodSandbox).Unmarshal
     0.12s  0.12% 79.98%      0.70s  0.67%  reflect.(*rtype).ptrTo
     0.12s  0.12% 80.09%      2.79s  2.69%  reflect.Value.SetMapIndex
     0.10s 0.096% 80.19%      2.28s  2.20%  reflect.Value.Convert
     0.10s 0.096% 80.29%      0.58s  0.56%  runtime.(*mheap).alloc_m
     0.09s 0.087% 80.37%      7.65s  7.37%  encoding/json.(*decodeState).literal
     0.09s 0.087% 80.46%     21.85s 21.05%  encoding/json.(*decodeState).value
     0.09s 0.087% 80.55%      1.02s  0.98%  reflect.deepValueEqual
     0.09s 0.087% 80.63%      2.59s  2.50%  runtime.newarray
     0.09s 0.087% 80.72%      1.01s  0.97%  runtime.scanframeworker
     0.08s 0.077% 80.80%      1.09s  1.05%  reflect.New
     0.08s 0.077% 80.87%      1.65s  1.59%  runtime.hashGrow
     0.08s 0.077% 80.95%         1s  0.96%  runtime.writebarrierptr_prewrite1.func1
     0.07s 0.067% 81.02%      0.69s  0.66%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*PodSandbox).MarshalTo
     0.07s 0.067% 81.09%      6.19s  5.96%  io/ioutil.ReadFile
     0.07s 0.067% 81.15%      1.90s  1.83%  reflect.cvtBytesString
     0.07s 0.067% 81.22%      0.55s  0.53%  reflect.resolveTypeOff
     0.07s 0.067% 81.29%      1.13s  1.09%  syscall.BytePtrFromString
     0.06s 0.058% 81.35%         1s  0.96%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/volumemanager/cache.(*actualStateOfWorld).GetMountedVolumesForPod
     0.06s 0.058% 81.40%      0.57s  0.55%  reflect.typedmemmove
     0.06s 0.058% 81.46%      1.46s  1.41%  runtime.bgsweep
     0.06s 0.058% 81.52%      0.60s  0.58%  runtime.pcdatavalue
     0.05s 0.048% 81.57%      1.54s  1.48%  bufio.(*Scanner).Scan
     0.05s 0.048% 81.62%      1.10s  1.06%  reflect.makeString
     0.05s 0.048% 81.66%      7.59s  7.31%  syscall.Lstat
     0.04s 0.039% 81.70%     21.73s 20.94%  encoding/json.(*decodeState).array
     0.04s 0.039% 81.74%      0.79s  0.76%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/apis/cri/v1alpha1/runtime.(*Container).Unmarshal
     0.04s 0.039% 81.78%      5.67s  5.46%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet/cm.(*podContainerManagerImpl).GetAllPodsFromCgroups
     0.04s 0.039% 81.82%      0.53s  0.51%  reflect.MakeSlice
     0.04s 0.039% 81.86%      0.52s   0.5%  reflect.Value.Addr
     0.04s 0.039% 81.90%      1.20s  1.16%  reflect.unsafe_New
     0.04s 0.039% 81.93%      3.29s  3.17%  runtime.(*mcache).nextFree
     0.04s 0.039% 81.97%      3.29s  3.17%  runtime.gcDrainN
     0.04s 0.039% 82.01%      1.50s  1.45%  runtime.schedule
     0.03s 0.029% 82.04%      4.13s  3.98%  github.com/openshift/origin/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs.(*MemoryGroup).GetStats
     0.03s 0.029% 82.07%      8.19s  7.89%  github.com/openshift/origin/vendor/k8s.io/kubernetes/pkg/kubelet.(*Kubelet).HandlePodCleanups
