timestamp_ms,br0-rx,br0-tx,docker0-rx,docker0-tx,eth0-rx,eth0-tx,lo-rx,lo-tx,ovs-system-rx,ovs-system-tx,tun0-rx,tun0-tx,veth01f3fbf8-rx,veth01f3fbf8-tx,veth108de0c9-rx,veth108de0c9-tx,veth454e3b7c-rx,veth454e3b7c-tx,veth5bda4b41-rx,veth5bda4b41-tx,veth6c9f3a04-rx,veth6c9f3a04-tx,veth7b66b7c4-rx,veth7b66b7c4-tx,veth8c177705-rx,veth8c177705-tx,veth94693f5a-rx,veth94693f5a-tx,veth98a5c999-rx,veth98a5c999-tx,vethb21e9c8e-rx,vethb21e9c8e-tx,vethb825cdfe-rx,vethb825cdfe-tx,vethe0aa4d04-rx,vethe0aa4d04-tx,vethe73e293e-rx,vethe73e293e-tx,vxlan_sys_4789-rx,vxlan_sys_4789-tx
1505941345000,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941445000,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941545000,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941645000,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941745000,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941845000,0.00,0.00,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505941945000,0.00,0.00,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942045000,0.00,0.00,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942145000,0.00,0.00,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942245000,0.00,0.00,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942345000,0.00,0.00,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942445000,0.00,0.00,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942545000,0.00,0.00,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942645000,0.00,0.00,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942745000,0.00,0.00,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942845000,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942945000,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00
1505943045000,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00
1505943145000,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00
1505943245000,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,,,,,0.00,0.00
1505943345000,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,,,0.00,0.00,,,,,,,,,0.00,0.00,,,,,0.00,0.00
1505943445000,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,0.00,0.00
1505943545000,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,,,0.00,0.00
1505943645000,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,,,0.00,0.00
1505943745000,0.00,0.00,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,,,0.00,0.00
1505943845000,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00
1505943945000,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
1505944045000,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
1505944145000,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
