timestamp_ms,docker_vg-docker--root--lv-read,docker_vg-docker--root--lv-write,vg_54392392f12e62e316de81128a1660f5-brick_3941b22c989d0dd48bb1e7888ba5837a-read,vg_54392392f12e62e316de81128a1660f5-brick_3941b22c989d0dd48bb1e7888ba5837a-write,vg_54392392f12e62e316de81128a1660f5-tp_3941b22c989d0dd48bb1e7888ba5837a-tpool-read,vg_54392392f12e62e316de81128a1660f5-tp_3941b22c989d0dd48bb1e7888ba5837a-tpool-write,vg_54392392f12e62e316de81128a1660f5-tp_3941b22c989d0dd48bb1e7888ba5837a_tdata-read,vg_54392392f12e62e316de81128a1660f5-tp_3941b22c989d0dd48bb1e7888ba5837a_tdata-write,vg_54392392f12e62e316de81128a1660f5-tp_3941b22c989d0dd48bb1e7888ba5837a_tmeta-read,vg_54392392f12e62e316de81128a1660f5-tp_3941b22c989d0dd48bb1e7888ba5837a_tmeta-write,vg_c3f390af9076a8f0ae75f3024b4eabc2-tp_526e5434e74b6f9d586e2837cfb19ced_tdata-read,vg_c3f390af9076a8f0ae75f3024b4eabc2-tp_526e5434e74b6f9d586e2837cfb19ced_tdata-write,vg_c3f390af9076a8f0ae75f3024b4eabc2-tp_526e5434e74b6f9d586e2837cfb19ced_tmeta-read,vg_c3f390af9076a8f0ae75f3024b4eabc2-tp_526e5434e74b6f9d586e2837cfb19ced_tmeta-write,xvda-read,xvda-write,xvdb-read,xvdb-write,xvdf-read,xvdf-write,xvdg-read,xvdg-write,xvdh-read,xvdh-write
1505941845000,0.02,0.10,,,,,,,,,,,,,8.22,19.29,0.03,0.10,0.02,0.00,0.02,0.00,0.02,0.00
1505942445000,0.62,33.93,0.91,0.52,0.66,0.95,0.66,0.95,0.03,0.06,,,,,0.55,2.98,0.79,9.02,0.52,0.01,0.52,0.01,1.34,0.84
1505943045000,0.00,1.69,0.00,7.16,0.00,7.16,0.00,7.16,0.00,0.03,0.65,0.61,0.03,0.06,0.02,8.42,0.00,1.62,22.88,15.25,21.18,13.79,17.51,18.53
1505943646000,0.00,3.75,0.00,7.77,0.00,7.78,0.00,7.78,0.00,0.03,0.00,0.05,0.00,0.00,0.01,20.81,0.00,3.63,39.76,29.10,40.86,30.26,50.00,43.95
1505944249000,0.00,4.00,0.00,15.40,0.00,15.41,0.00,15.41,0.00,0.05,0.00,0.05,0.00,0.00,6.88,22.00,0.00,3.89,37.78,31.03,39.63,31.62,41.98,50.28
1505944851000,0.00,3.31,0.00,4.46,0.00,4.52,0.00,4.52,0.00,0.04,0.00,0.05,0.00,0.00,0.01,20.87,0.00,3.24,24.55,25.90,24.60,26.05,32.62,36.46
1505945456000,0.04,5.71,0.00,14.39,0.00,14.38,0.00,14.38,0.00,0.00,0.00,0.05,0.00,0.00,0.01,17.07,0.04,5.59,38.12,33.36,35.10,32.31,47.48,55.59
1505946058000,0.00,3.95,0.00,3.37,0.00,3.37,0.00,3.37,0.00,0.00,0.00,0.05,0.00,0.00,0.01,18.50,0.00,3.87,27.29,30.49,24.32,27.91,25.19,34.45
1505946662000,0.00,3.32,0.00,10.38,0.00,10.37,0.00,10.37,0.00,0.00,0.00,0.05,0.00,0.00,0.01,12.39,0.00,3.23,16.51,24.12,25.15,29.39,20.24,38.78
1505947269000,0.14,7.04,0.00,5.84,0.00,5.84,0.00,5.84,0.00,0.01,0.00,0.05,0.00,0.00,0.01,16.37,0.14,6.88,38.12,37.69,40.80,39.86,32.83,42.29
1505947877000,0.00,1.64,0.00,3.35,0.00,3.36,0.00,3.36,0.00,0.01,0.00,0.05,0.00,0.00,0.00,15.32,0.00,1.58,8.88,23.89,10.70,25.63,9.87,28.78
