timestamp_ms,docker_vg-docker--root--lv,vg_54392392f12e62e316de81128a1660f5-brick_3941b22c989d0dd48bb1e7888ba5837a,vg_54392392f12e62e316de81128a1660f5-tp_3941b22c989d0dd48bb1e7888ba5837a-tpool,vg_54392392f12e62e316de81128a1660f5-tp_3941b22c989d0dd48bb1e7888ba5837a_tdata,vg_54392392f12e62e316de81128a1660f5-tp_3941b22c989d0dd48bb1e7888ba5837a_tmeta,vg_c3f390af9076a8f0ae75f3024b4eabc2-tp_526e5434e74b6f9d586e2837cfb19ced_tdata,vg_c3f390af9076a8f0ae75f3024b4eabc2-tp_526e5434e74b6f9d586e2837cfb19ced_tmeta,xvda,xvdb,xvdf,xvdg,xvdh
1505941845000,0.00,,,,,,,2.20,0.00,0.00,0.00,0.00
1505942445000,27.41,0.00,0.00,0.00,0.00,,,0.05,6.51,0.00,0.00,0.00
1505943045000,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.03,0.01,0.05,0.04,0.04
1505943646000,0.02,0.01,0.01,0.01,0.00,0.00,0.00,0.09,0.02,0.11,0.14,0.14
1505944249000,0.04,0.06,0.06,0.06,0.00,0.00,0.00,0.11,0.04,0.17,0.11,0.22
1505944851000,0.04,0.01,0.01,0.01,0.00,0.00,0.00,0.08,0.04,0.11,0.10,0.13
1505945456000,0.08,0.05,0.05,0.05,0.00,0.00,0.00,0.17,0.08,0.15,0.10,0.21
1505946058000,0.07,0.03,0.03,0.03,0.00,0.00,0.00,0.13,0.07,0.11,0.13,0.24
1505946662000,0.06,0.03,0.03,0.03,0.00,0.00,0.00,0.10,0.06,0.13,0.10,0.14
1505947269000,0.14,0.01,0.01,0.01,0.00,0.00,0.00,0.15,0.14,0.20,0.16,0.12
1505947877000,0.04,0.02,0.02,0.02,0.00,0.00,0.00,0.09,0.04,0.08,0.09,0.11
