timestamp_ms,docker_vg-docker--root--lv,vg_54392392f12e62e316de81128a1660f5-brick_3941b22c989d0dd48bb1e7888ba5837a,vg_54392392f12e62e316de81128a1660f5-tp_3941b22c989d0dd48bb1e7888ba5837a-tpool,vg_54392392f12e62e316de81128a1660f5-tp_3941b22c989d0dd48bb1e7888ba5837a_tdata,vg_54392392f12e62e316de81128a1660f5-tp_3941b22c989d0dd48bb1e7888ba5837a_tmeta,vg_c3f390af9076a8f0ae75f3024b4eabc2-tp_526e5434e74b6f9d586e2837cfb19ced_tdata,vg_c3f390af9076a8f0ae75f3024b4eabc2-tp_526e5434e74b6f9d586e2837cfb19ced_tmeta,xvda,xvdb,xvdf,xvdg,xvdh
1505941845000,10.54,,,,,,,166.92,10.23,8.00,8.00,8.00
1505942445000,51.73,4949.40,65.29,65.29,8.44,,,65.03,183.03,29.77,29.77,56.41
1505943045000,23.16,69.41,69.64,69.64,8.00,51.61,8.44,16.48,24.09,49.86,49.85,53.75
1505943646000,73.04,56.87,57.03,57.03,8.00,173.33,0.00,18.92,75.49,54.17,53.88,53.54
1505944249000,112.24,57.94,58.11,58.11,8.00,173.33,0.00,19.05,115.31,58.50,58.60,58.52
1505944851000,125.91,46.29,47.25,47.25,8.00,173.33,0.00,18.57,128.50,66.53,66.15,64.39
1505945456000,142.14,60.46,60.51,60.51,0.00,173.33,0.00,26.78,145.12,68.28,69.17,66.80
1505946058000,153.42,45.09,45.09,45.09,0.00,173.33,0.00,21.50,156.66,74.10,76.14,76.33
1505946662000,159.78,59.84,59.86,59.86,0.00,173.33,0.00,26.28,163.81,88.85,80.55,83.14
1505947269000,163.67,58.25,58.40,58.40,8.00,173.33,0.00,31.47,167.43,77.24,76.22,80.42
1505947877000,163.01,45.44,45.61,45.61,8.00,173.33,0.00,21.30,168.68,103.91,99.82,101.70
