timestamp_ms,docker_vg-docker--root--lv-read,docker_vg-docker--root--lv-write,vg_54392392f12e62e316de81128a1660f5-brick_3941b22c989d0dd48bb1e7888ba5837a-read,vg_54392392f12e62e316de81128a1660f5-brick_3941b22c989d0dd48bb1e7888ba5837a-write,vg_54392392f12e62e316de81128a1660f5-tp_3941b22c989d0dd48bb1e7888ba5837a-tpool-read,vg_54392392f12e62e316de81128a1660f5-tp_3941b22c989d0dd48bb1e7888ba5837a-tpool-write,vg_54392392f12e62e316de81128a1660f5-tp_3941b22c989d0dd48bb1e7888ba5837a_tdata-read,vg_54392392f12e62e316de81128a1660f5-tp_3941b22c989d0dd48bb1e7888ba5837a_tdata-write,vg_54392392f12e62e316de81128a1660f5-tp_3941b22c989d0dd48bb1e7888ba5837a_tmeta-read,vg_54392392f12e62e316de81128a1660f5-tp_3941b22c989d0dd48bb1e7888ba5837a_tmeta-write,vg_c3f390af9076a8f0ae75f3024b4eabc2-tp_526e5434e74b6f9d586e2837cfb19ced_tdata-read,vg_c3f390af9076a8f0ae75f3024b4eabc2-tp_526e5434e74b6f9d586e2837cfb19ced_tdata-write,vg_c3f390af9076a8f0ae75f3024b4eabc2-tp_526e5434e74b6f9d586e2837cfb19ced_tmeta-read,vg_c3f390af9076a8f0ae75f3024b4eabc2-tp_526e5434e74b6f9d586e2837cfb19ced_tmeta-write,xvda-read,xvda-write,xvdb-read,xvdb-write,xvdf-read,xvdf-write,xvdg-read,xvdg-write,xvdh-read,xvdh-write
1505941845000,0.00,0.00,,,,,,,,,,,,,0.27,1.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1505942445000,0.02,0.86,0.01,3.44,0.00,0.05,0.00,0.05,0.00,0.00,,,,,0.04,0.07,0.02,0.86,0.01,0.00,0.01,0.00,0.01,0.05
1505943045000,0.00,0.02,0.00,0.24,0.00,0.24,0.00,0.24,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.07,0.00,0.02,0.12,0.81,0.11,0.74,0.09,0.85
1505943646000,0.00,0.13,0.00,0.22,0.00,0.22,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.13,0.23,1.59,0.24,1.64,0.29,2.17
1505944249000,0.00,0.22,0.00,0.44,0.00,0.44,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.23,0.00,0.22,0.24,1.73,0.25,1.79,0.27,2.37
1505944851000,0.00,0.20,0.00,0.10,0.00,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.20,0.16,1.48,0.16,1.48,0.22,1.95
1505945456000,0.00,0.40,0.00,0.42,0.00,0.42,0.00,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.40,0.29,2.10,0.26,2.02,0.37,2.99
1505946058000,0.00,0.30,0.00,0.07,0.00,0.07,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.30,0.21,1.88,0.18,1.76,0.20,2.03
1505946662000,0.00,0.26,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.26,0.13,1.63,0.21,1.94,0.17,2.23
1505947269000,0.00,0.57,0.00,0.17,0.00,0.17,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.57,0.34,2.52,0.36,2.64,0.30,2.65
1505947877000,0.00,0.13,0.00,0.07,0.00,0.07,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.13,0.06,1.60,0.08,1.69,0.08,1.84
