timestamp_ms,docker_vg-docker--root--lv,vg_54392392f12e62e316de81128a1660f5-brick_3941b22c989d0dd48bb1e7888ba5837a,vg_54392392f12e62e316de81128a1660f5-tp_3941b22c989d0dd48bb1e7888ba5837a-tpool,vg_54392392f12e62e316de81128a1660f5-tp_3941b22c989d0dd48bb1e7888ba5837a_tdata,vg_54392392f12e62e316de81128a1660f5-tp_3941b22c989d0dd48bb1e7888ba5837a_tmeta,vg_c3f390af9076a8f0ae75f3024b4eabc2-tp_526e5434e74b6f9d586e2837cfb19ced_tdata,vg_c3f390af9076a8f0ae75f3024b4eabc2-tp_526e5434e74b6f9d586e2837cfb19ced_tmeta,xvda,xvdb,xvdf,xvdg,xvdh
1505941845000,0.03,,,,,,,2.71,0.03,0.00,0.00,0.00
1505942445000,6.17,0.09,0.08,0.08,0.00,,,0.35,6.20,0.01,0.01,0.10
1505943045000,0.41,0.57,0.55,0.55,0.00,0.06,0.00,0.49,0.41,2.07,1.99,1.90
1505943646000,1.51,0.60,0.59,0.59,0.00,0.01,0.00,1.18,1.51,4.63,5.58,5.44
1505944249000,1.77,2.12,2.10,2.09,0.00,0.01,0.00,1.85,1.77,7.20,4.41,7.42
1505944851000,1.51,0.31,0.31,0.31,0.00,0.01,0.00,1.54,1.51,4.38,4.16,4.91
1505945456000,2.78,1.75,1.73,1.73,0.00,0.00,0.00,1.11,2.78,6.78,4.71,8.58
1505946058000,2.20,0.68,0.68,0.68,0.00,0.03,0.00,1.45,2.20,4.86,4.97,7.69
1505946662000,1.78,1.35,1.32,1.32,0.00,0.01,0.00,1.02,1.78,4.81,4.12,5.57
1505947269000,3.73,0.42,0.41,0.41,0.00,0.02,0.00,1.32,3.73,8.12,6.80,5.47
1505947877000,0.84,0.36,0.36,0.36,0.00,0.01,0.00,1.41,0.84,3.43,3.55,4.13
