timestamp_ms,docker_vg-docker--root--lv-read,docker_vg-docker--root--lv-write,vg_54392392f12e62e316de81128a1660f5-brick_3941b22c989d0dd48bb1e7888ba5837a-read,vg_54392392f12e62e316de81128a1660f5-brick_3941b22c989d0dd48bb1e7888ba5837a-write,vg_54392392f12e62e316de81128a1660f5-tp_3941b22c989d0dd48bb1e7888ba5837a-tpool-read,vg_54392392f12e62e316de81128a1660f5-tp_3941b22c989d0dd48bb1e7888ba5837a-tpool-write,vg_54392392f12e62e316de81128a1660f5-tp_3941b22c989d0dd48bb1e7888ba5837a_tdata-read,vg_54392392f12e62e316de81128a1660f5-tp_3941b22c989d0dd48bb1e7888ba5837a_tdata-write,vg_54392392f12e62e316de81128a1660f5-tp_3941b22c989d0dd48bb1e7888ba5837a_tmeta-read,vg_54392392f12e62e316de81128a1660f5-tp_3941b22c989d0dd48bb1e7888ba5837a_tmeta-write,vg_c3f390af9076a8f0ae75f3024b4eabc2-tp_526e5434e74b6f9d586e2837cfb19ced_tdata-read,vg_c3f390af9076a8f0ae75f3024b4eabc2-tp_526e5434e74b6f9d586e2837cfb19ced_tdata-write,vg_c3f390af9076a8f0ae75f3024b4eabc2-tp_526e5434e74b6f9d586e2837cfb19ced_tmeta-read,vg_c3f390af9076a8f0ae75f3024b4eabc2-tp_526e5434e74b6f9d586e2837cfb19ced_tmeta-write,xvda-read,xvda-write,xvdb-read,xvdb-write,xvdf-read,xvdf-write,xvdg-read,xvdg-write,xvdh-read,xvdh-write
1505941845000,2.40,2.81,,,,,,,,,,,,,9.20,110.22,2.95,2.81,0.30,0.00,0.30,0.00,0.30,0.00
1505942445000,25.15,807.18,0.26,3.74,0.36,2.73,0.36,2.73,0.24,2.11,,,,,27.87,13.23,20.58,720.37,0.25,0.89,0.37,0.56,0.35,2.31
1505943045000,79.00,3.34,0.00,1.39,0.00,1.37,0.00,1.37,0.00,1.88,0.39,2.80,0.24,1.76,0.45,3.71,79.00,3.22,0.37,2.40,0.37,2.55,0.27,2.00
1505943646000,0.00,6.51,0.00,1.87,0.00,1.87,0.00,1.87,0.00,1.00,0.00,1.13,0.00,0.00,0.44,4.45,0.00,6.52,0.51,3.09,0.43,3.91,0.33,2.78
1505944249000,0.00,9.42,0.00,3.73,0.00,3.72,0.00,3.72,0.00,0.94,0.00,2.13,0.00,0.00,0.66,4.81,0.00,9.47,0.59,4.71,0.38,2.86,0.45,4.01
1505944851000,0.00,12.54,0.00,2.73,0.00,2.68,0.00,2.68,0.00,6.14,0.00,2.07,0.00,0.00,0.43,4.07,0.00,12.69,0.74,3.37,0.66,3.21,0.44,3.20
1505945456000,9.48,13.81,0.00,3.22,0.00,3.20,0.00,3.20,0.00,0.00,0.00,0.93,0.00,0.00,0.22,10.08,9.48,13.96,0.52,3.75,0.46,2.67,0.58,3.30
1505946058000,0.00,18.37,0.00,9.25,0.00,9.23,0.00,9.23,0.00,0.00,0.00,5.33,0.00,0.00,0.38,6.78,0.00,18.64,1.04,2.78,0.76,3.92,0.83,6.48
1505946662000,0.00,18.65,0.00,3.26,0.00,3.23,0.00,3.23,0.00,0.00,0.00,2.57,0.00,0.00,0.67,8.20,0.00,18.96,1.06,4.51,0.84,2.57,0.81,3.20
1505947269000,4.69,20.04,0.00,1.90,0.00,1.89,0.00,1.89,0.00,8.62,0.00,4.07,0.00,0.00,0.56,9.42,4.69,20.39,0.96,4.20,0.99,3.00,0.75,2.33
1505947877000,0.00,21.82,0.00,4.78,0.00,4.77,0.00,4.77,0.00,0.88,0.00,1.27,0.00,0.00,0.00,5.84,0.00,22.40,1.45,2.79,1.24,2.89,0.94,3.51
