timestamp_ms,br0-rx,br0-tx,docker0-rx,docker0-tx,eth0-rx,eth0-tx,lo-rx,lo-tx,ovs-system-rx,ovs-system-tx,tun0-rx,tun0-tx,veth3b59cd2e-rx,veth3b59cd2e-tx,vxlan_sys_4789-rx,vxlan_sys_4789-tx
1505941345000,,,0.00,0.00,823.24,156.04,21.11,21.11,,,,,,,,
1505941445000,,,0.00,0.00,861.21,126.69,21.06,21.06,,,,,,,,
1505941545000,,,0.00,0.00,0.37,0.37,21.00,21.00,,,,,,,,
1505941645000,,,0.00,0.00,9.15,8.99,20.90,20.90,,,,,,,,
1505941745000,,,0.00,0.00,70.19,68.87,21.00,21.00,,,,,,,,
1505941845000,0.00,0.00,,,1835.43,432.70,,,0.00,0.00,0.00,0.05,,,0.00,0.00
1505941945000,0.00,0.00,,,14.05,14.01,,,0.00,0.00,0.00,0.03,,,0.00,0.00
1505942045000,0.00,0.00,,,1070.82,65.22,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505942145000,0.00,0.00,,,14.50,13.54,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505942245000,0.00,0.00,,,,,,,0.00,0.00,0.27,0.27,0.35,0.35,0.00,0.00
1505942345000,0.00,0.00,,,,,,,0.00,0.00,1.00,1.01,1.39,1.58,0.57,0.39
1505942445000,0.00,0.00,,,,,,,0.00,0.00,1.00,1.00,1.45,1.65,0.65,0.45
1505942545000,0.00,0.00,,,,,,,0.00,0.00,1.00,1.00,1.43,1.63,0.63,0.43
1505942645000,0.00,0.00,,,3540.05,612.42,,,0.00,0.00,0.10,0.10,,,0.06,0.04
1505942745000,0.00,0.00,,,5.19,5.08,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505942845000,0.00,0.00,,,134.55,159.88,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505942945000,0.00,0.00,,,436.02,789.87,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505943045000,0.00,0.00,,,505.47,1062.04,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505943145000,0.00,0.00,,,703.99,1448.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505943245000,0.00,0.00,,,741.08,1389.65,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505943345000,0.00,0.00,,,532.51,877.73,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505943445000,0.00,0.00,,,582.84,951.24,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505943545000,0.00,0.00,,,526.81,914.05,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505943645000,0.00,0.00,,,441.83,885.27,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505943745000,0.00,0.00,,,480.61,824.73,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505943845000,0.00,0.00,,,484.16,989.30,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505943945000,0.00,0.00,,,1706.48,3422.60,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505944045000,0.00,0.00,,,1240.08,3356.95,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505944145000,0.00,0.00,,,1542.40,3760.29,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505944245000,0.00,0.00,,,1468.62,3757.18,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505944345000,0.00,0.00,,,950.83,1731.89,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505944445000,0.00,0.00,,,1129.88,1732.01,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505944545000,0.00,0.00,,,942.07,1633.96,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505944645000,0.00,0.00,,,694.52,1450.84,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505944745000,0.00,0.00,,,718.76,1543.07,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505944845000,0.00,0.00,,,750.76,1740.85,,,0.00,0.00,0.00,0.00,,,0.00,0.00
