timestamp_ms,raw_sockets,tcp_sockets,tcp_timewait_sockets,total_sockets,udp_sockets
1505941345000,0,9,140685948747780,633,2
1505941445000,0,9,140685948747779,1037,2
1505941545000,0,8,140685948747777,631,2
1505941645000,0,9,140685948747776,635,2
1505941745000,0,9,140685948747777,629,2
1505941845000,0,13,140685948747777,695,5
1505941945000,0,12,140685948747776,691,5
1505942045000,0,13,140685948747776,1164,10
1505942145000,0,30,140685948747779,1201,10
1505942245000,0,32,140685948747786,1607,10
1505942345000,0,32,140685948747789,1608,10
1505942445000,0,32,140685948747788,1608,10
1505942545000,0,32,140685948747788,1610,10
1505942645000,0,28,140685948747776,1193,10
1505942745000,0,28,140685948747776,1193,10
1505942845000,0,36,140685948747857,1230,10
1505942945000,0,60,140685948748540,1261,10
1505943045000,0,462,140685948748730,1695,10
1505943145000,0,159,140685948749665,1408,10
1505943245000,0,188,140685948750644,1454,10
1505943345000,0,431,140685948750703,1722,10
1505943445000,0,284,140685948750598,1601,10
1505943545000,0,326,140685948749421,1663,10
1505943645000,0,382,140685948748747,1741,10
1505943745000,0,462,140685948749015,1844,10
1505943845000,0,550,140685948749744,1964,10
1505943945000,0,540,140685948755143,1985,10
1505944045000,0,596,140685948751248,2063,10
1505944145000,0,630,140685948750997,2120,10
1505944245000,0,680,140685948751168,2189,10
1505944345000,0,716,140685948750853,2252,10
1505944445000,0,834,140685948751736,2382,10
1505944545000,0,792,140685948751673,2372,10
1505944645000,0,865,140685948747781,2465,10
1505944745000,0,925,140685948747990,2557,10
1505944845000,0,989,140685948747784,2648,10
1505944945000,0,1020,140685948750462,2703,10
1505945045000,0,1042,140685948755265,2741,10
1505945145000,0,1074,140685948755366,2783,10
1505945245000,0,1098,140685948752262,2831,10
1505945345000,0,4552,140685948753917,6295,10
1505945445000,0,1163,140685948753708,2922,10
1505945545000,0,3642,140685948756106,5414,10
1505945645000,0,1668,140685948753561,3447,10
1505945745000,0,1244,140685948753258,3039,10
1505945845000,0,1292,140685948747820,3117,10
1505945945000,0,1320,140685948748420,3173,10
1505946045000,0,1378,140685948749141,3257,10
1505946145000,0,1410,140685948748521,3313,10
1505946245000,0,4756,140685948749527,6673,10
1505946345000,0,6030,140685948747776,7949,10
1505946445000,0,1538,140685948752310,3473,10
1505946545000,0,1538,140685948753075,3478,10
1505946645000,0,1573,140685948758743,3523,10
1505946745000,0,2476,140685948757978,4449,10
1505946845000,0,1604,140685948755725,3587,10
1505946945000,0,1616,140685948755375,3601,10
1505947045000,0,3715,140685948758596,5719,11
1505947145000,0,1672,140685948759753,3692,11
1505947245000,0,1689,140685948754135,3721,11
1505947345000,0,1722,140685948752332,3769,11
1505947445000,0,1742,140685948748232,3802,11
1505947545000,0,1769,140685948748168,3852,11
1505947645000,0,1824,140685948748704,3929,11
1505947745000,0,1858,140685948748556,3975,11
1505947845000,0,1891,140685948748005,4034,11
1505947945000,0,1944,140685948747784,4107,11
1505948045000,0,1956,140685948752822,4134,11
1505948145000,0,8078,140685948749775,10258,11
1505948245000,0,8090,140685948747776,10266,11
1505948345000,0,8090,140685948747776,10266,11
