timestamp_ms,docker_vg-docker--root--lv-read,docker_vg-docker--root--lv-write,vg_7221346987179364746991500f0a50f0-tp_67f62f0f07f7984d5c563bc60dc32060_tdata-read,vg_7221346987179364746991500f0a50f0-tp_67f62f0f07f7984d5c563bc60dc32060_tdata-write,vg_7221346987179364746991500f0a50f0-tp_67f62f0f07f7984d5c563bc60dc32060_tmeta-read,vg_7221346987179364746991500f0a50f0-tp_67f62f0f07f7984d5c563bc60dc32060_tmeta-write,vg_cd03ae19c929ffd53e87954c2732f8de-brick_731647a6b744f53a9a4ea0e8e0a3acf6-read,vg_cd03ae19c929ffd53e87954c2732f8de-brick_731647a6b744f53a9a4ea0e8e0a3acf6-write,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6-tpool-read,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6-tpool-write,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6_tdata-read,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6_tdata-write,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6_tmeta-read,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6_tmeta-write,xvda-read,xvda-write,xvdb-read,xvdb-write,xvdf-read,xvdf-write,xvdg-read,xvdg-write,xvdh-read,xvdh-write
1505941845000,0.02,0.10,,,,,,,,,,,,,15.11,19.92,0.03,0.10,0.02,0.00,0.02,0.00,0.02,0.00
1505942445000,2.73,18.25,,,,,0.90,0.52,0.66,0.95,0.66,0.95,0.03,0.06,0.47,2.82,2.89,5.06,1.33,0.84,0.61,0.01,0.51,0.01
1505943045000,0.00,1.70,0.65,0.61,0.03,0.06,0.00,7.16,0.00,7.16,0.00,7.16,0.00,0.03,0.01,8.62,0.00,1.64,12.90,15.66,28.13,18.62,25.37,16.16
1505943646000,0.00,3.61,0.00,0.05,0.00,0.00,0.00,7.77,0.00,7.78,0.00,7.78,0.00,0.03,0.02,20.36,0.00,3.53,25.07,26.29,42.42,32.21,57.99,42.41
1505944248000,0.00,3.96,0.00,0.05,0.00,0.00,0.00,15.41,0.00,15.42,0.00,15.42,0.00,0.05,0.01,20.62,0.00,3.88,30.16,38.82,30.56,26.78,54.78,44.95
1505944850000,0.00,3.56,0.00,0.05,0.00,0.00,0.00,4.45,0.00,4.50,0.00,4.50,0.00,0.04,0.01,20.79,0.00,3.48,19.36,24.21,24.42,25.27,42.15,41.45
1505945455000,0.04,6.09,0.00,0.05,0.00,0.00,0.00,14.39,0.00,14.38,0.00,14.38,0.00,0.00,0.02,17.08,0.04,5.97,33.95,43.19,40.47,34.91,51.24,46.00
1505946057000,0.00,3.76,0.00,0.05,0.00,0.00,0.00,3.37,0.00,3.37,0.00,3.37,0.00,0.00,0.01,17.80,0.00,3.69,14.58,21.73,25.64,29.50,31.48,38.70
1505946660000,0.14,3.13,0.00,0.05,0.00,0.00,0.00,10.38,0.00,10.37,0.00,10.37,0.00,0.00,0.01,12.28,0.14,3.08,22.09,34.27,13.38,22.38,23.52,34.04
1505947268000,0.00,8.31,0.00,0.05,0.00,0.00,0.00,5.84,0.00,5.84,0.00,5.84,0.00,0.01,0.02,16.64,0.00,8.18,31.14,36.35,37.82,37.61,56.91,54.81
1505947870000,0.00,0.75,0.00,0.05,0.00,0.00,0.00,3.35,0.00,3.36,0.00,3.36,0.00,0.01,0.00,14.58,0.00,0.73,6.12,21.38,5.24,20.58,6.97,29.61
