timestamp_ms,docker_vg-docker--root--lv,vg_7221346987179364746991500f0a50f0-tp_67f62f0f07f7984d5c563bc60dc32060_tdata,vg_7221346987179364746991500f0a50f0-tp_67f62f0f07f7984d5c563bc60dc32060_tmeta,vg_cd03ae19c929ffd53e87954c2732f8de-brick_731647a6b744f53a9a4ea0e8e0a3acf6,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6-tpool,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6_tdata,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6_tmeta,xvda,xvdb,xvdf,xvdg,xvdh
1505941845000,0.00,,,,,,,4.01,0.00,0.00,0.00,0.00
1505942445000,9.53,,,0.01,0.01,0.01,0.00,0.09,2.49,0.01,0.00,0.00
1505943045000,0.01,0.00,0.00,0.04,0.04,0.04,0.00,0.04,0.01,0.10,0.07,0.04
1505943646000,0.02,0.00,0.00,0.08,0.08,0.08,0.00,0.10,0.02,0.29,0.14,0.17
1505944248000,0.02,0.00,0.00,0.16,0.16,0.16,0.00,0.15,0.02,0.43,0.09,0.22
1505944850000,0.03,0.00,0.00,0.03,0.03,0.03,0.00,0.10,0.03,0.15,0.10,0.16
1505945455000,0.05,0.00,0.00,0.04,0.04,0.04,0.00,0.20,0.05,0.15,0.12,0.29
1505946057000,0.04,0.00,0.00,0.01,0.01,0.01,0.00,0.12,0.04,0.06,0.13,0.25
1505946660000,0.04,0.00,0.00,0.03,0.03,0.03,0.00,0.15,0.04,0.12,0.07,0.15
1505947268000,0.11,0.00,0.00,0.02,0.02,0.02,0.00,0.47,0.11,0.16,0.15,0.27
1505947870000,0.01,0.00,0.00,0.01,0.01,0.01,0.00,0.08,0.01,0.07,0.06,0.13
