timestamp_ms,docker_vg-docker--root--lv-read,docker_vg-docker--root--lv-write,vg_7221346987179364746991500f0a50f0-tp_67f62f0f07f7984d5c563bc60dc32060_tdata-read,vg_7221346987179364746991500f0a50f0-tp_67f62f0f07f7984d5c563bc60dc32060_tdata-write,vg_7221346987179364746991500f0a50f0-tp_67f62f0f07f7984d5c563bc60dc32060_tmeta-read,vg_7221346987179364746991500f0a50f0-tp_67f62f0f07f7984d5c563bc60dc32060_tmeta-write,vg_cd03ae19c929ffd53e87954c2732f8de-brick_731647a6b744f53a9a4ea0e8e0a3acf6-read,vg_cd03ae19c929ffd53e87954c2732f8de-brick_731647a6b744f53a9a4ea0e8e0a3acf6-write,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6-tpool-read,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6-tpool-write,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6_tdata-read,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6_tdata-write,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6_tmeta-read,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6_tmeta-write,xvda-read,xvda-write,xvdb-read,xvdb-write,xvdf-read,xvdf-write,xvdg-read,xvdg-write,xvdh-read,xvdh-write
1505941845000,0.00,0.00,,,,,,,,,,,,,0.02,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1505942445000,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.17,0.00,13.20,0.00,0.24,0.00,0.00,0.00,0.00
1505943045000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,0.00,0.06,0.02,2.43,0.00,5.19,0.01,4.48
1505943646000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79,0.00,0.08,0.02,4.87,0.03,8.25,0.01,11.04
1505944248000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.42,0.00,0.09,0.02,5.85,0.01,6.11,0.03,10.92
1505944850000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.49,0.00,0.08,0.00,4.28,0.01,5.12,0.02,8.89
1505945455000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.53,0.00,0.13,0.01,6.23,0.03,7.12,0.01,9.01
1505946057000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.48,0.00,0.07,0.01,2.95,0.01,5.27,0.01,6.70
1505946660000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.21,0.00,0.04,0.01,4.20,0.00,2.81,0.02,4.61
1505947268000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.76,0.00,0.13,0.01,5.46,0.04,6.48,0.03,9.46
1505947870000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.03,0.00,2.03,0.01,1.81,0.00,2.82
