timestamp_ms,docker_vg-docker--root--lv,vg_7221346987179364746991500f0a50f0-tp_67f62f0f07f7984d5c563bc60dc32060_tdata,vg_7221346987179364746991500f0a50f0-tp_67f62f0f07f7984d5c563bc60dc32060_tmeta,vg_cd03ae19c929ffd53e87954c2732f8de-brick_731647a6b744f53a9a4ea0e8e0a3acf6,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6-tpool,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6_tdata,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6_tmeta,xvda,xvdb,xvdf,xvdg,xvdh
1505941845000,10.54,,,,,,,134.51,10.23,8.00,8.00,8.00
1505942445000,67.92,,,4972.63,65.29,65.29,8.44,65.62,179.78,56.59,26.42,29.91
1505943045000,27.16,51.61,8.44,69.45,69.65,69.65,8.00,16.62,28.07,54.80,50.10,50.23
1505943646000,79.41,173.33,0.00,56.84,57.00,57.00,8.00,18.82,81.17,53.40,54.44,53.85
1505944248000,114.93,173.33,0.00,57.94,58.11,58.11,8.00,20.11,117.50,56.96,61.23,58.83
1505944850000,132.38,173.33,0.00,46.30,47.27,47.27,8.00,17.76,135.43,62.07,67.45,65.57
1505945455000,144.81,173.33,0.00,60.38,60.44,60.44,0.00,27.29,147.86,63.61,67.66,70.71
1505946057000,159.84,173.33,0.00,44.99,44.99,44.99,0.00,21.18,162.94,76.21,75.27,78.53
1505946660000,157.56,173.33,0.00,59.87,59.89,59.89,0.00,28.36,159.76,72.94,93.70,90.32
1505947268000,170.42,173.33,0.00,58.19,58.34,58.34,8.00,30.84,173.20,73.05,77.17,78.68
1505947870000,164.08,173.33,0.00,45.44,45.61,45.61,8.00,20.93,170.10,97.56,115.94,114.74
