timestamp_ms,docker_vg-docker--root--lv-read,docker_vg-docker--root--lv-write,vg_7221346987179364746991500f0a50f0-tp_67f62f0f07f7984d5c563bc60dc32060_tdata-read,vg_7221346987179364746991500f0a50f0-tp_67f62f0f07f7984d5c563bc60dc32060_tdata-write,vg_7221346987179364746991500f0a50f0-tp_67f62f0f07f7984d5c563bc60dc32060_tmeta-read,vg_7221346987179364746991500f0a50f0-tp_67f62f0f07f7984d5c563bc60dc32060_tmeta-write,vg_cd03ae19c929ffd53e87954c2732f8de-brick_731647a6b744f53a9a4ea0e8e0a3acf6-read,vg_cd03ae19c929ffd53e87954c2732f8de-brick_731647a6b744f53a9a4ea0e8e0a3acf6-write,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6-tpool-read,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6-tpool-write,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6_tdata-read,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6_tdata-write,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6_tmeta-read,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6_tmeta-write,xvda-read,xvda-write,xvdb-read,xvdb-write,xvdf-read,xvdf-write,xvdg-read,xvdg-write,xvdh-read,xvdh-write
1505941845000,0.00,0.00,,,,,,,,,,,,,0.32,1.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1505942445000,0.27,0.43,,,,,0.01,3.44,0.00,0.05,0.00,0.05,0.00,0.00,0.04,0.07,0.27,0.43,0.01,0.05,0.01,0.00,0.01,0.00
1505943045000,0.00,0.02,0.00,0.03,0.00,0.00,0.00,0.24,0.00,0.24,0.00,0.24,0.00,0.00,0.00,0.07,0.00,0.02,0.07,0.70,0.15,0.99,0.14,0.88
1505943646000,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.00,0.22,0.00,0.00,0.00,0.19,0.00,0.14,0.14,1.20,0.25,1.73,0.35,2.29
1505944248000,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.44,0.00,0.44,0.00,0.00,0.00,0.20,0.00,0.22,0.18,1.74,0.20,1.52,0.37,2.49
1505944850000,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.00,0.10,0.00,0.00,0.00,0.18,0.00,0.23,0.12,1.20,0.16,1.48,0.31,2.37
1505945455000,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.42,0.00,0.42,0.00,0.00,0.00,0.23,0.00,0.43,0.23,2.17,0.30,2.19,0.43,2.92
1505946057000,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.00,0.07,0.00,0.00,0.00,0.18,0.00,0.29,0.10,1.25,0.19,1.83,0.27,2.42
1505946660000,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.00,0.00,0.17,0.00,0.25,0.16,1.84,0.10,1.53,0.22,2.32
1505947268000,0.00,0.69,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.00,0.17,0.00,0.00,0.00,0.25,0.00,0.69,0.25,2.16,0.33,2.51,0.58,3.71
1505947870000,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.00,0.07,0.00,0.00,0.00,0.15,0.00,0.06,0.04,1.27,0.03,1.43,0.04,2.01
