timestamp_ms,docker_vg-docker--root--lv,vg_7221346987179364746991500f0a50f0-tp_67f62f0f07f7984d5c563bc60dc32060_tdata,vg_7221346987179364746991500f0a50f0-tp_67f62f0f07f7984d5c563bc60dc32060_tmeta,vg_cd03ae19c929ffd53e87954c2732f8de-brick_731647a6b744f53a9a4ea0e8e0a3acf6,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6-tpool,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6_tdata,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6_tmeta,xvda,xvdb,xvdf,xvdg,xvdh
1505941845000,0.03,,,,,,,4.82,0.04,0.00,0.00,0.00
1505942445000,3.95,,,0.16,0.16,0.16,0.05,0.31,3.99,0.19,0.01,0.01
1505943045000,0.74,0.07,0.00,1.77,1.75,1.75,0.01,0.50,0.74,4.01,2.70,1.87
1505943646000,1.70,0.01,0.00,3.09,3.08,3.08,0.00,1.28,1.70,9.34,4.85,6.98
1505944248000,1.13,0.01,0.00,5.62,5.60,5.59,0.00,1.32,1.13,14.09,3.27,7.17
1505944850000,1.13,0.01,0.00,0.59,0.58,0.58,0.04,1.46,1.12,5.03,3.47,5.46
1505945455000,2.05,0.01,0.00,1.60,1.57,1.57,0.00,1.33,2.05,6.56,4.86,11.33
1505946057000,1.30,0.01,0.00,0.20,0.20,0.20,0.00,1.36,1.30,2.83,4.68,8.43
1505946660000,1.43,0.01,0.00,1.06,1.05,1.04,0.00,1.17,1.43,5.12,2.88,5.69
1505947268000,3.05,0.01,0.00,0.67,0.66,0.65,0.00,1.61,3.05,6.81,6.27,10.39
1505947870000,0.26,0.01,0.00,0.22,0.22,0.22,0.00,1.25,0.26,2.96,2.55,4.14
