timestamp_ms,docker_vg-docker--root--lv-read,docker_vg-docker--root--lv-write,vg_7221346987179364746991500f0a50f0-tp_67f62f0f07f7984d5c563bc60dc32060_tdata-read,vg_7221346987179364746991500f0a50f0-tp_67f62f0f07f7984d5c563bc60dc32060_tdata-write,vg_7221346987179364746991500f0a50f0-tp_67f62f0f07f7984d5c563bc60dc32060_tmeta-read,vg_7221346987179364746991500f0a50f0-tp_67f62f0f07f7984d5c563bc60dc32060_tmeta-write,vg_cd03ae19c929ffd53e87954c2732f8de-brick_731647a6b744f53a9a4ea0e8e0a3acf6-read,vg_cd03ae19c929ffd53e87954c2732f8de-brick_731647a6b744f53a9a4ea0e8e0a3acf6-write,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6-tpool-read,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6-tpool-write,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6_tdata-read,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6_tdata-write,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6_tmeta-read,vg_cd03ae19c929ffd53e87954c2732f8de-tp_731647a6b744f53a9a4ea0e8e0a3acf6_tmeta-write,xvda-read,xvda-write,xvdb-read,xvdb-write,xvdf-read,xvdf-write,xvdg-read,xvdg-write,xvdh-read,xvdh-write
1505941845000,8.10,1.98,,,,,,,,,,,,,14.04,190.84,5.70,2.00,0.20,0.00,0.20,0.00,0.30,0.00
1505942445000,180.13,495.22,,,,,0.25,24.61,0.34,14.54,0.34,14.54,0.24,39.18,23.67,27.07,170.03,394.87,0.31,12.73,0.20,0.33,0.28,0.56
1505943045000,16.50,6.68,0.25,3.59,0.35,2.42,0.00,5.08,0.00,5.06,0.00,5.06,0.00,27.81,0.44,5.00,16.50,6.36,0.54,5.69,0.26,3.58,0.24,2.24
1505943646000,0.00,6.49,0.00,1.10,0.00,0.00,0.00,10.25,0.00,10.23,0.00,10.22,0.00,4.25,0.38,5.03,0.00,6.51,0.74,10.41,0.35,3.74,0.45,3.35
1505944248000,0.00,5.80,0.00,1.20,0.00,0.00,0.00,10.24,0.00,10.23,0.00,10.22,0.00,2.03,0.33,7.11,0.00,5.85,0.65,10.56,0.27,3.01,0.45,4.25
1505944850000,0.00,8.52,0.00,1.47,0.00,0.00,0.00,6.31,0.00,6.09,0.00,6.08,0.00,50.23,0.50,4.82,0.00,8.64,0.79,5.69,0.42,3.45,0.65,3.29
1505945455000,11.33,8.88,0.00,1.27,0.00,0.00,0.00,2.79,0.00,2.77,0.00,2.76,0.00,0.00,0.20,11.92,11.33,8.99,0.51,3.08,0.31,3.12,1.11,4.97
1505946057000,0.00,10.87,0.00,2.23,0.00,0.00,0.00,2.31,0.00,2.30,0.00,2.29,0.00,0.00,0.60,6.91,0.00,11.00,0.50,2.64,0.69,3.80,1.74,5.17
1505946660000,22.19,12.01,0.00,2.00,0.00,0.00,0.00,2.65,0.00,2.63,0.00,2.63,0.00,0.00,0.75,12.54,22.20,12.09,0.47,3.11,0.75,2.59,1.54,3.46
1505947268000,0.00,13.81,0.00,2.47,0.00,0.00,0.00,3.27,0.00,3.25,0.00,3.25,0.00,2.38,0.18,28.38,0.00,13.95,0.78,3.73,0.81,3.26,1.41,3.45
1505947870000,0.00,12.59,0.00,1.47,0.00,0.00,0.00,2.84,0.00,2.84,0.00,2.83,0.00,1.38,0.50,5.22,0.00,12.93,1.43,3.05,1.14,2.74,2.09,3.79
