215.76MB of 227.14MB total (94.99%)
Dropped 1731 nodes (cum <= 1.14MB)
      flat  flat%   sum%        cum   cum%
  106.02MB 46.68% 46.68%   108.80MB 47.90%  runtime.mapassign
   54.50MB 24.00% 70.67%    54.50MB 24.00%  runtime.rawstringtmp
   26.50MB 11.67% 82.34%    26.50MB 11.67%  runtime.makemap
   15.10MB  6.65% 88.99%    15.10MB  6.65%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy1
    6.28MB  2.76% 91.75%     6.28MB  2.76%  bytes.makeSlice
    3.03MB  1.33% 93.08%     3.03MB  1.33%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
    2.78MB  1.22% 94.31%     2.78MB  1.22%  runtime.hashGrow
    1.55MB  0.68% 94.99%     1.55MB  0.68%  regexp.(*bitState).reset
         0     0% 94.99%     3.19MB  1.41%  bytes.(*Buffer).ReadFrom
         0     0% 94.99%     1.54MB  0.68%  bytes.(*Buffer).Write
         0     0% 94.99%     1.54MB  0.68%  bytes.(*Buffer).WriteString
         0     0% 94.99%     3.08MB  1.36%  bytes.(*Buffer).grow
         0     0% 94.99%     1.58MB   0.7%  crypto/tls.(*Conn).Handshake
         0     0% 94.99%     1.58MB   0.7%  crypto/tls.(*Conn).clientHandshake
         0     0% 94.99%     1.58MB   0.7%  crypto/tls.(*clientHandshakeState).doFullHandshake
         0     0% 94.99%     3.11MB  1.37%  github.com/openshift/origin/pkg/cmd/infra/builder.init
         0     0% 94.99%     3.53MB  1.56%  github.com/openshift/origin/pkg/cmd/openshift.CommandFor
         0     0% 94.99%     3.53MB  1.56%  github.com/openshift/origin/pkg/cmd/openshift.NewCommandOpenShift
         0     0% 94.99%     9.57MB  4.21%  github.com/openshift/origin/pkg/cmd/openshift.init
         0     0% 94.99%     3.91MB  1.72%  github.com/openshift/origin/pkg/cmd/server/start.init
         0     0% 94.99%     1.56MB  0.69%  github.com/openshift/origin/pkg/cmd/util/clientcmd.init
         0     0% 94.99%     1.52MB  0.67%  github.com/openshift/origin/pkg/network/common.RunEventQueue
         0     0% 94.99%     1.52MB  0.67%  github.com/openshift/origin/pkg/network/common.newEventQueue
         0     0% 94.99%     1.53MB  0.67%  github.com/openshift/origin/pkg/oc/cli.NewCmdKubectl
         0     0% 94.99%        2MB  0.88%  github.com/openshift/origin/pkg/oc/cli.NewCommandCLI
         0     0% 94.99%     2.58MB  1.13%  github.com/openshift/origin/pkg/oc/cli/cmd.init
         0     0% 94.99%     1.56MB  0.69%  github.com/openshift/origin/pkg/oc/cli/describe.init
         0     0% 94.99%     1.38MB  0.61%  github.com/openshift/origin/vendor/github.com/docker/spdystream.(*Connection).Serve.func2
         0     0% 94.99%     1.38MB  0.61%  github.com/openshift/origin/vendor/github.com/docker/spdystream.(*Connection).frameHandler
         0     0% 94.99%     1.38MB  0.61%  github.com/openshift/origin/vendor/github.com/docker/spdystream.(*Connection).handleStreamFrame
         0     0% 94.99%     1.38MB  0.61%  github.com/openshift/origin/vendor/github.com/docker/spdystream.(*Connection).sendReply
