timestamp_ms,cpu_00,cpu_01,cpu_02,cpu_03,cpu_04,cpu_05,cpu_06,cpu_07,cpu_08,cpu_09,cpu_10,cpu_11,cpu_12,cpu_13,cpu_14,cpu_15
1505941345000,0.19,0.57,0.5,0.22,17.07,0.32,0.15,0.34,0.94,2.13,1.07,0.52,1.19,0.79,0.17,0.73
1505941445000,0.36,0.95,0.52,17.6,0.36,2.96,0.24,0.73,1.87,7.42,1.51,1.44,0.9,1.33,0.34,1.45
1505941545000,0.22,0.14,0.07,0.1,0.15,0.09,0.09,0.1,0.08,0.03,0.06,0.02,0.08,0.05,0.08,0.04
1505941645000,0.1,0.2,0.13,0.13,0.09,0.1,0.11,0.18,0.22,4.02,0.25,0.11,0.1,0.32,0.08,0.44
1505941745000,0.17,1.06,0.48,0.26,0.23,0.38,0.21,1.09,2.76,4.63,3.7,2.29,1.13,2.32,0.38,2.71
1505941845000,0.45,1.32,0.67,0.35,1.01,0.96,0.68,1.5,2.26,2.6,2.25,1.87,2.45,3.28,2.12,4.29
1505941945000,0.34,0.1,0.16,0.12,0.11,0.08,0.1,0.19,1.15,0.37,0.44,1.05,0.28,0.17,0.5,0.15
1505942045000,1.1,1.42,1.09,1.74,1.65,1.26,1.47,0.8,2.23,1.22,1.17,1.77,1.59,1.43,2.08,1.19
1505942145000,0.27,0.26,0.22,0.21,0.25,0.2,0.17,0.26,0.4,0.28,0.25,0.22,0.12,0.2,0.2,0.37
1505942245000,0.25,0.22,0.21,0.27,0.23,0.19,0.22,0.19,0.37,0.25,0.27,0.25,0.13,0.43,0.14,0.17
1505942345000,0.15,0.21,0.17,0.14,0.14,0.12,0.13,0.12,0.25,0.12,0.22,0.13,0.12,0.09,0.11,0.09
1505942445000,0.14,0.17,0.21,0.15,0.16,0.18,0.27,0.18,0.25,0.21,0.16,0.12,0.11,0.12,0.12,0.12
1505942545000,0.14,0.16,0.16,0.21,0.13,0.14,0.13,0.12,0.26,0.08,0.18,0.06,0.07,0.1,0.07,0.04
1505942645000,0.12,0.19,0.16,0.18,0.13,0.16,0.1,0.1,0.25,0.13,0.15,0.13,0.11,0.08,0.05,0.07
1505942745000,0.12,0.16,0.13,0.15,0.13,0.15,0.16,0.1,0.23,0.18,0.17,0.19,0.09,0.07,0.11,0.09
1505942845000,1.1,1.07,0.98,0.94,0.97,0.87,0.81,0.71,2.16,1.95,1.1,1.05,0.95,1.12,0.98,1.2
1505942945000,2.55,2.71,2.54,2.09,2.17,2,2.22,2.08,5.4,5.03,2.33,2.23,2.37,2.34,2.99,2.93
1505943045000,2.83,2.84,2.88,2.41,2.08,2.1,1.92,1.97,5.28,4.86,2.76,2.44,2.4,2.52,2.86,2.32
1505943145000,3.85,3.08,3.23,2.66,2.8,2.84,3.03,2.27,6.81,6.1,3.43,2.37,2.62,2.43,3.56,3.44
1505943245000,4.41,5.9,4.03,3.88,3.86,3.18,4.41,3.73,7.92,8.14,3.44,3.23,3.08,2.95,4.88,3.89
1505943345000,4.09,4.33,4.64,5.1,4.06,3.08,3.81,3.16,8.34,7.76,3.56,4.73,3.33,3.27,4.02,3.44
1505943445000,4.25,4.98,5.38,5.63,3.52,4.49,3.76,3.49,8.08,8.63,3.73,4.53,3.68,3.59,4.73,5.05
