timestamp_ms,docker_vg-docker--root--lv-read,docker_vg-docker--root--lv-write,vg_0059f0ac0350a542d01857d105b4444d-brick_a8b1f61d1a6a4902c4d678f18d82446e-read,vg_0059f0ac0350a542d01857d105b4444d-brick_a8b1f61d1a6a4902c4d678f18d82446e-write,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e-tpool-read,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e-tpool-write,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e_tdata-read,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e_tdata-write,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e_tmeta-read,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e_tmeta-write,vg_1ad52ec87d5ffe5e87918d83645dee02-tp_5d0be0ebf034189701e4bab1c77cbcae_tdata-read,vg_1ad52ec87d5ffe5e87918d83645dee02-tp_5d0be0ebf034189701e4bab1c77cbcae_tdata-write,vg_1ad52ec87d5ffe5e87918d83645dee02-tp_5d0be0ebf034189701e4bab1c77cbcae_tmeta-read,vg_1ad52ec87d5ffe5e87918d83645dee02-tp_5d0be0ebf034189701e4bab1c77cbcae_tmeta-write,xvda-read,xvda-write,xvdb-read,xvdb-write,xvdf-read,xvdf-write,xvdg-read,xvdg-write,xvdh-read,xvdh-write
1505941845000,0.02,0.10,,,,,,,,,,,,,8.27,19.20,0.03,0.10,0.02,0.00,0.02,0.00,0.02,0.00
1505942445000,0.61,41.74,0.90,0.52,0.66,0.95,0.66,0.95,0.03,0.06,,,,,7.42,3.81,0.78,11.12,1.33,0.84,0.51,0.01,0.52,0.01
1505943045000,0.01,1.62,0.00,7.16,0.00,7.16,0.00,7.16,0.00,0.03,0.65,0.61,0.03,0.06,0.02,8.79,0.01,1.58,12.30,15.45,25.73,17.07,25.09,16.71
1505943646000,0.00,3.63,0.00,7.77,0.00,7.78,0.00,7.78,0.00,0.03,0.00,0.05,0.00,0.00,0.02,20.58,0.00,3.54,34.21,31.54,47.67,34.75,47.30,35.72
1505944249000,0.00,3.81,0.00,15.42,0.00,15.43,0.00,15.43,0.00,0.05,0.00,0.05,0.00,0.00,0.01,20.69,0.00,3.71,27.93,38.42,46.63,38.49,35.75,30.56
1505944851000,0.00,3.54,0.00,4.46,0.00,4.51,0.00,4.51,0.00,0.04,0.00,0.05,0.00,0.00,0.02,21.25,0.00,3.46,23.82,27.47,37.17,36.70,30.05,30.02
1505945456000,0.18,6.70,0.00,14.39,0.00,14.38,0.00,14.38,0.00,0.00,0.00,0.05,0.00,0.00,0.02,17.71,0.18,6.53,27.11,38.40,62.08,51.93,44.21,38.42
1505946058000,0.00,3.25,0.00,3.37,0.00,3.37,0.00,3.37,0.00,0.00,0.00,0.05,0.00,0.00,0.01,17.66,0.00,3.18,11.49,20.32,31.99,38.12,20.31,26.98
1505946662000,0.00,3.76,0.00,10.39,0.00,10.38,0.00,10.38,0.00,0.00,0.00,0.05,0.00,0.00,0.01,12.50,0.00,3.69,9.01,25.75,33.59,39.86,21.62,28.02
1505947269000,0.00,7.46,0.00,5.84,0.00,5.85,0.00,5.85,0.00,0.01,0.00,0.05,0.00,0.00,0.02,16.25,0.00,7.30,28.70,33.17,48.77,50.08,36.41,38.48
1505947870000,0.00,1.40,0.00,3.35,0.00,3.36,0.00,3.36,0.00,0.01,0.00,0.05,0.00,0.00,0.00,15.54,0.00,1.35,5.67,19.78,11.85,32.55,7.72,23.41
