timestamp_ms,docker_vg-docker--root--lv,vg_0059f0ac0350a542d01857d105b4444d-brick_a8b1f61d1a6a4902c4d678f18d82446e,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e-tpool,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e_tdata,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e_tmeta,vg_1ad52ec87d5ffe5e87918d83645dee02-tp_5d0be0ebf034189701e4bab1c77cbcae_tdata,vg_1ad52ec87d5ffe5e87918d83645dee02-tp_5d0be0ebf034189701e4bab1c77cbcae_tmeta,xvda,xvdb,xvdf,xvdg,xvdh
1505941845000,0.00,,,,,,,2.14,0.00,0.00,0.00,0.00
1505942445000,20.84,0.00,0.00,0.00,0.00,,,0.05,4.68,0.00,0.00,0.00
1505943045000,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.03,0.01,0.05,0.11,0.11
1505943646000,0.02,0.02,0.02,0.02,0.00,0.00,0.00,0.08,0.02,0.12,0.23,0.17
1505944249000,0.02,0.08,0.08,0.08,0.00,0.00,0.00,0.10,0.02,0.26,0.28,0.22
1505944851000,0.03,0.01,0.01,0.01,0.00,0.00,0.00,0.08,0.03,0.11,0.30,0.09
1505945456000,0.06,0.03,0.03,0.03,0.00,0.00,0.00,0.13,0.06,0.10,0.41,0.15
1505946058000,0.03,0.01,0.01,0.01,0.00,0.00,0.00,0.08,0.03,0.08,0.36,0.08
1505946662000,0.04,0.02,0.02,0.02,0.00,0.00,0.00,0.10,0.04,0.08,0.33,0.09
1505947269000,0.09,0.03,0.03,0.03,0.00,0.00,0.00,0.18,0.09,0.18,0.43,0.22
1505947870000,0.02,0.01,0.01,0.01,0.00,0.00,0.00,0.06,0.02,0.07,0.32,0.06
