timestamp_ms,docker_vg-docker--root--lv-read,docker_vg-docker--root--lv-write,vg_0059f0ac0350a542d01857d105b4444d-brick_a8b1f61d1a6a4902c4d678f18d82446e-read,vg_0059f0ac0350a542d01857d105b4444d-brick_a8b1f61d1a6a4902c4d678f18d82446e-write,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e-tpool-read,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e-tpool-write,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e_tdata-read,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e_tdata-write,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e_tmeta-read,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e_tmeta-write,vg_1ad52ec87d5ffe5e87918d83645dee02-tp_5d0be0ebf034189701e4bab1c77cbcae_tdata-read,vg_1ad52ec87d5ffe5e87918d83645dee02-tp_5d0be0ebf034189701e4bab1c77cbcae_tdata-write,vg_1ad52ec87d5ffe5e87918d83645dee02-tp_5d0be0ebf034189701e4bab1c77cbcae_tmeta-read,vg_1ad52ec87d5ffe5e87918d83645dee02-tp_5d0be0ebf034189701e4bab1c77cbcae_tmeta-write,xvda-read,xvda-write,xvdb-read,xvdb-write,xvdf-read,xvdf-write,xvdg-read,xvdg-write,xvdh-read,xvdh-write
1505941845000,0.00,0.00,,,,,,,,,,,,,0.01,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1505942445000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.01,2.44,0.00,30.63,0.00,0.24,0.00,0.00,0.00,0.00
1505943045000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.73,0.00,0.04,0.00,2.37,0.00,4.75,0.02,4.63
1505943646000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.54,0.00,0.09,0.01,6.29,0.03,8.96,0.01,9.24
1505944249000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.48,0.00,0.10,0.02,5.64,0.04,9.25,0.01,7.06
1505944851000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.47,0.00,0.08,0.01,5.08,0.02,7.85,0.01,6.26
1505945456000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.64,0.00,0.17,0.03,4.76,0.04,11.01,0.03,7.79
1505946058000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.27,0.00,0.07,0.00,2.63,0.02,6.78,0.01,4.37
1505946662000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.07,0.00,1.83,0.04,6.35,0.00,4.11
1505947269000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.48,0.00,0.16,0.01,4.85,0.01,8.36,0.01,6.48
1505947870000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.05,0.00,1.80,0.00,3.68,0.00,2.21
