timestamp_ms,docker_vg-docker--root--lv,vg_0059f0ac0350a542d01857d105b4444d-brick_a8b1f61d1a6a4902c4d678f18d82446e,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e-tpool,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e_tdata,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e_tmeta,vg_1ad52ec87d5ffe5e87918d83645dee02-tp_5d0be0ebf034189701e4bab1c77cbcae_tdata,vg_1ad52ec87d5ffe5e87918d83645dee02-tp_5d0be0ebf034189701e4bab1c77cbcae_tmeta,xvda,xvdb,xvdf,xvdg,xvdh
1505941845000,10.54,,,,,,,167.53,10.23,8.00,8.00,8.00
1505942445000,52.05,4972.63,65.29,65.29,8.44,,,30.69,185.65,56.59,36.05,29.77
1505943045000,26.40,69.38,69.60,69.60,8.00,51.61,8.44,17.12,27.09,55.53,50.14,50.05
1505943646000,75.92,56.83,56.99,56.99,8.00,176.00,0.00,18.72,77.89,52.92,54.11,54.00
1505944249000,109.91,57.92,58.10,58.10,8.00,173.33,0.00,19.77,112.83,57.66,58.75,60.23
1505944851000,132.80,46.29,47.26,47.26,8.00,173.33,0.00,17.93,135.80,61.68,65.20,66.61
1505945456000,142.96,60.38,60.44,60.44,0.00,173.33,0.00,27.09,146.47,66.76,67.00,68.32
1505946058000,165.77,44.98,44.98,44.98,0.00,173.33,0.00,21.19,169.51,78.31,76.93,81.01
1505946662000,163.24,59.76,59.78,59.78,0.00,173.33,0.00,26.54,166.48,84.36,82.05,85.63
1505947269000,170.35,58.41,58.50,58.50,8.00,173.33,0.00,31.47,174.09,73.21,80.06,79.12
1505947870000,161.27,45.44,45.61,45.61,8.00,173.33,0.00,22.00,167.26,97.36,104.57,110.42
