timestamp_ms,docker_vg-docker--root--lv-read,docker_vg-docker--root--lv-write,vg_0059f0ac0350a542d01857d105b4444d-brick_a8b1f61d1a6a4902c4d678f18d82446e-read,vg_0059f0ac0350a542d01857d105b4444d-brick_a8b1f61d1a6a4902c4d678f18d82446e-write,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e-tpool-read,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e-tpool-write,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e_tdata-read,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e_tdata-write,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e_tmeta-read,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e_tmeta-write,vg_1ad52ec87d5ffe5e87918d83645dee02-tp_5d0be0ebf034189701e4bab1c77cbcae_tdata-read,vg_1ad52ec87d5ffe5e87918d83645dee02-tp_5d0be0ebf034189701e4bab1c77cbcae_tdata-write,vg_1ad52ec87d5ffe5e87918d83645dee02-tp_5d0be0ebf034189701e4bab1c77cbcae_tmeta-read,vg_1ad52ec87d5ffe5e87918d83645dee02-tp_5d0be0ebf034189701e4bab1c77cbcae_tmeta-write,xvda-read,xvda-write,xvdb-read,xvdb-write,xvdf-read,xvdf-write,xvdg-read,xvdg-write,xvdh-read,xvdh-write
1505941845000,0.00,0.00,,,,,,,,,,,,,0.28,1.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1505942445000,0.02,1.06,0.01,3.44,0.00,0.05,0.00,0.05,0.00,0.00,,,,,0.08,0.08,0.02,1.06,0.01,0.05,0.01,0.00,0.01,0.00
1505943045000,0.00,0.02,0.00,0.24,0.00,0.24,0.00,0.24,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.07,0.00,0.02,0.06,0.69,0.14,0.91,0.13,0.89
1505943646000,0.00,0.13,0.00,0.22,0.00,0.22,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.13,0.19,1.51,0.28,1.90,0.28,1.91
1505944249000,0.00,0.20,0.00,0.44,0.00,0.44,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.17,1.70,0.31,2.14,0.23,1.72
1505944851000,0.00,0.23,0.00,0.10,0.00,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.23,0.15,1.40,0.26,2.09,0.21,1.75
1505945456000,0.00,0.48,0.00,0.42,0.00,0.42,0.00,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.48,0.19,1.94,0.51,3.22,0.34,2.41
1505946058000,0.00,0.26,0.00,0.07,0.00,0.07,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.26,0.08,1.14,0.27,2.37,0.16,1.71
1505946662000,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.30,0.06,1.37,0.31,2.64,0.18,1.90
1505947269000,0.00,0.62,0.00,0.17,0.00,0.17,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.62,0.22,1.99,0.49,3.37,0.33,2.57
1505947870000,0.00,0.11,0.00,0.07,0.00,0.07,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.11,0.03,1.18,0.09,2.18,0.06,1.62
