timestamp_ms,docker_vg-docker--root--lv,vg_0059f0ac0350a542d01857d105b4444d-brick_a8b1f61d1a6a4902c4d678f18d82446e,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e-tpool,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e_tdata,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e_tmeta,vg_1ad52ec87d5ffe5e87918d83645dee02-tp_5d0be0ebf034189701e4bab1c77cbcae_tdata,vg_1ad52ec87d5ffe5e87918d83645dee02-tp_5d0be0ebf034189701e4bab1c77cbcae_tmeta,xvda,xvdb,xvdf,xvdg,xvdh
1505941845000,0.02,,,,,,,2.56,0.03,0.00,0.00,0.00
1505942445000,4.22,0.08,0.08,0.08,0.00,,,0.89,4.24,0.09,0.01,0.01
1505943045000,0.41,0.72,0.71,0.70,0.00,0.06,0.00,0.47,0.41,1.99,4.21,4.17
1505943646000,1.15,0.73,0.72,0.71,0.00,0.01,0.00,1.16,1.15,4.78,8.58,5.84
1505944249000,1.18,2.98,2.96,2.96,0.01,0.02,0.00,1.26,1.18,7.97,9.56,7.54
1505944851000,1.31,0.29,0.28,0.28,0.00,0.01,0.00,1.41,1.31,4.14,9.85,3.91
1505945456000,2.48,1.14,1.12,1.12,0.00,0.01,0.00,1.32,2.48,4.54,15.30,6.19
1505946058000,1.05,0.23,0.22,0.22,0.00,0.01,0.00,1.48,1.05,2.85,11.07,3.56
1505946662000,1.18,0.76,0.74,0.73,0.00,0.01,0.00,1.10,1.18,2.89,11.30,3.93
1505947269000,2.52,1.17,1.15,1.15,0.01,0.01,0.00,1.47,2.52,7.41,15.43,9.16
1505947870000,0.41,0.21,0.21,0.21,0.00,0.01,0.00,1.35,0.41,2.69,9.14,2.62
