timestamp_ms,docker_vg-docker--root--lv-read,docker_vg-docker--root--lv-write,vg_0059f0ac0350a542d01857d105b4444d-brick_a8b1f61d1a6a4902c4d678f18d82446e-read,vg_0059f0ac0350a542d01857d105b4444d-brick_a8b1f61d1a6a4902c4d678f18d82446e-write,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e-tpool-read,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e-tpool-write,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e_tdata-read,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e_tdata-write,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e_tmeta-read,vg_0059f0ac0350a542d01857d105b4444d-tp_a8b1f61d1a6a4902c4d678f18d82446e_tmeta-write,vg_1ad52ec87d5ffe5e87918d83645dee02-tp_5d0be0ebf034189701e4bab1c77cbcae_tdata-read,vg_1ad52ec87d5ffe5e87918d83645dee02-tp_5d0be0ebf034189701e4bab1c77cbcae_tdata-write,vg_1ad52ec87d5ffe5e87918d83645dee02-tp_5d0be0ebf034189701e4bab1c77cbcae_tmeta-read,vg_1ad52ec87d5ffe5e87918d83645dee02-tp_5d0be0ebf034189701e4bab1c77cbcae_tmeta-write,xvda-read,xvda-write,xvdb-read,xvdb-write,xvdf-read,xvdf-write,xvdg-read,xvdg-write,xvdh-read,xvdh-write
1505941845000,2.20,2.10,,,,,,,,,,,,,6.44,108.44,2.45,2.10,0.20,0.00,0.30,0.00,0.20,0.00
1505942445000,15.60,498.88,0.18,3.93,0.23,2.79,0.23,2.79,0.12,3.29,,,,,1.55,10.58,12.59,419.77,0.23,2.35,0.34,1.33,0.36,0.56
1505943045000,21.14,3.16,0.00,1.88,0.00,1.86,0.00,1.86,0.00,1.12,0.26,3.13,0.24,1.84,0.55,3.52,21.14,3.06,0.24,3.29,0.30,6.23,0.31,6.09
1505943646000,0.00,4.40,0.00,2.22,0.00,2.21,0.00,2.20,0.00,2.00,0.00,1.65,0.00,0.00,0.36,3.94,0.00,4.40,0.34,3.46,0.35,6.07,0.36,4.17
1505944249000,0.00,5.55,0.00,5.38,0.00,5.38,0.00,5.38,0.00,2.69,0.00,4.10,0.00,0.00,0.88,4.66,0.00,5.61,0.57,6.25,0.36,6.72,0.31,6.80
1505944851000,0.00,7.81,0.00,2.62,0.00,2.58,0.00,2.57,0.00,6.41,0.00,1.93,0.00,0.00,0.21,3.58,0.00,7.91,0.66,3.37,0.47,7.74,0.36,2.77
1505945456000,18.56,9.17,0.00,1.95,0.00,1.94,0.00,1.93,0.00,0.00,0.00,2.77,0.00,0.00,0.27,7.38,18.56,9.28,0.35,2.48,0.68,7.01,0.46,3.28
1505946058000,0.00,9.87,0.00,3.24,0.00,3.23,0.00,3.23,0.00,0.00,0.00,1.77,0.00,0.00,0.20,4.51,0.00,9.99,0.59,3.58,0.93,8.57,0.81,2.33
1505946662000,0.00,10.71,0.00,1.78,0.00,1.76,0.00,1.75,0.00,0.00,0.00,2.47,0.00,0.00,0.00,8.29,0.00,10.83,0.45,2.94,0.96,7.51,0.73,2.64
1505947269000,0.00,12.46,0.00,5.70,0.00,5.72,0.00,5.72,0.00,31.62,0.00,2.57,0.00,0.00,0.67,11.07,0.00,12.63,0.72,4.73,1.27,7.40,0.72,5.15
1505947870000,0.00,11.82,0.00,2.99,0.00,2.98,0.00,2.97,0.00,1.50,0.00,1.63,0.00,0.00,0.00,3.88,0.00,12.14,1.40,3.35,1.63,9.19,1.15,2.34
