timestamp_ms,fault_sec,majflt_sec,page_swaps_in_sec,page_swaps_out_sec,pgfree_sec,pgpgin_sec,pgpgout_sec,pgscand_sec,pgscank_sec,pgsteal_sec,vmeff_pct
1505941345000,7884.12,0.48,0.00,0.00,5817.97,1303.33,4556.62,0.00,0.00,0.00,0.00
1505941445000,13540.53,0.06,0.00,0.00,6737.86,140.72,7145.03,0.00,0.00,0.00,0.00
1505941545000,444.60,0.00,0.00,0.00,218.57,0.00,136.64,0.00,0.00,0.00,0.00
1505941645000,3190.83,0.01,0.00,0.00,1283.39,0.60,7.33,0.00,0.00,0.00,0.00
1505941745000,25307.63,0.04,0.00,0.00,10330.09,15.52,65.82,0.00,0.00,0.00,0.00
1505941845000,27289.34,0.30,0.00,0.00,11415.11,241.93,194.58,0.00,0.00,0.00,0.00
1505941945000,6689.48,0.00,0.00,0.00,2738.03,0.00,235.75,0.00,0.00,0.00,0.00
1505942045000,8704.51,0.39,0.00,0.00,7280.44,266.43,2786.50,0.00,0.00,0.00,0.00
1505942145000,4650.56,0.25,0.00,0.00,2673.20,316.97,284.36,0.00,0.00,0.00,0.00
1505942245000,3093.75,0.01,0.00,0.00,3236.26,0.41,3910.00,0.00,0.00,0.00,0.00
1505942345000,12276.26,0.20,0.00,0.00,5010.68,123.36,9.79,0.00,0.00,0.00,0.00
1505942445000,16024.10,0.08,0.00,0.00,7020.76,130.84,106.21,0.00,0.00,0.00,0.00
1505942545000,1559.51,0.00,0.00,0.00,727.55,0.00,10.97,0.00,0.00,0.00,0.00
1505942645000,1553.32,0.00,0.00,0.00,708.50,0.00,9.61,0.00,0.00,0.00,0.00
1505942745000,1857.09,0.00,0.00,0.00,865.22,0.44,8.02,0.00,0.00,0.00,0.00
1505942845000,25879.10,0.01,0.00,0.00,16167.94,1506.15,4168.38,0.00,0.00,0.00,0.00
1505942945000,43446.80,0.00,0.00,0.00,28680.89,2503.06,7430.88,0.00,0.00,0.00,0.00
1505943045000,29101.88,0.00,0.00,0.00,20377.65,1112.14,4229.29,0.00,0.00,0.00,0.00
1505943145000,47821.93,0.00,0.00,0.00,33432.06,2654.24,7887.81,0.00,0.00,0.00,0.00
1505943245000,40455.30,0.00,0.00,0.00,30525.62,1994.52,6333.92,0.00,0.00,0.00,0.00
1505943345000,40025.77,0.00,0.00,0.00,29826.18,1792.20,5612.92,0.00,0.00,0.00,0.00
1505943445000,45846.72,0.00,0.00,0.00,34881.09,2064.79,6350.21,0.00,0.00,0.00,0.00
1505943545000,45073.14,0.00,0.00,0.00,33697.12,2128.96,6648.87,0.00,0.00,0.00,0.00
1505943645000,20334.38,0.00,0.00,0.00,16317.25,64.94,1813.37,0.00,0.00,0.00,0.00
1505943745000,25307.26,0.00,0.00,0.00,21286.68,31.18,1848.64,0.00,0.00,0.00,0.00
1505943845000,26198.98,0.00,0.00,0.00,21019.48,26.46,1881.82,0.00,0.00,0.00,0.00
1505943945000,57875.52,0.00,0.00,0.00,47714.73,2710.18,8787.01,0.00,0.00,0.00,0.00
1505944045000,49817.35,0.00,0.00,0.00,39538.70,2005.92,7400.59,0.00,0.00,0.00,0.00
1505944145000,58450.74,0.00,0.00,0.00,47645.51,2295.77,8272.82,0.00,0.00,0.00,0.00
1505944245000,56455.15,0.00,0.00,0.00,46768.49,2309.20,8436.20,0.00,0.00,0.00,0.00
1505944345000,57045.83,0.00,0.00,0.00,47705.10,2278.24,7911.06,0.00,0.00,0.00,0.00
1505944445000,58692.59,0.00,0.00,0.00,48880.99,2508.96,8442.92,0.00,0.00,0.00,0.00
1505944545000,63106.33,0.00,0.00,0.00,53542.70,2520.19,8590.32,0.00,0.00,0.00,0.00
1505944645000,30307.98,0.00,0.00,0.00,24583.56,448.05,3961.27,0.00,0.00,0.00,0.00
1505944745000,25996.14,0.00,0.00,0.00,22552.07,31.86,2928.98,0.00,0.00,0.00,0.00
1505944845000,33827.80,0.00,0.00,0.00,28317.32,27.13,2894.89,0.00,0.00,0.00,0.00
1505944945000,20647.49,0.05,0.00,0.00,18085.68,403.46,3667.10,0.00,0.00,0.00,0.00
1505945045000,65783.48,0.00,0.00,0.00,57892.60,2626.98,9656.87,0.00,0.00,0.00,0.00
1505945145000,63561.19,0.00,0.00,0.00,57137.77,2491.79,9519.66,0.00,0.00,0.00,0.00
1505945245000,69866.46,0.08,0.00,0.00,64653.65,2787.32,10358.14,0.00,0.00,0.00,0.00
1505945345000,61820.11,0.00,0.00,0.00,54740.44,2138.30,8817.00,0.00,0.00,0.00,0.00
1505945445000,68057.94,0.00,0.00,0.00,64342.49,2365.61,8924.97,0.00,0.00,0.00,0.00
1505945545000,63454.34,0.00,0.00,0.00,58666.16,2195.84,8474.79,0.00,0.00,0.00,0.00
1505945645000,61061.81,0.00,0.00,0.00,58927.39,1971.02,8053.58,0.00,0.00,0.00,0.00
1505945745000,55419.18,0.00,0.00,0.00,51585.41,1555.94,7158.72,0.00,0.00,0.00,0.00
1505945845000,31757.42,0.00,0.00,0.00,30339.60,27.00,3648.92,0.00,0.00,0.00,0.00
1505945945000,35152.18,0.00,0.00,0.00,32633.71,25.25,3662.28,0.00,0.00,0.00,0.00
1505946045000,38338.11,0.00,0.00,0.00,36864.06,24.57,3823.95,0.00,0.00,0.00,0.00
1505946145000,29454.22,0.00,0.00,0.00,28653.79,22.68,3839.33,0.00,0.00,0.00,0.00
1505946245000,24490.82,0.00,0.00,0.00,21813.23,17.68,3761.62,0.00,0.00,0.00,0.00
1505946345000,5977.79,0.00,0.00,0.00,5043.59,0.00,3408.69,0.00,0.00,0.00,0.00
1505946445000,50519.64,0.00,0.00,0.00,50787.44,1707.42,8076.73,0.00,0.00,0.00,0.00
1505946545000,72273.10,0.00,0.00,0.00,69185.07,2197.02,9754.74,0.00,0.00,0.00,0.00
1505946645000,62370.64,0.00,0.00,0.00,60667.06,2369.10,10226.22,0.00,0.00,0.00,0.00
1505946745000,68275.55,0.01,0.00,0.00,64019.60,2134.23,9694.73,0.00,0.00,0.00,0.00
1505946845000,64375.31,0.00,0.00,0.00,66069.34,1732.58,8468.06,0.00,0.00,0.00,0.00
1505946945000,61826.57,0.00,0.00,0.00,59812.58,1861.38,8604.70,0.00,0.00,0.00,0.00
1505947045000,61907.52,0.00,0.00,0.00,60628.40,2072.00,9150.03,0.00,0.00,0.00,0.00
1505947145000,59702.83,0.00,0.00,0.00,58723.69,1731.47,8386.60,0.00,0.00,0.00,0.00
1505947245000,71769.50,0.00,0.00,0.00,71674.50,2289.21,9738.80,0.00,0.00,0.00,0.00
1505947345000,59729.03,0.00,0.00,0.00,58713.89,1491.86,7999.56,0.00,0.00,0.00,0.00
1505947445000,42811.74,0.00,0.00,0.00,42238.81,343.27,5363.32,0.00,0.00,0.00,0.00
1505947545000,50935.61,0.00,0.00,0.00,51446.79,22.54,4605.65,0.00,0.00,0.00,0.00
1505947645000,46991.31,0.00,0.00,0.00,45580.85,18.90,4681.03,0.00,0.00,0.00,0.00
1505947745000,53296.74,0.00,0.00,0.00,53409.50,19.58,4745.50,0.00,0.00,0.00,0.00
1505947845000,49305.21,0.00,0.00,0.00,50057.18,20.79,4862.22,0.00,0.00,0.00,0.00
1505947945000,50069.40,0.00,0.00,0.00,52129.00,15.79,4941.68,0.00,0.00,0.00,0.00
1505948045000,46866.35,0.00,0.00,0.00,44858.14,842.72,6976.60,0.00,0.00,0.00,0.00
1505948145000,22780.19,0.00,0.00,0.00,19668.14,3.24,4674.65,0.00,0.00,0.00,0.00
1505948245000,6331.01,0.00,0.00,0.00,5776.65,0.00,4396.96,0.00,0.00,0.00,0.00
1505948345000,5969.16,0.00,0.00,0.00,5346.44,0.00,4375.38,0.00,0.00,0.00,0.00
