timestamp_ms,br0-rx,br0-tx,docker0-rx,docker0-tx,eth0-rx,eth0-tx,lo-rx,lo-tx,ovs-system-rx,ovs-system-tx,tun0-rx,tun0-tx,veth03de09be-rx,veth03de09be-tx,vxlan_sys_4789-rx,vxlan_sys_4789-tx
1505941345000,,,0.00,0.00,818.17,120.93,21.11,21.11,,,,,,,,
1505941445000,,,0.00,0.00,866.03,127.34,21.02,21.02,,,,,,,,
1505941545000,,,0.00,0.00,0.20,0.20,21.04,21.04,,,,,,,,
1505941645000,,,0.00,0.00,9.20,8.96,21.02,21.02,,,,,,,,
1505941745000,,,0.00,0.00,70.15,68.77,21.00,21.00,,,,,,,,
1505941845000,0.00,0.00,,,1830.48,393.57,,,0.00,0.00,0.00,0.03,,,0.00,0.00
1505941945000,0.00,0.00,,,14.03,14.01,,,0.00,0.00,0.00,0.05,,,0.00,0.00
1505942045000,0.00,0.00,,,1114.90,96.59,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505942145000,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.02,0.01,0.00,0.00
1505942245000,0.00,0.00,,,3759.81,592.93,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505942345000,0.00,0.00,,,5.12,5.16,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505942445000,0.00,0.00,,,4.93,4.81,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505942545000,0.00,0.00,,,4.86,4.68,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505942645000,0.00,0.00,,,5.97,5.71,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505942745000,0.00,0.00,,,5.95,5.78,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505942845000,0.00,0.00,,,136.19,125.92,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505942945000,0.00,0.00,,,325.51,309.99,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505943045000,0.00,0.00,,,301.11,293.57,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505943145000,0.00,0.00,,,426.33,408.21,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505943245000,0.00,0.00,,,447.68,433.83,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505943345000,0.00,0.00,,,406.71,389.39,,,0.00,0.00,0.00,0.00,,,0.00,0.00
1505943445000,0.00,0.00,,,435.88,420.52,,,0.00,0.00,0.00,0.00,,,0.00,0.00
