timestamp_ms,rx_datagrams_discard_no_dest_port_sec,rx_datagrams_discard_other_error,rx_datagrams_sec,tx_datagrams_sec
1505941345000,0.00,0.00,7.20,7.21
1505941445000,0.00,0.00,12.67,12.67
1505941545000,0.00,0.00,0.10,0.10
1505941645000,0.00,0.00,3.41,3.41
1505941745000,0.00,0.00,28.15,28.15
1505941845000,0.00,0.00,31.27,31.26
1505941945000,0.00,0.00,14.62,14.62
1505942045000,0.10,0.00,3.50,3.61
1505942145000,0.09,0.00,2.44,2.54
1505942245000,0.02,0.00,1.46,1.48
1505942345000,0.00,0.00,0.10,0.11
1505942445000,0.00,0.00,0.08,0.08
1505942545000,0.00,0.00,0.08,0.09
1505942645000,0.02,0.00,0.08,0.10
1505942745000,0.01,0.00,0.12,0.13
1505942845000,1.30,0.00,19.25,20.55
1505942945000,10.50,0.00,33.82,44.32
1505943045000,12.79,0.00,44.16,56.95
1505943145000,18.78,0.00,28.34,47.12
1505943245000,26.70,0.00,33.61,60.31
1505943345000,28.16,0.00,42.50,70.67
1505943445000,27.96,0.00,38.87,66.83
1505943545000,19.23,0.00,42.41,61.64
1505943645000,13.44,0.00,52.98,66.42
1505943745000,14.90,0.00,58.21,73.11
1505943845000,3.98,0.00,49.42,53.40
1505943945000,71.15,0.00,24.79,95.95
1505944045000,19.27,0.00,45.60,64.88
1505944145000,41.04,0.00,39.41,80.45
1505944245000,27.62,0.00,38.98,66.60
1505944345000,22.56,0.00,37.17,59.73
1505944445000,42.03,0.00,38.74,80.77
1505944545000,24.15,0.00,38.91,63.06
1505944645000,0.99,0.00,58.27,59.26
1505944745000,1.14,0.00,58.00,59.14
1505944845000,0.73,0.00,49.77,50.50
1505944945000,30.47,0.00,16.21,46.68
1505945045000,62.32,0.00,28.33,90.65
1505945145000,55.24,0.00,28.38,83.62
1505945245000,40.59,0.00,30.13,70.72
1505945345000,48.66,0.00,24.81,73.48
1505945445000,56.71,0.00,27.09,83.80
1505945545000,63.56,0.00,22.35,85.91
1505945645000,41.16,0.00,28.57,69.73
1505945745000,34.43,0.00,30.12,64.56
1505945845000,6.20,0.00,52.91,59.11
1505945945000,8.46,0.00,45.91,54.37
1505946045000,11.88,0.00,45.73,57.61
1505946145000,3.59,0.00,42.61,46.20
1505946245000,17.62,0.00,31.89,49.51
1505946345000,7.33,0.00,0.05,7.38
1505946445000,59.12,0.00,14.21,73.35
1505946545000,43.51,0.00,26.39,69.90
1505946645000,89.56,0.00,19.49,109.05
1505946745000,71.14,0.00,16.18,87.32
1505946845000,49.39,0.00,24.63,74.02
1505946945000,60.53,0.00,21.51,82.04
1505947045000,94.07,0.00,15.97,110.05
1505947145000,83.61,0.00,17.76,101.37
1505947245000,34.09,0.00,23.09,57.18
1505947345000,36.22,0.00,28.38,64.60
1505947445000,6.32,0.00,38.88,45.20
1505947545000,5.75,0.00,45.24,50.99
1505947645000,6.49,0.00,35.82,42.31
1505947745000,4.96,0.00,35.34,40.31
1505947845000,3.47,0.00,38.64,42.11
1505947945000,7.39,0.00,28.60,35.99
1505948045000,42.31,0.00,26.42,68.73
1505948145000,31.43,0.00,4.00,35.44
1505948245000,0.06,0.00,0.01,0.08
1505948345000,0.00,0.00,0.00,0.00
