timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1505941345000,0.00,0.00,99.66,0.00,0.00,0.00,0.00,0.01,0.11,0.22
1505941445000,0.00,0.00,82.01,0.01,0.00,0.00,0.00,0.02,0.65,17.31
1505941545000,0.00,0.00,99.84,0.00,0.00,0.00,0.00,0.01,0.08,0.07
1505941645000,0.00,0.00,99.85,0.00,0.00,0.00,0.00,0.01,0.04,0.10
1505941745000,0.00,0.00,99.47,0.00,0.00,0.00,0.00,0.01,0.10,0.42
1505941845000,0.00,0.00,99.16,0.02,0.00,0.00,0.00,0.02,0.33,0.47
1505941945000,0.00,0.00,99.76,0.00,0.00,0.00,0.00,0.02,0.12,0.10
1505942045000,0.00,0.00,98.42,0.04,0.00,0.00,0.00,0.05,0.48,1.00
1505942145000,0.00,0.00,99.59,0.03,0.00,0.00,0.00,0.02,0.18,0.18
1505942245000,0.00,0.00,98.59,0.01,0.00,0.00,0.00,0.04,0.26,1.09
1505942345000,0.00,0.00,99.72,0.00,0.00,0.05,0.00,0.01,0.12,0.10
1505942445000,0.00,0.00,99.69,0.00,0.00,0.01,0.00,0.02,0.15,0.13
1505942545000,0.00,0.00,99.82,0.00,0.00,0.00,0.00,0.02,0.05,0.11
1505942645000,0.00,0.00,99.83,0.00,0.00,0.00,0.00,0.01,0.07,0.09
1505942745000,0.00,0.00,99.76,0.00,0.00,0.00,0.00,0.02,0.09,0.13
1505942845000,0.00,0.00,98.38,0.07,0.00,0.00,0.01,0.09,0.68,0.78
1505942945000,0.00,0.00,96.63,0.29,0.00,0.00,0.01,0.14,1.37,1.55
1505943045000,0.00,0.00,97.53,0.14,0.00,0.00,0.01,0.11,1.11,1.09
1505943145000,0.00,0.00,96.03,0.24,0.00,0.00,0.02,0.16,1.80,1.74
1505943245000,0.00,0.00,95.07,0.15,0.00,0.00,0.03,0.15,2.02,2.57
1505943345000,0.00,0.00,94.97,0.20,0.00,0.00,0.02,0.15,2.12,2.53
1505943445000,0.00,0.00,93.96,0.11,0.00,0.00,0.03,0.17,2.78,2.95
1505943545000,0.00,0.00,94.85,0.23,0.00,0.00,0.03,0.18,2.80,1.90
1505943645000,0.00,0.00,97.20,0.06,0.00,0.01,0.01,0.10,1.47,1.15
1505943745000,0.00,0.00,95.82,0.12,0.00,0.00,0.03,0.12,1.85,2.05
1505943845000,0.00,0.00,96.62,0.12,0.00,0.00,0.01,0.13,1.74,1.38
1505943945000,0.00,0.00,90.25,1.01,0.00,0.00,0.05,0.27,4.57,3.84
1505944045000,0.00,0.00,92.58,0.53,0.00,0.00,0.04,0.23,3.73,2.89
1505944145000,0.00,0.00,91.09,0.33,0.00,0.00,0.04,0.25,4.59,3.70
1505944245000,0.00,0.00,90.66,0.20,0.00,0.00,0.03,0.26,5.42,3.44
1505944345000,0.00,0.00,91.35,0.25,0.00,0.00,0.02,0.25,4.48,3.66
1505944445000,0.00,0.00,88.96,0.16,0.00,0.00,0.06,0.27,5.68,4.87
1505944545000,0.00,0.00,90.39,0.24,0.00,0.00,0.02,0.28,5.36,3.72
1505944645000,0.00,0.00,95.22,0.21,0.00,0.00,0.02,0.24,2.74,1.58
1505944745000,0.00,0.00,94.45,0.13,0.00,0.00,0.03,0.23,3.29,1.86
1505944845000,0.00,0.00,95.95,0.12,0.00,0.00,0.01,0.24,2.56,1.12
1505944945000,0.00,0.00,94.12,0.06,0.00,0.00,0.02,0.28,3.36,2.16
1505945045000,0.00,0.00,86.52,0.32,0.00,0.00,0.06,0.30,7.65,5.15
1505945145000,0.00,0.00,84.47,0.45,0.00,0.00,0.06,0.30,8.25,6.47
1505945245000,0.00,0.00,86.57,0.31,0.00,0.00,0.06,0.30,7.35,5.41
1505945345000,0.00,0.00,85.50,0.26,0.00,0.00,0.08,0.30,8.14,5.72
1505945445000,0.00,0.00,86.80,0.30,0.00,0.00,0.04,0.32,7.48,5.06
1505945545000,0.00,0.00,84.07,0.41,0.00,0.00,0.07,0.29,9.63,5.52
1505945645000,0.00,0.00,87.88,0.28,0.00,0.00,0.05,0.31,7.02,4.45
1505945745000,0.00,0.00,90.82,0.31,0.00,0.00,0.03,0.29,5.13,3.41
1505945845000,0.00,0.00,93.56,0.12,0.00,0.00,0.02,0.27,4.24,1.78
1505945945000,0.00,0.00,94.35,0.19,0.00,0.00,0.02,0.27,3.49,1.68
1505946045000,0.00,0.00,92.67,0.16,0.00,0.00,0.03,0.27,4.03,2.84
1505946145000,0.00,0.00,92.76,0.24,0.00,0.00,0.03,0.26,5.10,1.61
1505946245000,0.00,0.00,90.26,0.07,0.00,0.00,0.03,0.27,5.76,3.61
1505946345000,0.00,0.00,97.53,0.01,0.00,0.00,0.02,0.38,1.34,0.72
1505946445000,0.00,0.00,84.70,0.27,0.00,0.00,0.04,0.32,9.39,5.28
1505946545000,0.00,0.00,84.67,0.37,0.00,0.00,0.06,0.31,9.16,5.43
1505946645000,0.00,0.00,81.76,0.61,0.00,0.01,0.07,0.31,11.10,6.14
1505946745000,0.00,0.00,74.21,0.21,0.00,0.00,0.06,0.26,17.48,7.78
1505946845000,0.00,0.00,82.47,0.66,0.00,0.00,0.07,0.30,10.14,6.35
1505946945000,0.00,0.00,82.99,0.31,0.00,0.00,0.07,0.26,10.89,5.47
1505947045000,0.00,0.00,77.38,0.38,0.00,0.00,0.08,0.29,13.86,8.00
1505947145000,0.00,0.00,80.39,0.13,0.00,0.00,0.09,0.29,12.21,6.87
1505947245000,0.00,0.00,81.22,0.19,0.00,0.00,0.06,0.27,11.11,7.15
1505947345000,0.00,0.00,79.98,0.27,0.00,0.00,0.05,0.23,13.28,6.20
1505947445000,0.00,0.00,90.53,0.08,0.00,0.00,0.03,0.25,5.92,3.19
1505947545000,0.00,0.00,92.26,0.08,0.00,0.00,0.04,0.26,4.59,2.77
1505947645000,0.00,0.00,90.67,0.08,0.00,0.00,0.01,0.27,6.30,2.66
1505947745000,0.00,0.00,94.02,0.05,0.00,0.00,0.01,0.26,3.88,1.78
1505947845000,0.00,0.00,91.16,0.07,0.00,0.00,0.02,0.26,6.36,2.12
1505947945000,0.00,0.00,92.56,0.14,0.00,0.00,0.03,0.26,4.96,2.05
1505948045000,0.00,0.00,88.68,0.15,0.00,0.00,0.07,0.31,6.36,4.44
1505948145000,0.00,0.00,93.49,0.05,0.00,0.00,0.06,0.34,3.37,2.70
1505948245000,0.00,0.00,97.44,0.00,0.00,0.00,0.00,0.37,1.80,0.39
1505948345000,0.00,0.00,97.52,0.00,0.00,0.00,0.00,0.40,1.67,0.40
