timestamp_ms,docker_vg-docker--root--lv-read,docker_vg-docker--root--lv-write,xvda-read,xvda-write,xvdb-read,xvdb-write
1505941844000,0.00,0.00,0.01,2.37,0.00,0.00
1505942444000,0.00,0.00,0.00,2.52,0.00,0.00
1505943044000,0.00,0.00,0.00,1.49,0.00,0.00
1505943644000,0.00,0.00,0.00,3.02,0.00,0.00
1505944244000,0.00,0.00,0.01,3.19,0.00,0.00
1505944844000,0.00,0.00,0.00,2.64,0.00,0.00
1505945444000,0.00,0.00,0.00,3.10,0.00,0.00
1505946044000,0.00,0.00,0.00,2.77,0.00,0.00
1505946644000,0.00,0.00,0.00,2.25,0.00,0.00
1505947244000,0.00,0.00,0.00,3.45,0.00,0.00
1505947844000,0.00,0.00,0.00,2.32,0.00,0.00
