timestamp_ms,cpu_00,cpu_01,cpu_02,cpu_03
1505941345000,34.34,21.42,18.04,18.57
1505941445000,25.36,49.35,17.82,32.22
1505941545000,14.97,40.74,15.13,35.26
1505941645000,20.72,32.57,19.21,40.5
1505941745000,51.04,55.33,49.69,61.13
1505941845000,48.04,48.37,45.35,50.15
1505941945000,58.58,57.35,44.8,60.55
1505942045000,6.09,9.81,7.75,14.33
1505942145000,5.11,7.59,6.85,11.25
1505942245000,9.66,17.22,8.63,24.04
1505942345000,10.5,11.73,7.51,16.69
1505942445000,4.11,3.11,2.78,5.88
1505942545000,2.79,2.93,2.47,2.5
1505942645000,2.51,2.69,2.95,2.64
1505942745000,2.6,2.63,2.72,2.88
1505942845000,5.99,5.34,10.2,9.68
1505942945000,9.9,9.57,18.22,17.68
1505943045000,11.2,10.91,16.37,15.86
1505943145000,12.71,11.99,21.51,21.42
1505943245000,13.4,12.72,22.22,21.73
1505943345000,12.38,12.5,19.34,18.74
1505943445000,12.11,12,19.59,18.69
1505943545000,11.87,11.03,17.51,16.94
1505943645000,9.39,9.02,10.76,10.5
1505943745000,9.75,10.5,11,10.13
1505943845000,12.76,13.08,12,13.35
1505943945000,12.64,14.3,19.71,18.94
1505944045000,15.08,16.48,23.31,21.51
1505944145000,17.05,19.03,23.44,24.05
1505944245000,17.95,20.76,26.15,26.35
1505944345000,17.77,18.26,25.63,24.37
1505944445000,16.3,18.99,23.56,22.85
1505944545000,17,16.6,22.67,24.51
1505944645000,15.92,19.37,17.44,14.35
1505944745000,13.31,15.03,13.22,16.18
1505944845000,15.3,17.46,14.55,14.24
1505944945000,11.1,12.04,10.64,12.5
1505945045000,17.09,18.47,22.72,22.3
1505945145000,16.09,18.91,25.77,22.64
1505945245000,19.59,19.21,27.61,26.56
1505945345000,20.61,23.24,27.48,26.99
1505945445000,19.94,20.24,25.77,24.94
1505945545000,18.42,19.4,26.81,26.6
1505945645000,18.1,20.94,24.56,22.49
1505945745000,17.07,19.23,20.19,22.26
1505945845000,17.73,16.34,17.33,18.3
1505945945000,13.88,14.42,17.32,14.62
1505946045000,15.41,16.2,16.69,13.87
1505946145000,14.98,14.95,17.73,15.15
1505946245000,14.67,16.22,16.16,14.63
1505946345000,10.05,8.46,9.8,9.28
1505946445000,14.74,14.2,20.32,18.54
1505946545000,18.14,19.83,26.07,23.01
1505946645000,19.69,22.16,26.51,25.23
1505946745000,19.74,21.54,26.89,27.23
1505946845000,22.37,22.63,28.57,25.77
1505946945000,20.23,21.47,25.72,25.23
1505947045000,20.65,20.54,25.57,25.17
1505947145000,18.5,17.4,25.23,23.05
1505947245000,20.12,20.41,26.1,23.05
1505947345000,20.31,21.58,25.96,23.21
1505947445000,18.4,16.71,23.19,21.74
1505947545000,18.21,22.64,18.86,17.9
1505947645000,17.29,20.65,20.39,18.89
1505947745000,16.78,19.28,18.93,17.92
1505947845000,19.57,17.37,19.48,18.27
1505947945000,18.4,18.17,20.18,16.51
1505948045000,14.77,15.15,15.59,12.75
1505948145000,14.74,12.9,14.01,12.9
1505948245000,10.62,11.5,12.43,10.57
1505948345000,11.63,12.24,11.67,11.83
