timestamp_ms,fault_sec,majflt_sec,page_swaps_in_sec,page_swaps_out_sec,pgfree_sec,pgpgin_sec,pgpgout_sec,pgscand_sec,pgscank_sec,pgsteal_sec,vmeff_pct
1505941345000,56228.35,0.70,0.00,0.00,30026.19,2208.16,7208.88,0.00,0.00,0.00,0.00
1505941445000,102199.17,0.03,0.00,0.00,56592.12,32.56,7142.49,0.00,0.00,0.00,0.00
1505941545000,105452.59,0.13,0.00,0.00,46057.31,30.92,657.14,0.00,0.00,0.00,0.00
1505941645000,104900.95,0.04,0.00,0.00,45840.61,126.32,485.62,0.00,0.00,0.00,0.00
1505941745000,198855.26,0.00,0.00,0.00,99347.16,1.24,401.37,0.00,0.00,0.00,0.00
1505941845000,164629.00,0.34,0.00,0.00,80726.32,381.41,533.63,0.00,0.00,0.00,0.00
1505941945000,217086.41,0.02,0.00,0.00,131639.87,5.44,443.62,0.00,0.00,0.00,0.00
1505942045000,30287.01,0.00,0.00,0.00,12152.98,1.92,285.89,0.00,0.00,0.00,0.00
1505942145000,23768.18,0.00,0.00,0.00,9884.38,1.72,276.39,0.00,0.00,0.00,0.00
1505942245000,53386.98,0.01,0.00,0.00,23510.42,1.28,330.92,0.00,0.00,0.00,0.00
1505942345000,36604.60,0.03,0.00,0.00,15565.60,10.76,362.58,0.00,0.00,0.00,0.00
1505942445000,12209.98,0.01,0.00,0.00,6089.19,0.92,228.73,0.00,0.00,0.00,0.00
1505942545000,4504.54,0.01,0.00,0.00,1724.03,8.96,253.42,0.00,0.00,0.00,0.00
1505942645000,4980.39,0.00,0.00,0.00,1893.99,0.00,216.45,0.00,0.00,0.00,0.00
1505942745000,5152.10,0.02,0.00,0.00,1927.74,0.00,209.80,0.00,0.00,0.00,0.00
1505942845000,8916.96,0.01,0.00,0.00,3466.99,0.32,459.09,0.00,0.00,0.00,0.00
1505942945000,12679.83,0.02,0.00,0.00,5917.94,0.00,821.38,0.00,0.00,0.00,0.00
1505943045000,13180.21,0.03,0.00,0.00,7511.00,0.00,922.35,0.00,0.00,0.00,0.00
1505943145000,13036.83,0.04,0.00,0.00,6060.98,0.00,946.79,0.00,0.00,0.00,0.00
1505943245000,14564.22,0.03,0.00,0.00,7235.27,0.00,1007.10,0.00,0.00,0.00,0.00
1505943345000,15630.31,0.02,0.00,0.00,8777.28,0.00,917.65,0.00,0.00,0.00,0.00
1505943445000,15583.03,0.03,0.00,0.00,9302.01,0.00,937.44,0.00,0.00,0.00,0.00
1505943545000,14395.36,0.03,0.00,0.00,9347.60,0.00,807.12,0.00,0.00,0.00,0.00
1505943645000,13927.56,0.02,0.00,0.00,9170.38,0.00,639.81,0.00,0.00,0.00,0.00
1505943745000,14766.92,0.01,0.00,0.00,8536.60,0.00,674.98,0.00,0.00,0.00,0.00
1505943845000,40793.08,0.23,0.00,0.00,19958.93,250.40,714.30,0.00,0.00,0.00,0.00
1505943945000,14312.04,0.02,0.00,0.00,8321.07,0.00,783.59,0.00,0.00,0.00,0.00
1505944045000,16344.86,0.03,0.00,0.00,11651.07,0.00,957.00,0.00,0.00,0.00,0.00
1505944145000,16865.97,0.04,0.00,0.00,11777.34,0.00,1087.41,0.00,0.00,0.00,0.00
1505944245000,16978.24,0.03,0.00,0.00,11897.67,0.00,1114.90,0.00,0.00,0.00,0.00
1505944345000,15786.58,0.04,0.00,0.00,12158.09,0.00,1059.16,0.00,0.00,0.00,0.00
1505944445000,15525.65,0.03,0.00,0.00,11491.30,0.00,984.31,0.00,0.00,0.00,0.00
1505944545000,16765.25,0.03,0.00,0.00,12470.31,0.00,851.95,0.00,0.00,0.00,0.00
1505944645000,17685.81,0.01,0.00,0.00,14361.95,0.00,825.16,0.00,0.00,0.00,0.00
1505944745000,17121.21,0.02,0.00,0.00,13843.05,0.00,655.94,0.00,0.00,0.00,0.00
1505944845000,19322.28,0.01,0.00,0.00,16428.84,0.00,620.95,0.00,0.00,0.00,0.00
1505944945000,13052.77,0.02,0.00,0.00,9497.21,0.00,532.08,0.00,0.00,0.00,0.00
1505945045000,17615.41,0.03,0.00,0.00,11822.48,0.00,882.88,0.00,0.00,0.00,0.00
1505945145000,16707.19,0.02,0.00,0.00,12738.23,0.00,938.04,0.00,0.00,0.00,0.00
1505945245000,17726.29,0.03,0.00,0.00,13832.76,0.00,1078.88,0.00,0.00,0.00,0.00
1505945345000,18706.77,0.02,0.00,0.00,13719.87,0.00,1238.20,0.00,0.00,0.00,0.00
1505945445000,18139.36,0.05,0.00,0.00,13240.68,0.00,997.08,0.00,0.00,0.00,0.00
1505945545000,17619.35,0.02,0.00,0.00,12929.01,0.00,988.15,0.00,0.00,0.00,0.00
1505945645000,17141.77,0.03,0.00,0.00,13708.39,0.00,839.40,0.00,0.00,0.00,0.00
1505945745000,16906.33,0.03,0.00,0.00,13527.00,0.00,703.32,0.00,0.00,0.00,0.00
1505945845000,17263.40,0.03,0.00,0.00,15308.58,0.00,747.41,0.00,0.00,0.00,0.00
1505945945000,15289.43,0.02,0.00,0.00,13468.81,0.00,615.46,0.00,0.00,0.00,0.00
1505946045000,17612.16,0.02,0.00,0.00,14381.33,0.00,636.17,0.00,0.00,0.00,0.00
1505946145000,17980.46,0.01,0.00,0.00,16709.98,0.00,562.07,0.00,0.00,0.00,0.00
1505946245000,17778.35,0.02,0.00,0.00,16388.74,0.00,557.43,0.00,0.00,0.00,0.00
1505946345000,10363.07,0.01,0.00,0.00,6590.27,0.00,444.77,0.00,0.00,0.00,0.00
1505946445000,14730.91,0.02,0.00,0.00,10857.64,0.00,694.50,0.00,0.00,0.00,0.00
1505946545000,17638.11,0.03,0.00,0.00,14285.85,0.00,911.09,0.00,0.00,0.00,0.00
1505946645000,19076.59,0.03,0.00,0.00,13465.42,0.00,1027.16,0.00,0.00,0.00,0.00
1505946745000,17543.49,0.03,0.00,0.00,12528.12,0.00,1097.07,0.00,0.00,0.00,0.00
1505946845000,18744.14,0.03,0.00,0.00,14042.56,0.00,1053.25,0.00,0.00,0.00,0.00
1505946945000,17595.25,0.04,0.00,0.00,14251.94,0.00,943.73,0.00,0.00,0.00,0.00
1505947045000,16452.75,0.03,0.00,0.00,12710.19,0.00,951.21,0.00,0.00,0.00,0.00
1505947145000,15636.06,0.03,0.00,0.00,12281.81,0.00,839.00,0.00,0.00,0.00,0.00
1505947245000,20368.17,0.04,0.00,0.00,15583.84,0.00,678.69,0.00,0.00,0.00,0.00
1505947345000,18163.80,0.04,0.00,0.00,15054.25,0.00,742.73,0.00,0.00,0.00,0.00
1505947445000,17938.03,0.02,0.00,0.00,15120.87,0.00,644.02,0.00,0.00,0.00,0.00
1505947545000,19095.51,0.02,0.00,0.00,16656.44,0.00,579.27,0.00,0.00,0.00,0.00
1505947645000,17898.18,0.02,0.00,0.00,15900.74,0.00,672.61,0.00,0.00,0.00,0.00
1505947745000,18584.42,0.01,0.00,0.00,15614.37,0.00,579.84,0.00,0.00,0.00,0.00
1505947845000,18202.74,0.02,0.00,0.00,16463.78,0.00,557.04,0.00,0.00,0.00,0.00
1505947945000,17731.99,0.01,0.00,0.00,15332.90,0.00,582.26,0.00,0.00,0.00,0.00
1505948045000,13535.77,0.01,0.00,0.00,9435.85,0.00,473.49,0.00,0.00,0.00,0.00
1505948145000,14502.65,0.01,0.00,0.00,10464.21,0.00,438.21,0.00,0.00,0.00,0.00
1505948245000,11297.21,0.00,0.00,0.00,6618.05,0.00,395.58,0.00,0.00,0.00,0.00
1505948345000,12283.43,0.00,0.00,0.00,7439.07,0.00,336.25,0.00,0.00,0.00,0.00
