timestamp_ms,commit_pct,hugeused_pct,kbactive,kbanonpg,kbbuffers,kbcached,kbcommit,kbdirty,kbhugefree,kbhugeused,kbinactive,kbkstack,kbmemfree,kbmemused,kbpgtbl,kbslab,kbswpcad,kbswpfree,kbswpused,kbvmused,memused_pct,swpcad_pct,swpused_pct
1505941345000,5.50,0.00,524148,279108,2124,604116,894588,2020,0,0,358844,3600,15123408,1143024,9436,99436,0,0,0,40488,7.03,0.00,0.00
1505941445000,12.53,0.00,1377144,417936,2124,1323096,2037896,13056,0,0,361912,3840,14221140,2045292,15048,138484,0,0,0,40488,12.57,0.00,0.00
1505941545000,5.98,0.00,1236440,262856,2124,1368872,971972,1808,0,0,399352,3424,14318464,1947968,7620,151252,0,0,0,40488,11.98,0.00,0.00
1505941645000,15.31,0.00,1893024,906524,2124,1387432,2490668,4988,0,0,403008,4032,13638912,2627520,15524,160848,0,0,0,40488,16.15,0.00,0.00
1505941745000,18.48,0.00,1913660,922076,2124,1392160,3006652,2920,0,0,403120,4112,13609556,2656876,18104,167940,0,0,0,40488,16.33,0.00,0.00
1505941845000,15.99,0.00,1923492,949324,2124,1436412,2601168,19228,0,0,396340,4624,13537736,2728696,15276,180592,0,0,0,40488,16.78,0.00,0.00
1505941945000,11.68,0.00,1910700,920272,2124,1443604,1900460,2352,0,0,394952,4368,13553356,2713076,12064,180908,0,0,0,40488,16.68,0.00,0.00
1505942045000,11.47,0.00,1882432,886444,2124,1446168,1866464,224,0,0,394400,4064,13586072,2680360,9636,180076,0,0,0,40488,16.48,0.00,0.00
1505942145000,11.49,0.00,1880028,880584,2124,1449352,1869448,316,0,0,394108,4016,13588168,2678264,9740,179976,0,0,0,40488,16.46,0.00,0.00
1505942245000,11.81,0.00,1935304,929972,2124,1454920,1921328,2012,0,0,394196,4224,13531036,2735396,11176,180076,0,0,0,40488,16.82,0.00,0.00
1505942345000,13.17,0.00,2048712,1040084,2124,1461072,2142440,436,0,0,396620,4144,13415664,2850768,11472,180296,0,0,0,40536,17.53,0.00,0.00
1505942445000,10.82,0.00,1870096,861996,2124,1460068,1759296,40,0,0,396224,4080,13595964,2670468,9264,180012,0,0,0,40536,16.42,0.00,0.00
1505942545000,10.82,0.00,1874160,863764,2124,1462732,1760268,276,0,0,396576,4080,13592908,2673524,9268,179200,0,0,0,40536,16.44,0.00,0.00
1505942645000,10.89,0.00,1878920,867588,2124,1463696,1770708,292,0,0,396492,4096,13588088,2678344,9280,179136,0,0,0,40536,16.47,0.00,0.00
1505942745000,10.91,0.00,1882900,865056,2124,1470804,1774956,452,0,0,397232,4080,13583144,2683288,9288,179136,0,0,0,40536,16.50,0.00,0.00
1505942845000,11.21,0.00,1939860,919348,2124,1477760,1822988,1276,0,0,401556,4080,13520096,2746336,9396,180104,0,0,0,40600,16.88,0.00,0.00
1505942945000,11.37,0.00,1979632,948368,2124,1489136,1850236,368,0,0,402324,4112,13478168,2788264,9600,181240,0,0,0,40720,17.14,0.00,0.00
1505943045000,11.55,0.00,2020324,975340,2124,1508128,1878960,520,0,0,407756,4096,13429540,2836892,9676,181984,0,0,0,40884,17.44,0.00,0.00
1505943145000,11.76,0.00,2065944,1011508,2124,1527300,1912740,428,0,0,417284,4144,13372496,2893936,9756,183716,0,0,0,41156,17.79,0.00,0.00
