timestamp_ms,br0-rx,br0-tx,docker0-rx,docker0-tx,eth0-rx,eth0-tx,lo-rx,lo-tx,ovs-system-rx,ovs-system-tx,tun0-rx,tun0-tx,vxlan_sys_4789-rx,vxlan_sys_4789-tx
1505941345000,,,0.00,0.00,882.88,246.35,20.95,20.95,,,,,,
1505941445000,,,0.00,0.00,931.83,245.21,22.24,22.24,,,,,,
1505941545000,,,0.00,0.00,186.30,130.27,115.10,115.10,,,,,,
1505941645000,,,0.00,0.00,136.63,134.61,525.88,525.88,,,,,,
1505941745000,,,0.00,0.00,307.74,303.56,152.33,152.33,,,,,,
1505941845000,0.00,0.00,,,2743.05,1360.60,,,0.00,0.00,0.00,0.03,0.00,0.00
1505941945000,0.00,0.00,,,89.98,93.81,,,0.00,0.00,0.00,0.05,0.00,0.00
1505942045000,0.00,0.00,,,29.14,30.14,,,0.00,0.00,0.00,0.00,0.00,0.00
1505942145000,0.00,0.00,,,76.90,75.69,,,0.00,0.00,0.00,0.00,0.00,0.00
1505942245000,0.00,0.00,,,49.28,49.45,,,0.00,0.00,0.00,0.00,0.00,0.00
1505942345000,0.00,0.00,,,35.67,35.33,,,0.00,0.00,0.00,0.00,0.00,0.00
1505942445000,0.00,0.00,,,21.49,21.64,,,0.00,0.00,0.00,0.00,0.00,0.00
1505942545000,0.00,0.00,,,22.28,22.37,,,0.00,0.00,0.00,0.00,0.00,0.00
1505942645000,0.00,0.00,,,17.03,17.60,,,0.00,0.00,0.00,0.00,0.00,0.00
1505942745000,0.00,0.00,,,18.60,18.84,,,0.00,0.00,0.00,0.00,0.00,0.00
1505942845000,0.00,0.00,,,499.86,479.37,,,0.00,0.00,0.00,0.00,0.00,0.00
1505942945000,0.00,0.00,,,966.17,959.49,,,0.00,0.00,0.00,0.00,0.00,0.00
1505943045000,0.00,0.00,,,746.70,769.90,,,0.00,0.00,0.00,0.00,0.00,0.00
1505943145000,0.00,0.00,,,1147.71,1162.60,,,0.00,0.00,0.00,0.00,0.00,0.00
1505943245000,0.00,0.00,,,1132.67,1157.35,,,0.00,0.00,0.00,0.00,0.00,0.00
1505943345000,0.00,0.00,,,961.98,1014.07,,,0.00,0.00,0.00,0.00,0.00,0.00
1505943445000,0.00,0.00,,,984.66,1036.34,,,0.00,0.00,0.00,0.00,0.00,0.00
1505943545000,0.00,0.00,,,837.64,891.39,,,0.00,0.00,0.00,0.00,0.00,0.00
1505943645000,0.00,0.00,,,340.46,395.48,,,0.00,0.00,0.00,0.00,0.00,0.00
1505943745000,0.00,0.00,,,304.27,314.83,,,0.00,0.00,0.00,0.00,0.00,0.00
1505943845000,0.00,0.00,,,226.53,197.99,,,0.00,0.00,0.00,0.00,0.00,0.00
1505943945000,0.00,0.00,,,909.63,862.65,,,0.00,0.00,0.00,0.00,0.00,0.00
1505944045000,0.00,0.00,,,985.87,942.74,,,0.00,0.00,0.00,0.00,0.00,0.00
1505944145000,0.00,0.00,,,1082.69,1060.21,,,0.00,0.00,0.00,0.00,0.00,0.00
1505944245000,0.00,0.00,,,1178.31,1173.18,,,0.00,0.00,0.00,0.00,0.00,0.00
1505944345000,0.00,0.00,,,1133.38,1139.45,,,0.00,0.00,0.00,0.00,0.00,0.00
1505944445000,0.00,0.00,,,1082.16,1084.04,,,0.00,0.00,0.00,0.00,0.00,0.00
1505944545000,0.00,0.00,,,1016.20,1005.85,,,0.00,0.00,0.00,0.00,0.00,0.00
1505944645000,0.00,0.00,,,451.83,433.20,,,0.00,0.00,0.00,0.00,0.00,0.00
1505944745000,0.00,0.00,,,353.61,311.24,,,0.00,0.00,0.00,0.00,0.00,0.00
1505944845000,0.00,0.00,,,289.99,228.13,,,0.00,0.00,0.00,0.00,0.00,0.00
1505944945000,0.00,0.00,,,245.51,207.32,,,0.00,0.00,0.00,0.00,0.00,0.00
1505945045000,0.00,0.00,,,866.87,808.49,,,0.00,0.00,0.00,0.00,0.00,0.00
1505945145000,0.00,0.00,,,962.31,918.22,,,0.00,0.00,0.00,0.00,0.00,0.00
1505945245000,0.00,0.00,,,1022.05,1002.84,,,0.00,0.00,0.00,0.00,0.00,0.00
1505945345000,0.00,0.00,,,1079.47,1074.59,,,0.00,0.00,0.00,0.00,0.00,0.00
1505945445000,0.00,0.00,,,1089.44,1118.55,,,0.00,0.00,0.00,0.00,0.00,0.00
