timestamp_ms,datagram_fragments_gen_sec,datagrams_delivered_sec,datagrams_fragmented_ok_sec,datagrams_output_requests_sec,datagrams_reassmbled_sec,fragments_rx_need_reassemble_sec,rx_datagrams_forwarded_sec,rx_datagrams_header_err_sec,rx_datagrams_invalid_addr_sec,rx_datagrams_nobuff_sec,rx_datagrams_reassmbly_fail_sec,rx_datagrams_sec,rx_datagrams_unknown_proto_sec,tx_datagrams_fragment_fail_sec,tx_datagrams_nobuff_sec,tx_datagrams_noroute_sec
1505941345000,0.00,280.91,0.00,265.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,280.91,0.00,0.00,0.00,0.00
1505941445000,0.00,270.20,0.00,262.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.20,0.00,0.00,0.00,0.00
1505941545000,0.00,243.61,0.00,250.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,243.61,0.00,0.00,0.00,0.00
1505941645000,0.00,661.70,0.00,659.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,661.70,0.00,0.00,0.00,0.00
1505941745000,0.00,457.96,0.00,436.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,457.96,0.00,0.00,0.00,0.00
1505941845000,0.00,417.41,0.00,398.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,417.41,0.00,0.00,0.00,0.00
1505941945000,0.00,236.55,0.00,237.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,236.55,0.00,0.00,0.00,0.00
1505942045000,0.00,224.41,0.00,225.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,224.41,0.00,0.00,0.00,0.00
1505942145000,0.00,294.71,0.00,293.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,294.71,0.00,0.00,0.00,0.00
1505942245000,0.00,300.19,0.00,300.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,300.19,0.00,0.00,0.00,0.00
1505942345000,0.00,271.53,0.00,271.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,271.53,0.00,0.00,0.00,0.00
1505942445000,0.00,122.55,0.00,122.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,122.55,0.00,0.00,0.00,0.00
1505942545000,0.00,152.31,0.00,152.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,152.31,0.00,0.00,0.00,0.00
1505942645000,0.00,118.79,0.00,119.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,118.79,0.00,0.00,0.00,0.00
1505942745000,0.00,125.18,0.00,125.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,125.18,0.00,0.00,0.00,0.00
1505942845000,0.00,1032.43,0.00,1007.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1032.43,0.00,0.00,0.00,0.00
1505942945000,0.00,1924.07,0.00,1921.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1924.07,0.00,0.00,0.00,0.00
1505943045000,0.00,1720.15,0.00,1755.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1720.15,0.00,0.00,0.00,0.00
1505943145000,0.00,2346.52,0.00,2372.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2346.52,0.00,0.00,0.00,0.00
1505943245000,0.00,2376.24,0.00,2418.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2376.24,0.00,0.00,0.00,0.00
1505943345000,0.00,1988.55,0.00,2064.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1988.55,0.00,0.00,0.00,0.00
1505943445000,0.00,1988.18,0.00,2063.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1988.18,0.00,0.00,0.00,0.00
1505943545000,0.00,1640.96,0.00,1721.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1640.96,0.00,0.00,0.00,0.00
1505943645000,0.00,801.12,0.00,890.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,801.12,0.00,0.00,0.00,0.00
