timestamp_ms,raw_sockets,tcp_sockets,tcp_timewait_sockets,total_sockets,udp_sockets
1505941345000,0,26,140651589009408,295,2
1505941445000,0,26,140651589009414,304,2
1505941545000,0,11,140651589009417,269,2
1505941645000,0,169,140651589009424,443,3
1505941745000,0,164,140651589009408,437,3
1505941845000,0,180,140651589009409,504,6
1505941945000,0,177,140651589009419,495,6
1505942045000,0,168,140651589009417,472,6
1505942145000,0,173,140651589009408,478,6
1505942245000,0,169,140651589009408,476,6
1505942345000,0,173,140651589009409,485,6
1505942445000,0,168,140651589009409,476,6
1505942545000,0,169,140651589009408,479,6
1505942645000,0,168,140651589009408,478,6
1505942745000,0,168,140651589009408,478,6
1505942845000,0,178,140651589009413,488,6
1505942945000,0,177,140651589009550,487,6
1505943045000,0,180,140651589009856,490,6
1505943145000,0,186,140651589010074,496,6
1505943245000,0,201,140651589010420,514,9
1505943345000,0,193,140651589011285,503,6
1505943445000,0,213,140651589011388,525,6
1505943545000,0,201,140651589011723,511,6
1505943645000,0,191,140651589011353,501,6
1505943745000,0,185,140651589010455,495,6
1505943845000,0,176,140651589009652,486,6
1505943945000,0,271,140651589009422,581,6
1505944045000,0,253,140651589009610,563,6
1505944145000,0,221,140651589009924,532,6
1505944245000,0,180,140651589010433,490,6
1505944345000,0,212,140651589010951,522,6
1505944445000,0,325,140651589010725,635,6
1505944545000,0,195,140651589010763,506,6
1505944645000,0,197,140651589010396,507,6
1505944745000,0,205,140651589010043,515,6
1505944845000,0,197,140651589009470,507,6
1505944945000,0,251,140651589009408,564,6
1505945045000,0,235,140651589009451,545,6
1505945145000,0,215,140651589009760,526,6
1505945245000,0,243,140651589009994,553,6
1505945345000,0,253,140651589010660,563,6
1505945445000,0,403,140651589011472,713,6
1505945545000,0,323,140651589011916,633,6
1505945645000,0,391,140651589011775,701,6
1505945745000,0,181,140651589011873,491,6
1505945845000,0,185,140651589011435,495,6
1505945945000,0,219,140651589010837,529,6
1505946045000,0,207,140651589010485,518,6
1505946145000,0,203,140651589009953,513,6
1505946245000,0,174,140651589009412,483,6
1505946345000,0,169,140651589009408,478,6
1505946445000,0,251,140651589009437,560,6
1505946545000,0,257,140651589009580,566,6
1505946645000,0,303,140651589009994,610,6
1505946745000,0,301,140651589010435,610,6
1505946845000,0,380,140651589011399,689,6
1505946945000,0,476,140651589011725,785,6
1505947045000,0,475,140651589011747,784,6
1505947145000,0,423,140651589011428,732,6
1505947245000,0,337,140651589011692,647,6
1505947345000,0,239,140651589012296,548,6
1505947445000,0,180,140651589011357,489,6
1505947545000,0,214,140651589010620,523,6
1505947645000,0,205,140651589010800,514,6
1505947745000,0,195,140651589010395,505,6
1505947845000,0,199,140651589010106,508,6
1505947945000,0,173,140651589009468,482,6
1505948045000,0,175,140651589009504,484,6
1505948145000,0,171,140651589009408,480,6
1505948245000,0,169,140651589009408,478,6
1505948345000,0,169,140651589009408,478,6
