timestamp_ms,active_opens_sec,passive_opens_sec,rx_segments_sec,tcp_attempt_fails_sec,tcp_establish_resets_sec,tcp_rx_segments_error_sec,tcp_segments_retransmitted_sec,tcp_tx_segments_RSTflag_sec,tx_segments_sec
1505941345000,6.30,0.09,265.27,3.28,0.51,0.00,3.28,0.00,253.12
1505941445000,5.42,0.08,253.72,3.20,0.65,0.00,3.16,0.00,252.38
1505941545000,10.99,0.01,161.67,3.42,0.04,0.00,3.59,0.00,165.52
1505941645000,7.14,1.04,597.56,0.95,0.33,0.00,1.46,0.00,596.48
1505941745000,5.25,0.00,405.21,0.00,0.07,0.00,0.04,0.00,403.02
1505941845000,1.08,0.21,383.81,0.04,0.10,0.00,0.10,0.00,384.36
1505941945000,1.36,0.32,201.67,0.00,0.31,0.00,0.04,0.00,205.50
1505942045000,1.00,0.60,174.53,0.00,0.60,0.00,0.01,0.00,175.52
1505942145000,2.06,1.03,245.25,0.00,0.65,0.00,0.02,0.00,244.10
1505942245000,3.16,0.58,226.85,0.00,0.58,0.00,0.07,0.00,226.98
1505942345000,1.15,0.73,223.73,0.00,0.70,0.00,0.07,0.00,223.39
1505942445000,0.60,0.22,120.63,0.00,0.20,0.00,0.02,0.00,120.79
1505942545000,0.62,0.24,150.98,0.00,0.22,0.00,0.03,0.00,151.04
1505942645000,0.64,0.24,117.33,0.00,0.24,0.00,0.01,0.00,117.89
1505942745000,0.70,0.26,123.43,0.00,0.26,0.00,0.02,0.00,123.65
1505942845000,11.51,6.16,975.32,0.00,2.00,0.00,0.03,0.00,955.70
1505942945000,26.20,11.67,1798.32,0.00,4.12,0.00,0.01,0.00,1796.71
1505943045000,28.14,7.83,1605.93,0.00,2.70,0.00,0.00,0.00,1642.71
1505943145000,42.58,12.28,2167.95,0.00,4.44,0.00,0.04,0.00,2195.13
1505943245000,47.22,10.86,2180.42,0.01,4.02,0.00,0.04,0.00,2224.06
1505943345000,48.02,7.99,1807.02,0.01,3.25,0.00,0.00,0.00,1883.97
1505943445000,49.31,8.54,1810.40,0.00,3.17,0.00,0.03,0.00,1886.97
1505943545000,46.33,7.02,1484.16,0.00,2.74,0.00,0.00,0.00,1566.10
1505943645000,31.80,1.23,717.51,0.00,0.83,0.00,0.00,0.00,807.19
1505943745000,19.59,1.29,683.34,0.00,0.92,0.00,0.03,0.00,737.26
1505943845000,6.30,1.16,591.26,0.00,0.81,0.00,0.01,0.00,606.03
1505943945000,20.29,10.91,1741.14,0.00,3.93,0.00,0.05,0.00,1713.88
1505944045000,25.11,10.49,1913.54,0.00,3.88,0.00,0.05,0.00,1913.19
1505944145000,36.70,10.92,2116.52,0.00,4.04,0.00,0.09,0.00,2139.95
1505944245000,45.28,11.21,2291.45,0.00,4.20,0.00,0.04,0.00,2335.43
1505944345000,48.62,9.58,2101.46,0.00,3.69,0.00,0.01,0.00,2160.32
1505944445000,43.54,9.18,1976.08,0.00,3.88,0.00,0.04,0.00,2026.72
1505944545000,41.09,8.65,1794.15,0.00,3.55,0.00,0.05,0.00,1838.54
1505944645000,22.25,1.82,948.67,0.00,1.16,0.00,0.15,0.00,1011.99
1505944745000,14.61,1.25,699.44,0.00,0.79,0.00,0.02,0.00,744.09
1505944845000,6.13,1.14,666.40,0.00,0.78,0.00,0.02,0.00,684.10
1505944945000,4.29,2.23,640.51,0.00,0.91,0.00,0.06,0.00,633.19
1505945045000,18.87,9.65,1730.24,0.00,3.15,0.00,0.19,0.00,1715.15
1505945145000,26.60,9.84,1914.24,0.00,3.55,0.00,0.23,0.00,1919.65
1505945245000,36.72,9.67,2059.39,0.00,3.44,0.00,0.12,0.00,2094.37
1505945345000,45.99,9.23,2245.42,0.00,3.61,0.00,0.04,0.00,2297.87
1505945445000,55.50,8.45,2017.43,0.00,3.17,0.00,0.11,0.00,2098.91
