timestamp_ms,rx_datagrams_discard_no_dest_port_sec,rx_datagrams_discard_other_error,rx_datagrams_sec,tx_datagrams_sec
1505941345000,0.00,0.00,9.87,9.87
1505941445000,0.00,0.00,10.92,10.92
1505941545000,0.00,0.00,75.10,75.10
1505941645000,0.00,0.00,62.10,62.10
1505941745000,0.00,0.00,52.76,52.76
1505941845000,0.00,0.00,33.64,33.63
1505941945000,0.00,0.00,34.87,34.87
1505942045000,0.00,0.00,49.88,49.88
1505942145000,0.00,0.00,49.46,49.46
1505942245000,0.00,0.00,73.34,73.34
1505942345000,0.00,0.00,47.80,47.80
1505942445000,0.00,0.00,1.92,1.92
1505942545000,0.00,0.00,1.33,1.33
1505942645000,0.00,0.00,1.46,1.46
1505942745000,0.00,0.00,1.75,1.75
1505942845000,0.00,0.00,57.11,57.11
1505942945000,0.00,0.00,125.75,125.75
1505943045000,0.00,0.00,114.24,114.24
1505943145000,0.00,0.00,178.55,178.55
1505943245000,0.00,0.00,195.83,195.84
1505943345000,0.00,0.00,181.52,181.51
1505943445000,0.00,0.00,177.78,177.78
1505943545000,0.00,0.00,156.80,156.80
1505943645000,0.00,0.00,83.61,83.61
1505943745000,0.00,0.00,58.37,58.37
1505943845000,0.00,0.00,24.66,24.66
1505943945000,0.00,0.00,102.50,102.50
1505944045000,0.00,0.00,120.95,120.95
1505944145000,0.00,0.00,158.02,158.02
1505944245000,0.00,0.00,180.94,180.94
1505944345000,0.00,0.00,192.96,192.96
1505944445000,0.00,0.00,175.99,175.99
1505944545000,0.00,0.00,162.52,162.52
1505944645000,0.00,0.00,77.48,77.48
1505944745000,0.00,0.00,52.59,52.59
1505944845000,0.00,0.00,24.40,24.40
1505944945000,0.00,0.00,20.53,20.53
1505945045000,0.04,0.00,94.59,94.63
1505945145000,0.00,0.00,122.27,122.27
1505945245000,0.00,0.00,149.94,149.94
1505945345000,0.00,0.00,179.82,179.82
1505945445000,0.00,0.00,203.08,203.08
1505945545000,0.00,0.00,198.70,198.70
1505945645000,0.00,0.00,180.75,180.75
1505945745000,0.00,0.00,158.16,158.16
1505945845000,0.00,0.00,97.47,97.47
1505945945000,0.00,0.00,72.67,72.67
1505946045000,0.00,0.00,56.27,56.27
1505946145000,0.00,0.00,36.22,36.22
1505946245000,0.00,0.00,13.30,13.30
1505946345000,0.00,0.00,1.67,1.67
1505946445000,0.00,0.00,62.49,62.49
1505946545000,0.00,0.00,98.36,98.36
1505946645000,0.00,0.00,135.71,135.71
1505946745000,0.00,0.00,164.85,164.85
1505946845000,0.00,0.00,175.80,175.80
1505946945000,0.00,0.00,181.53,181.53
1505947045000,0.00,0.00,182.08,182.08
1505947145000,0.00,0.00,166.11,166.11
1505947245000,0.00,0.00,172.67,172.67
1505947345000,0.00,0.00,149.85,149.85
1505947445000,0.00,0.00,89.87,89.87
1505947545000,0.00,0.00,66.15,66.15
1505947645000,0.00,0.00,63.83,63.83
1505947745000,0.00,0.00,51.45,51.45
1505947845000,0.00,0.00,39.18,39.18
1505947945000,0.00,0.00,18.44,18.44
1505948045000,0.00,0.00,38.05,38.05
1505948145000,0.00,0.00,3.44,3.44
1505948245000,0.00,0.00,1.71,1.71
1505948345000,0.00,0.00,1.92,1.92
