timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1505941345000,0.00,0.00,68.88,9.64,0.00,0.00,0.01,0.06,7.15,14.26
1505941445000,0.00,0.00,49.40,1.18,0.00,0.00,0.09,0.06,13.37,35.89
1505941545000,0.00,0.00,58.94,0.21,0.00,0.00,0.05,0.11,12.48,28.21
1505941645000,0.00,0.00,66.62,0.65,0.00,0.00,0.07,0.15,11.38,21.12
1505941745000,0.00,0.00,44.32,0.21,0.00,0.00,0.04,0.14,24.51,30.78
1505941845000,0.00,0.00,50.92,0.59,0.00,0.00,0.04,0.12,22.12,26.21
1505941945000,0.00,0.00,42.21,0.27,0.00,0.00,0.09,0.16,24.14,33.12
1505942045000,0.00,0.00,89.50,0.56,0.00,0.00,0.04,0.13,2.91,6.86
1505942145000,0.00,0.00,91.71,0.58,0.00,0.00,0.04,0.12,2.43,5.12
1505942245000,0.00,0.00,82.22,0.40,0.00,0.00,0.05,0.15,5.06,12.11
1505942345000,0.00,0.00,87.67,0.46,0.00,0.00,0.04,0.13,3.30,8.39
1505942445000,0.00,0.00,96.47,0.32,0.00,0.00,0.03,0.11,0.83,2.25
1505942545000,0.00,0.00,96.74,0.24,0.00,0.00,0.03,0.09,0.59,2.31
1505942645000,0.00,0.00,96.93,0.27,0.00,0.00,0.02,0.11,0.59,2.08
1505942745000,0.00,0.00,97.07,0.19,0.00,0.00,0.02,0.10,0.58,2.03
1505942845000,0.00,0.00,93.96,0.53,0.00,0.00,0.09,0.16,1.38,3.87
1505942945000,0.00,0.00,88.77,1.48,0.00,0.00,0.22,0.20,2.65,6.70
1505943045000,0.00,0.00,86.72,2.16,0.00,0.00,0.24,0.22,2.96,7.71
1505943145000,0.00,0.00,85.69,2.07,0.00,0.00,0.28,0.25,3.07,8.64
1505943245000,0.00,0.00,84.61,2.40,0.00,0.00,0.31,0.26,3.53,8.88
1505943345000,0.00,0.00,84.83,2.45,0.00,0.00,0.25,0.23,3.54,8.71
1505943445000,0.00,0.00,85.40,2.36,0.00,0.00,0.24,0.24,3.47,8.29
1505943545000,0.00,0.00,87.02,1.75,0.00,0.00,0.17,0.20,3.37,7.49
1505943645000,0.00,0.00,89.49,1.33,0.00,0.00,0.13,0.15,3.04,5.85
1505943745000,0.00,0.00,88.23,1.15,0.00,0.00,0.11,0.12,3.75,6.64
1505943845000,0.00,0.00,84.97,1.79,0.00,0.85,0.11,0.16,6.80,5.32
1505943945000,0.00,0.00,84.06,1.48,0.00,0.00,0.25,0.16,4.72,9.33
1505944045000,0.00,0.00,81.39,1.96,0.00,0.00,0.30,0.19,6.47,9.71
1505944145000,0.00,0.00,77.99,2.78,0.00,0.00,0.28,0.21,7.33,11.42
1505944245000,0.00,0.00,76.19,2.85,0.00,0.00,0.32,0.21,8.30,12.14
