timestamp_ms,all_interrupts
1505941345000,4604.42
1505941445000,7015.38
1505941545000,7441.65
1505941645000,11565.06
1505941745000,11630.44
1505941845000,10795.24
1505941945000,14515.93
1505942045000,10646.17
1505942145000,10448.52
1505942245000,11283.11
1505942345000,10875.09
1505942445000,7729.99
1505942545000,7686.72
1505942645000,7676.32
1505942745000,7613.68
1505942845000,11936.86
1505942945000,16658.35
1505943045000,16662.36
1505943145000,19031.67
1505943245000,19816.35
1505943345000,18476.72
1505943445000,18134.97
1505943545000,16268.85
1505943645000,12409.47
1505943745000,11914.28
1505943845000,12388.85
1505943945000,16039.36
1505944045000,16997.15
1505944145000,18545.24
1505944245000,19184.58
1505944345000,18852.72
1505944445000,18228.15
1505944545000,17382.38
1505944645000,13583.72
1505944745000,12280.36
1505944845000,11970.70
1505944945000,11182.24
1505945045000,16347.03
1505945145000,17508.90
1505945245000,18154.02
1505945345000,19799.32
1505945445000,19153.45
1505945545000,18895.46
1505945645000,17388.27
1505945745000,16353.05
1505945845000,13843.69
1505945945000,12132.24
1505946045000,12634.52
1505946145000,11830.22
1505946245000,11333.02
1505946345000,10453.53
1505946445000,13872.15
1505946545000,16568.04
1505946645000,17864.63
1505946745000,18690.44
1505946845000,18648.24
1505946945000,18114.72
1505947045000,17822.10
1505947145000,17040.81
1505947245000,17112.14
1505947345000,15964.50
1505947445000,13747.58
1505947545000,12939.85
1505947645000,13053.11
1505947745000,12377.34
1505947845000,12268.61
1505947945000,12017.41
1505948045000,12072.02
1505948145000,10755.82
1505948245000,10609.73
1505948345000,10373.35
