timestamp_ms,context_switches_sec,processes_created_sec
1505941345000,3101.34,34.41
1505941445000,4528.74,53.87
1505941545000,5517.82,120.71
1505941645000,9208.37,99.65
1505941745000,10897.69,141.39
1505941845000,11077.25,113.73
1505941945000,14249.16,95.89
1505942045000,12100.76,31.20
1505942145000,12011.68,26.89
1505942245000,12666.14,50.53
1505942345000,12403.46,34.66
1505942445000,9249.95,6.32
1505942545000,9235.95,3.78
1505942645000,9111.73,4.13
1505942745000,9106.26,4.26
1505942845000,13266.12,6.08
1505942945000,18229.66,9.14
1505943045000,18440.74,11.50
1505943145000,20985.78,8.41
1505943245000,21743.44,9.10
1505943345000,20012.50,10.37
1505943445000,19567.67,9.84
1505943545000,17781.83,10.73
1505943645000,13763.70,10.67
1505943745000,13341.23,11.00
1505943845000,13755.51,173.98
1505943945000,17911.26,8.04
1505944045000,19198.94,10.26
1505944145000,20921.46,10.28
1505944245000,22031.91,10.17
1505944345000,21548.36,9.28
1505944445000,20484.60,9.01
1505944545000,19528.04,9.82
1505944645000,15709.25,10.70
1505944745000,13782.69,10.38
1505944845000,13661.56,11.67
1505944945000,12828.37,7.40
1505945045000,18517.89,7.85
1505945145000,19738.19,8.25
1505945245000,20721.11,9.08
1505945345000,22700.61,8.24
1505945445000,21204.24,8.15
1505945545000,21192.39,7.78
1505945645000,19747.48,8.03
1505945745000,17914.35,8.13
1505945845000,15556.00,8.99
1505945945000,14231.88,8.35
1505946045000,14538.46,8.61
1505946145000,13650.94,8.99
1505946245000,13388.94,8.97
1505946345000,12126.00,4.92
1505946445000,16029.22,6.16
1505946545000,18914.35,7.72
1505946645000,20568.48,7.96
1505946745000,21697.92,6.80
1505946845000,21608.41,7.23
1505946945000,21234.31,7.46
1505947045000,20370.43,6.59
1505947145000,19158.62,6.43
1505947245000,18453.51,8.08
1505947345000,17843.32,7.40
1505947445000,15519.04,7.68
1505947545000,14474.65,8.37
1505947645000,14652.80,7.80
1505947745000,14001.91,7.83
1505947845000,13821.90,8.42
1505947945000,13898.24,7.51
1505948045000,13831.90,5.38
1505948145000,12997.85,6.03
1505948245000,12009.14,4.59
1505948345000,11396.60,5.71
