timestamp_ms,cpu_00,cpu_01,cpu_02,cpu_03
1505941345000,2.77,15.98,2.73,6.4
1505941445000,5.15,18.38,4.11,12.79
1505941545000,0.52,0.37,0.34,0.31
1505941645000,0.58,3.28,0.66,2.44
1505941745000,1.9,5.41,7.38,10.15
1505941845000,2.52,3.53,5.7,9.59
1505941945000,0.56,0.68,1.2,0.92
1505942045000,0.39,0.43,0.34,0.46
1505942145000,6.11,6.83,6.12,6.7
1505942245000,0.71,0.74,0.66,0.58
1505942345000,0.51,0.49,0.46,0.45
1505942445000,3.48,4.2,3.34,4.03
1505942545000,0.69,0.65,0.5,0.53
1505942645000,0.48,0.45,0.5,0.43
1505942745000,0.49,0.47,0.34,0.4
1505942845000,0.89,1.07,0.89,1
1505942945000,1.77,1.67,1.65,1.8
1505943045000,3.65,3.51,3.29,3.89
1505943145000,2.2,2.18,2.11,2.14
1505943245000,3.53,3.81,3.39,3.63
1505943345000,4.17,4.21,3.85,4.15
1505943445000,4.76,4.72,4.53,4.77
1505943545000,5.05,5.56,5.07,5.25
1505943645000,7.13,6.95,6.75,6.96
1505943745000,7.96,8.09,7.44,7.88
1505943845000,9.87,9.06,9.04,9.25
1505943945000,5.93,7.27,6.74,6.77
1505944045000,9.08,8.91,8.93,9.47
1505944145000,9.13,8.97,9.05,8.98
1505944245000,11.09,10.85,9.87,11.89
1505944345000,10.14,10.46,10.78,9.97
1505944445000,10.75,12.04,10.63,11.2
1505944545000,11.24,12.47,12.13,11.58
1505944645000,13.99,15.27,13.4,14.37
1505944745000,14.85,15.48,14.79,14.33
1505944845000,17.46,19.34,18.05,18.74
1505944945000,13.78,13.09,13.02,13.65
1505945045000,13.44,13.05,12.36,12.51
1505945145000,15.16,14.42,14.53,14.33
1505945245000,14.68,14.58,13.14,13.46
1505945345000,15.52,15.07,15.94,15.81
1505945445000,14.53,14.25,14.42,14.71
1505945545000,16.05,15.83,18.23,14.36
1505945645000,16.47,16.09,15.74,16.18
1505945745000,16.1,17.35,16.05,17.02
1505945845000,20.91,20.81,21.65,21.21
1505945945000,17.1,19.32,17.68,19.57
1505946045000,20.24,22.91,20.47,20.64
1505946145000,25.03,23.84,22.42,24.29
1505946245000,27.73,24.17,27.69,25.19
1505946345000,18.77,19.43,19.71,19.04
1505946445000,18.41,17.99,16.89,18.54
1505946545000,19.37,20.76,20.31,20.42
1505946645000,21.44,22.82,22.11,23.86
1505946745000,22.61,24.51,25.93,22.39
1505946845000,24.66,24.83,22.93,22.61
1505946945000,23.53,24.37,23.7,21.86
1505947045000,21.28,21.28,21.34,21.95
1505947145000,22.61,23.06,21.74,22.94
1505947245000,24.56,24.98,24.9,25.22
1505947345000,26.91,25.43,31.83,25.04
1505947445000,24.01,25.06,23.37,25.33
1505947545000,28.3,29.09,27.78,28.18
1505947645000,28.86,29.5,29.27,27.21
1505947745000,26.95,29.16,27.47,29.64
1505947845000,32.74,32.09,32.27,33.37
1505947945000,33.11,36.1,32.61,33.55
1505948045000,24.99,24.13,26.88,25.94
1505948145000,29.99,29.72,32.67,29.62
1505948245000,24.2,24.26,25.39,25.18
1505948345000,25.13,23.01,24.91,26.84
