timestamp_ms,br0-rx,br0-tx,docker0-rx,docker0-tx,eth0-rx,eth0-tx,lo-rx,lo-tx,ovs-system-rx,ovs-system-tx,tun0-rx,tun0-tx,veth1065b8a5-rx,veth1065b8a5-tx,veth246f1e5e-rx,veth246f1e5e-tx,veth40b7ae93-rx,veth40b7ae93-tx,veth4fe4904e-rx,veth4fe4904e-tx,veth5eb2005f-rx,veth5eb2005f-tx,veth81a3112a-rx,veth81a3112a-tx,vetha3138b99-rx,vetha3138b99-tx,vetha425c24b-rx,vetha425c24b-tx,vethadc3146e-rx,vethadc3146e-tx,vethea0c5cfb-rx,vethea0c5cfb-tx,vethf1aa9f01-rx,vethf1aa9f01-tx,vethf7e4d090-rx,vethf7e4d090-tx,vxlan_sys_4789-rx,vxlan_sys_4789-tx
1505941345000,,,0.00,0.00,809.99,230.29,21.11,21.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941445000,,,0.00,0.00,855.35,160.65,20.86,20.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941545000,,,0.00,0.00,0.20,0.19,21.00,21.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941645000,,,0.00,0.00,9.12,8.90,21.10,21.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941745000,,,0.00,0.00,69.41,67.71,21.04,21.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505941845000,0.00,0.00,,,1810.07,534.04,,,0.00,0.00,0.00,0.03,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505941945000,0.00,0.00,,,7.57,7.57,,,0.00,0.00,0.00,0.05,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942045000,0.00,0.00,,,3.35,3.26,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942145000,0.00,0.00,,,1103.27,145.20,,,0.00,0.00,26.52,23.21,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942245000,0.00,0.00,,,4.02,4.10,,,0.00,0.00,0.60,0.57,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942345000,0.00,0.00,,,3.66,3.58,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1505942445000,0.00,0.00,,,,,,,0.00,0.00,0.77,1.07,,,1.16,1.60,,,,,,,,,,,,,,,,,,,,,0.45,0.31
