26720.35kB of 26720.35kB total (  100%)
Dropped 1156 nodes (cum <= 133.60kB)
      flat  flat%   sum%        cum   cum%
 4568.91kB 17.10% 17.10%  4568.91kB 17.10%  bytes.makeSlice
 4144.18kB 15.51% 32.61%  4144.18kB 15.51%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.NewTargeted
 3215.05kB 12.03% 44.64%  3215.05kB 12.03%  runtime.hashGrow
 2048.45kB  7.67% 52.31%  5263.51kB 19.70%  runtime.mapassign
 2048.17kB  7.67% 59.97%  2048.17kB  7.67%  runtime.rawstringtmp
 1546.02kB  5.79% 65.76%  1546.02kB  5.79%  github.com/openshift/origin/vendor/github.com/google/cadvisor/summary.(*StatsSummary).AddSample
 1043.17kB  3.90% 69.66%  1043.17kB  3.90%  regexp.(*bitState).reset
 1042.12kB  3.90% 73.56%  1042.12kB  3.90%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*stream).merge
 1028.76kB  3.85% 77.41%  1028.76kB  3.85%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*Framer).WriteDataPadded
    1028kB  3.85% 81.26%  5172.18kB 19.36%  github.com/openshift/origin/vendor/github.com/prometheus/client_golang/prometheus.newSummary
    1025kB  3.84% 85.10%     1025kB  3.84%  encoding/pem.Decode
  809.97kB  3.03% 88.13%   809.97kB  3.03%  github.com/openshift/origin/vendor/golang.org/x/net/http2.(*ClientConn).frameScratchBuffer
  609.50kB  2.28% 90.41%   609.50kB  2.28%  runtime.stringtoslicebyte
  514.63kB  1.93% 92.33%   514.63kB  1.93%  regexp/syntax.(*compiler).quest
  512.23kB  1.92% 94.25%   512.23kB  1.92%  reflect.unsafe_New
  512.10kB  1.92% 96.17%   512.10kB  1.92%  github.com/openshift/origin/vendor/golang.org/x/net/http2.NewFramer
  512.06kB  1.92% 98.08%   512.06kB  1.92%  github.com/openshift/origin/vendor/k8s.io/client-go/rest.NewRESTClient
  512.02kB  1.92%   100%   512.02kB  1.92%  github.com/openshift/origin/vendor/k8s.io/apimachinery/pkg/runtime.(*Scheme).AddKnownTypeWithName
         0     0%   100%  3597.83kB 13.46%  bytes.(*Buffer).ReadFrom
         0     0%   100%   971.07kB  3.63%  bytes.(*Buffer).WriteByte
         0     0%   100%   971.07kB  3.63%  bytes.(*Buffer).grow
         0     0%   100%  1537.17kB  5.75%  crypto/tls.(*Conn).Handshake
         0     0%   100%  1537.17kB  5.75%  crypto/tls.(*Conn).clientHandshake
         0     0%   100%  1537.17kB  5.75%  crypto/tls.(*clientHandshakeState).doFullHandshake
         0     0%   100%   512.17kB  1.92%  crypto/x509.(*CertPool).AddCert
         0     0%   100%  1537.17kB  5.75%  crypto/x509.(*CertPool).AppendCertsFromPEM
         0     0%   100%  1537.17kB  5.75%  crypto/x509.(*Certificate).Verify
         0     0%   100%  1537.17kB  5.75%  crypto/x509.initSystemRoots
         0     0%   100%  1537.17kB  5.75%  crypto/x509.loadSystemRoots
         0     0%   100%  1537.17kB  5.75%  crypto/x509.systemRootsPool
         0     0%   100%   513.56kB  1.92%  github.com/openshift/origin/pkg/api/install.init
         0     0%   100%   609.50kB  2.28%  github.com/openshift/origin/pkg/auth/server/errorpage.init
         0     0%   100%   574.34kB  2.15%  github.com/openshift/origin/pkg/authorization/apis/authorization/install.Install
         0     0%   100%   574.34kB  2.15%  github.com/openshift/origin/pkg/authorization/apis/authorization/install.init
         0     0%   100%   574.34kB  2.15%  github.com/openshift/origin/pkg/authorization/apis/authorization/install.init.1
         0     0%   100%   574.34kB  2.15%  github.com/openshift/origin/pkg/authorization/apis/authorization/v1.RegisterConversions
         0     0%   100%   574.34kB  2.15%  github.com/openshift/origin/pkg/authorization/generated/internalclientset/scheme.init
         0     0%   100%   574.34kB  2.15%  github.com/openshift/origin/pkg/authorization/generated/internalclientset/typed/authorization/internalversion.init
         0     0%   100%   513.56kB  1.92%  github.com/openshift/origin/pkg/client/testclient.init
         0     0%   100%  2117.95kB  7.93%  github.com/openshift/origin/pkg/cmd/infra/builder.init
         0     0%   100%  1024.98kB  3.84%  github.com/openshift/origin/pkg/cmd/openshift.CommandFor
         0     0%   100%  1024.98kB  3.84%  github.com/openshift/origin/pkg/cmd/openshift.NewCommandOpenShift
         0     0%   100%  5669.17kB 21.22%  github.com/openshift/origin/pkg/cmd/openshift.init
         0     0%   100%   609.50kB  2.28%  github.com/openshift/origin/pkg/cmd/server/admin.init
         0     0%   100%  1030.08kB  3.86%  github.com/openshift/origin/pkg/cmd/server/kubernetes/node.(*NodeConfig).RunKubelet.func1
         0     0%   100%  3551.22kB 13.29%  github.com/openshift/origin/pkg/cmd/server/start.init
         0     0%   100%  1599.93kB  5.99%  github.com/openshift/origin/pkg/cmd/util/clientcmd.init
         0     0%   100%   518.02kB  1.94%  github.com/openshift/origin/pkg/cmd/util/docker.init
         0     0%   100%   512.02kB  1.92%  github.com/openshift/origin/pkg/image/apis/image/install.Install
         0     0%   100%   512.02kB  1.92%  github.com/openshift/origin/pkg/image/apis/image/v1.addKnownTypes
         0     0%   100%   512.02kB  1.92%  github.com/openshift/origin/pkg/image/generated/internalclientset/scheme.Install
         0     0%   100%   512.02kB  1.92%  github.com/openshift/origin/pkg/image/generated/internalclientset/scheme.init
         0     0%   100%   512.02kB  1.92%  github.com/openshift/origin/pkg/image/generated/internalclientset/scheme.init.1
         0     0%   100%   512.02kB  1.92%  github.com/openshift/origin/pkg/image/generated/internalclientset/typed/image/internalversion.init
         0     0%   100%  1554.07kB  5.82%  github.com/openshift/origin/pkg/network/common.RunEventQueue
         0     0%   100%  1554.07kB  5.82%  github.com/openshift/origin/pkg/network/common.newEventQueue
         0     0%   100%   518.02kB  1.94%  github.com/openshift/origin/pkg/network/node.(*OsdnNode).(github.com/openshift/origin/pkg/network/node.watchSubnets)-fm
         0     0%   100%   518.02kB  1.94%  github.com/openshift/origin/pkg/network/node.(*OsdnNode).watchSubnets
         0     0%   100%   518.02kB  1.94%  github.com/openshift/origin/pkg/network/proxy.(*OsdnProxy).(github.com/openshift/origin/pkg/network/proxy.watchEgressNetworkPolicies)-fm
         0     0%   100%   518.02kB  1.94%  github.com/openshift/origin/pkg/network/proxy.(*OsdnProxy).(github.com/openshift/origin/pkg/network/proxy.watchNetNamespaces)-fm
         0     0%   100%   518.02kB  1.94%  github.com/openshift/origin/pkg/network/proxy.(*OsdnProxy).watchEgressNetworkPolicies
         0     0%   100%   518.02kB  1.94%  github.com/openshift/origin/pkg/network/proxy.(*OsdnProxy).watchNetNamespaces
         0     0%   100%  1024.98kB  3.84%  github.com/openshift/origin/pkg/oc/cli.NewCmdKubectl
         0     0%   100%  2117.95kB  7.93%  github.com/openshift/origin/pkg/oc/cli/cmd.init
         0     0%   100%  1599.93kB  5.99%  github.com/openshift/origin/pkg/oc/cli/describe.init
         0     0%   100%   513.56kB  1.92%  github.com/openshift/origin/pkg/security/apis/security/install.Install
         0     0%   100%   513.56kB  1.92%  github.com/openshift/origin/pkg/security/apis/security/install.init
         0     0%   100%   513.56kB  1.92%  github.com/openshift/origin/pkg/security/apis/security/install.init.1
         0     0%   100%   513.56kB  1.92%  github.com/openshift/origin/pkg/security/legacyclient.init
         0     0%   100%  1042.12kB  3.90%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*Stream).Insert
         0     0%   100%  1042.12kB  3.90%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*Stream).flush
         0     0%   100%  1042.12kB  3.90%  github.com/openshift/origin/vendor/github.com/beorn7/perks/quantile.(*Stream).insert
         0     0%   100%   512.04kB  1.92%  github.com/openshift/origin/vendor/github.com/gogo/protobuf/proto.Unmarshal
         0     0%   100%   512.04kB  1.92%  github.com/openshift/origin/vendor/github.com/gogo/protobuf/proto.UnmarshalMerge
         0     0%   100%   512.08kB  1.92%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/common.(*InotifyWatcher).AddWatch
         0     0%   100%   512.10kB  1.92%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.DiskStatsCopy
         0     0%   100%   512.10kB  1.92%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.GetStats
         0     0%   100%   512.10kB  1.92%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.newContainerStats
         0     0%   100%   512.10kB  1.92%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/libcontainer.setDiskIoStats
         0     0%   100%      515kB  1.93%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).GetSpec
         0     0%   100%   512.10kB  1.92%  github.com/openshift/origin/vendor/github.com/google/cadvisor/container/raw.(*rawContainerHandler).GetStats
         0     0%   100%  2413.56kB  9.03%  github.com/openshift/origin/vendor/github.com/google/cadvisor/http.init
         0     0%   100%      515kB  1.93%  github.com/openshift/origin/vendor/github.com/google/cadvisor/machine.GetMachineSwapCapacity
         0     0%   100%      515kB  1.93%  github.com/openshift/origin/vendor/github.com/google/cadvisor/machine.parseCapacity
         0     0%   100%  2058.12kB  7.70%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeeping
         0     0%   100%  2058.12kB  7.70%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).housekeepingTick
         0     0%   100%      515kB  1.93%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).updateSpec
         0     0%   100%  2058.12kB  7.70%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*containerData).updateStats
         0     0%   100%  1541.71kB  5.77%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).Start
         0     0%   100%  1029.63kB  3.85%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).createContainer
         0     0%   100%  1029.63kB  3.85%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).createContainerLocked
         0     0%   100%   514.63kB  1.93%  github.com/openshift/origin/vendor/github.com/google/cadvisor/manager.(*manager).detectSubcontainers
