timestamp_ms,br0-rx,br0-tx,docker0-rx,docker0-tx,eth0-rx,eth0-tx,lo-rx,lo-tx,ovs-system-rx,ovs-system-tx,tun0-rx,tun0-tx,veth34b3614f-rx,veth34b3614f-tx,veth9998ed77-rx,veth9998ed77-tx,vethaf619c9b-rx,vethaf619c9b-tx,vxlan_sys_4789-rx,vxlan_sys_4789-tx
1505941345000,,,0.00,0.00,817.18,131.65,21.07,21.07,,,,,,,,,,,,
1505941445000,,,0.00,0.00,865.82,129.25,21.10,21.10,,,,,,,,,,,,
1505941545000,,,0.00,0.00,0.17,0.17,21.00,21.00,,,,,,,,,,,,
1505941645000,,,0.00,0.00,9.12,8.88,21.06,21.06,,,,,,,,,,,,
1505941745000,,,0.00,0.00,69.39,67.52,21.04,21.04,,,,,,,,,,,,
1505941845000,0.00,0.00,,,1827.36,403.45,,,0.00,0.00,0.00,0.03,,,,,,,0.00,0.00
1505941945000,0.00,0.00,,,7.73,7.84,,,0.00,0.00,0.00,0.05,,,,,,,0.00,0.00
1505942045000,0.00,0.00,,,3.39,3.35,,,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00
1505942145000,0.00,0.00,,,4.46,4.38,,,0.00,0.00,0.46,0.51,,,,,,,0.00,0.00
1505942245000,0.00,0.00,,,3.75,3.66,,,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00
1505942345000,0.00,0.00,,,,,,,0.00,0.00,0.35,0.35,,,0.38,0.40,,,0.00,0.00
1505942445000,0.00,0.00,,,1854.70,430.62,,,0.00,0.00,0.13,0.15,,,,,,,0.00,0.00
1505942545000,0.00,0.00,,,,,,,0.00,0.00,0.43,0.47,,,,,0.51,0.55,0.00,0.00
1505942645000,0.00,0.00,,,,,,,0.00,0.00,1.06,1.12,1.07,1.23,,,,,0.46,0.32
1505942745000,0.00,0.00,,,,,,,0.00,0.00,1.00,1.01,1.43,1.64,,,,,0.63,0.43
1505942845000,0.00,0.00,,,,,,,0.00,0.00,239.22,201.71,246.00,213.53,,,,,11.82,6.78
1505942945000,0.00,0.00,,,,,,,0.00,0.00,447.97,377.90,494.38,455.34,,,,,77.44,46.41
1505943045000,0.00,0.00,,,,,,,0.00,0.00,282.95,236.80,380.63,378.78,,,,,141.98,97.68
1505943145000,0.00,0.00,,,,,,,0.00,0.00,480.24,398.53,624.54,590.54,,,,,192.01,144.30
1505943245000,0.00,0.00,,,,,,,0.00,0.00,437.53,362.20,629.57,606.68,,,,,244.48,192.04
1505943345000,0.00,0.00,,,,,,,0.00,0.00,341.97,285.49,537.12,546.98,,,,,261.49,195.15
1505943445000,0.00,0.00,,,,,,,0.00,0.00,365.89,309.47,538.72,546.98,,,,,237.51,172.83
1505943545000,0.00,0.00,,,,,,,0.00,0.00,298.46,253.27,450.86,467.65,,,,,214.38,152.40
1505943645000,0.00,0.00,,,,,,,0.00,0.00,45.79,38.50,168.27,215.04,,,,,176.54,122.48
1505943745000,0.00,0.00,,,,,,,0.00,0.00,47.83,40.07,122.30,150.74,,,,,110.67,74.47
1505943845000,0.00,0.00,,,,,,,0.00,0.00,40.98,35.32,65.95,71.60,,,,,36.28,24.97
1505943945000,0.00,0.00,,,,,,,0.00,0.00,423.99,354.24,453.74,400.29,,,,,46.05,29.75
1505944045000,0.00,0.00,,,,,,,0.00,0.00,404.97,338.23,485.72,450.85,,,,,112.62,80.75
1505944145000,0.00,0.00,,,,,,,0.00,0.00,425.33,354.01,553.91,526.07,,,,,172.06,128.58
1505944245000,0.00,0.00,,,,,,,0.00,0.00,439.53,369.06,618.83,601.98,,,,,232.92,179.30
1505944345000,0.00,0.00,,,,,,,0.00,0.00,412.29,344.55,609.55,598.32,,,,,253.77,197.26
1505944445000,0.00,0.00,,,,,,,0.00,0.00,396.79,332.07,567.22,555.56,,,,,223.49,170.43
1505944545000,0.00,0.00,,,,,,,0.00,0.00,380.22,317.93,530.96,518.89,,,,,200.96,150.73
1505944645000,0.00,0.00,,,,,,,0.00,0.00,70.63,59.48,190.17,219.68,,,,,160.20,119.54
1505944745000,0.00,0.00,,,,,,,0.00,0.00,47.13,39.98,127.52,152.98,,,,,113.00,80.39
1505944845000,0.00,0.00,,,,,,,0.00,0.00,42.18,37.67,78.85,90.82,,,,,53.15,36.67
1505944945000,0.00,0.00,,,,,,,0.00,0.00,78.20,65.70,83.90,73.78,,,,,8.08,5.70
1505945045000,0.00,0.00,,,,,,,0.00,0.00,368.23,308.51,409.01,371.66,,,,,63.15,40.78
1505945145000,0.00,0.00,,,,,,,0.00,0.00,379.42,318.72,475.19,448.12,,,,,129.40,95.77
1505945245000,0.00,0.00,,,,,,,0.00,0.00,372.10,310.74,526.05,511.75,,,,,201.01,153.94
1505945345000,0.00,0.00,,,,,,,0.00,0.00,358.05,298.43,563.82,553.20,,,,,254.77,205.77
1505945445000,0.00,0.00,,,,,,,0.00,0.00,365.64,305.95,596.40,603.06,,,,,297.11,230.76
1505945545000,0.00,0.00,,,,,,,0.00,0.00,363.39,303.54,582.04,597.87,,,,,294.33,218.65
1505945645000,0.00,0.00,,,,,,,0.00,0.00,330.22,276.77,537.58,555.59,,,,,278.82,207.36
1505945745000,0.00,0.00,,,,,,,0.00,0.00,269.40,224.86,457.61,480.66,,,,,255.80,188.21
1505945845000,0.00,0.00,,,,,,,0.00,0.00,58.37,49.76,225.01,271.50,,,,,221.74,166.64
1505945945000,0.00,0.00,,,,,,,0.00,0.00,37.63,31.56,165.53,205.98,,,,,174.42,127.90
1505946045000,0.00,0.00,,,,,,,0.00,0.00,38.23,32.91,129.23,159.82,,,,,126.91,91.00
1505946145000,0.00,0.00,,,,,,,0.00,0.00,35.18,29.94,90.24,105.68,,,,,75.74,55.06
1505946245000,0.00,0.00,,,,,,,0.00,0.00,27.33,23.81,45.75,48.82,,,,,25.01,18.42
1505946345000,0.00,0.00,,,,,,,0.00,0.00,1.09,1.10,1.53,1.75,,,,,0.65,0.44
1505946445000,0.00,0.00,,,,,,,0.00,0.00,251.59,210.85,273.29,245.20,,,,,34.35,21.70
1505946545000,0.00,0.00,,,,,,,0.00,0.00,310.51,258.31,389.96,370.01,,,,,111.70,79.45
1505946645000,0.00,0.00,,,,,,,0.00,0.00,329.80,273.70,466.43,453.65,,,,,179.95,136.63
1505946745000,0.00,0.00,,,,,,,0.00,0.00,321.64,270.19,518.95,515.36,,,,,245.17,197.31
1505946845000,0.00,0.00,,,,,,,0.00,0.00,289.82,238.77,538.84,553.68,,,,,314.91,249.01
1505946945000,0.00,0.00,,,,,,,0.00,0.00,283.44,235.71,525.94,550.15,,,,,314.44,242.50
1505947045000,0.00,0.00,,,,,,,0.00,0.00,304.69,254.21,534.09,545.17,,,,,290.96,229.40
1505947145000,0.00,0.00,,,,,,,0.00,0.00,280.20,232.99,493.31,504.99,,,,,272.00,213.11
1505947245000,0.00,0.00,,,,,,,0.00,0.00,274.16,227.86,485.24,506.98,,,,,279.12,211.08
1505947345000,0.00,0.00,,,,,,,0.00,0.00,218.03,180.48,425.03,457.34,,,,,276.86,206.99
1505947445000,0.00,0.00,,,,,,,0.00,0.00,68.66,57.57,246.92,285.59,,,,,228.02,178.24
1505947545000,0.00,0.00,,,,,,,0.00,0.00,33.74,28.52,179.06,209.61,,,,,181.09,145.32
1505947645000,0.00,0.00,,,,,,,0.00,0.00,30.66,26.29,148.39,183.13,,,,,156.84,117.73
1505947745000,0.00,0.00,,,,,,,0.00,0.00,30.88,26.25,123.27,148.95,,,,,122.70,92.39
1505947845000,0.00,0.00,,,,,,,0.00,0.00,29.68,25.30,96.17,114.86,,,,,89.56,66.49
1505947945000,0.00,0.00,,,,,,,0.00,0.00,25.18,21.92,55.18,61.56,,,,,39.64,30.00
1505948045000,0.00,0.00,,,,,,,0.00,0.00,125.83,105.01,139.66,123.96,,,,,18.95,13.83
1505948145000,0.00,0.00,,,,,,,0.00,0.00,4.92,4.52,7.43,7.79,,,,,3.27,2.51
1505948245000,0.00,0.00,,,,,,,0.00,0.00,1.07,1.08,1.51,1.72,,,,,0.64,0.44
1505948345000,0.00,0.00,,,,,,,0.00,0.00,1.03,1.03,1.47,1.67,,,,,0.64,0.44
